event_month,category_l,event_count,unique_users,unique_products,weighted_interaction_score
2025-03,미반,223319,28115,167,289415.5
2025-03,양주와인,225373,26899,542,250791.5
2025-03,디저트,94617,22806,46,114878.0
2025-03,과자,71432,16165,706,91005.5
2025-03,,62122,12772,10,82244.5
2025-03,빵,53625,7466,54,76519.0
2025-03,조리빵,46149,9271,74,59352.5
2025-03,면,18325,4449,125,25130.0
2025-03,음료,16289,4680,355,21317.5
2025-03,맥주,13103,4243,183,15993.0
2025-03,유음료,11629,3080,216,15579.5
2025-03,아이스크림,12262,4252,139,15146.0
2025-03,기타,7111,1861,6,11432.0
2025-03,패션잡화,8673,2534,69,10339.0
2025-03,전통주,7434,2659,177,8886.0
2025-03,냉장,7275,3156,150,8592.0
2025-03,문구/완구,6343,1806,65,7498.0
2025-03,즉석음료,4576,1585,51,6922.0
2025-03,즉석 식품,4864,1225,48,6417.0
2025-03,가공식품,4667,1991,144,5861.0
2025-03,신선,2325,725,84,2920.0
2025-03,건강/기호식품,1920,800,64,2418.5
2025-03,담배,1511,391,8,1666.0
2025-03,서비스 상품,1168,571,7,1457.0
2025-03,안주,1166,461,111,1449.0
2025-03,위생용품,1174,549,78,1384.5
2025-03,조미료/건물,805,298,60,1066.0
2025-03,미디어 상품,579,242,2,760.5
2025-03,냉동,606,268,33,728.0
2025-03,약품/의료품,512,193,35,648.0
2025-03,가정용품,509,221,49,622.0
2025-03,H&B,406,195,46,471.0
2025-03,일용잡화,337,143,48,410.0
2025-03,간식,319,148,18,387.0
2025-03,미용/화장품,184,101,30,204.0
2025-04,미반,131206,18449,166,162636.0
2025-04,양주와인,94486,17101,599,107690.5
2025-04,과자,74122,13159,866,95673.0
2025-04,디저트,61101,15483,63,74743.0
2025-04,면,53012,8818,158,69661.0
2025-04,빵,37650,6822,122,49361.5
2025-04,,34707,9557,18,44617.0
2025-04,조리빵,32474,5417,74,39634.0
2025-04,음료,27885,5947,412,38297.0
2025-04,유음료,21898,4750,247,28983.0
2025-04,아이스크림,17200,6553,178,20786.0
2025-04,맥주,10450,3594,193,12323.5
2025-04,미디어 상품,9844,4132,4,12061.0
2025-04,냉장,8830,2566,195,10975.5
2025-04,가공식품,8410,2355,157,10928.5
2025-04,기타,6455,3370,6,8752.5
2025-04,서비스 상품,7217,3187,21,8723.0
2025-04,즉석 식품,5888,1360,52,7785.0
2025-04,즉석음료,4102,1447,65,5821.5
2025-04,전통주,4768,1882,185,5503.5
2025-04,신선,3403,900,84,4335.0
2025-04,안주,2634,852,129,3390.0
2025-04,건강/기호식품,2367,793,81,2978.0
2025-04,패션잡화,2474,838,83,2929.0
2025-04,냉동,2360,839,47,2909.5
2025-04,위생용품,1941,708,86,2431.0
2025-04,담배,1893,537,18,2190.0
2025-04,문구/완구,1636,607,110,1941.0
2025-04,조미료/건물,851,332,69,1086.0
2025-04,H&B,835,337,63,1064.0
2025-04,가정용품,757,333,84,956.0
2025-04,간식,735,301,28,888.0
2025-04,약품/의료품,598,211,54,766.0
2025-04,일용잡화,349,140,48,438.0
2025-04,미용/화장품,254,122,53,316.0
2025-05,빵,412493,36134,120,522971.5
2025-05,과자,294722,34929,895,373913.5
2025-05,미반,139863,17217,186,176703.0
2025-05,문구/완구,134520,21668,110,161742.5
2025-05,면,73983,13896,159,99711.5
2025-05,양주와인,78273,15886,641,91621.0
2025-05,디저트,65856,14072,59,81710.0
2025-05,음료,56983,8746,425,80724.5
2025-05,,40055,10718,22,52738.5
2025-05,유음료,37653,6250,255,51029.5
2025-05,조리빵,34992,5703,78,43811.5
2025-05,아이스크림,32507,8013,182,43669.5
2025-05,일용잡화,33942,16450,60,38941.0
2025-05,맥주,27236,6890,211,32778.5
2025-05,가공식품,19754,4299,164,26337.0
2025-05,냉장,16362,3756,200,21325.5
2025-05,기타,9354,2693,10,14926.5
2025-05,즉석 식품,10702,3593,55,13612.0
2025-05,신선,8064,1885,91,10493.0
2025-05,미디어 상품,7512,3172,7,9520.0
2025-05,전통주,8150,2863,189,9401.5
2025-05,즉석음료,6994,2984,69,9002.0
2025-05,냉동,6313,1830,46,7971.0
2025-05,안주,5366,1375,133,7061.0
2025-05,건강/기호식품,4807,1337,94,6264.0
2025-05,위생용품,4117,1156,86,5344.5
2025-05,담배,3280,780,24,3768.0
2025-05,패션잡화,2692,913,85,3217.5
2025-05,서비스 상품,2619,1196,27,3015.0
2025-05,약품/의료품,1877,686,67,2424.0
2025-05,가정용품,1825,585,103,2396.0
2025-05,조미료/건물,1662,491,77,2261.0
2025-05,간식,1800,590,26,2259.5
2025-05,H&B,1560,565,66,1973.0
2025-05,미용/화장품,744,314,62,932.0
