mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,event_count,unique_users,weighted_interaction_score,first_event_date,last_event_date
125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,250210,29329,313347.0,2025-04-25,2025-05-31
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,128092,21196,164334.5,2025-04-29,2025-05-31
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,106573,24953,132182.0,2025-03-01,2025-05-31
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,98104,15445,102003.0,2025-03-01,2025-05-31
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자>스낵류>옥수수스낵,73321,14976,87405.0,2025-04-29,2025-05-31
125514,KBO)프로야구 콜렉션카드2025,문구/완구>일반완구>일반완구,59336,13418,73838.5,2025-05-22,2025-05-31
125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,56840,16548,68066.5,2025-04-25,2025-05-31
125865,2025KBO오피셜컬렉션카드,문구/완구>일반완구>일반완구,58975,12954,67961.5,2025-05-21,2025-05-31
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자>스낵류>옥수수스낵,50968,11531,64474.5,2025-04-29,2025-05-31
014387,맛장우전주식비빔밥,미반>도시락>기타,36238,9854,49235.5,2025-03-01,2025-05-31
191572,3월 와인 구독,,30751,5187,39407.0,2025-03-01,2025-05-29
125500,김잼작가아이스쿨러백,일용잡화>취미용품>취미용품(구 취미실내),32902,16221,37615.0,2025-05-01,2025-05-27
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,28472,10294,35256.5,2025-03-01,2025-05-31
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,22742,7492,32117.0,2025-03-01,2025-05-31
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,25162,10746,30060.0,2025-03-01,2025-05-31
191866,5월 와인 구독,,21124,4342,26937.5,2025-05-01,2025-05-31
123618,렌틸콩유부초밥&에그샐러드,미반>초밥류>유부초밥,19557,6304,26148.0,2025-03-01,2025-05-31
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,19037,6076,24923.5,2025-03-20,2025-05-31
192580,4월 와인 구독,,19032,4339,24715.0,2025-04-01,2025-05-29
109497, 미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,20112,7420,23984.5,2025-03-01,2025-05-31
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,19593,4261,23265.0,2025-03-01,2025-05-31
105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,17740,4439,21447.5,2025-03-01,2025-05-31
109362,7찬도시락,미반>도시락>기타,17624,6140,20662.5,2025-03-01,2025-05-31
