event_date,event_count_af_search_inventory,event_count_af_content_view_inventory,clean_unique_users_af_search_inventory,clean_unique_users_af_content_view_inventory,inventory_view_per_100_searches
2025-03-01,28596,16627,5742,5742,58.1445
2025-03-02,22474,13492,5125,5098,60.0338
2025-03-03,18312,11495,4573,4639,62.773
2025-03-04,17920,11979,4950,5130,66.8471
2025-03-05,18476,12306,5068,5213,66.6053
2025-03-06,16914,11613,4783,4926,68.6591
2025-03-07,17399,12073,4947,5088,69.389
2025-03-08,18486,12808,4799,4867,69.2849
2025-03-09,16770,11745,4603,4642,70.0358
2025-03-10,15764,11436,4576,4703,72.545
2025-03-11,17188,12251,4951,5059,71.2765
2025-03-12,16897,12039,4713,4808,71.2493
2025-03-13,15523,11638,4460,4613,74.9726
2025-03-14,15887,11853,4549,4680,74.6082
2025-03-15,14935,11230,4357,4518,75.1925
2025-03-16,12772,9176,3642,3752,71.8447
2025-03-17,12875,9485,3745,3889,73.6699
2025-03-18,13994,9826,4039,4176,70.2158
2025-03-19,16949,11550,4133,4309,68.1456
2025-03-20,42154,20802,5758,5788,49.3476
2025-03-21,29084,19722,5720,5705,67.8105
2025-03-22,21040,15720,4860,4879,74.7148
2025-03-23,18379,13762,4608,4623,74.8789
2025-03-24,20282,15425,4858,4877,76.0527
2025-03-25,19813,15179,5018,5075,76.6113
2025-03-26,19657,14700,4786,4856,74.7825
2025-03-27,18040,13969,4505,4619,77.4335
2025-03-28,19675,15007,4995,5067,76.2745
2025-03-29,17053,12943,4337,4409,75.8987
2025-03-30,16591,12379,4052,4158,74.6127
2025-03-31,17290,13238,4457,4537,76.5645
2025-04-01,20786,14953,5154,5338,71.9378
2025-04-02,17880,13403,4781,4958,74.9609
2025-04-03,17278,12894,4412,4580,74.6267
2025-04-04,15498,11864,4157,4299,76.5518
2025-04-05,13785,10529,3760,3871,76.3801
2025-04-06,13149,9727,3442,3530,73.9752
2025-04-07,14283,10780,3851,4017,75.4743
2025-04-08,13232,10351,3832,3946,78.227
2025-04-09,14112,10870,4023,4231,77.0266
2025-04-10,13455,10487,3836,3984,77.9413
2025-04-11,14089,10559,3946,4104,74.945
2025-04-12,12901,9518,3495,3633,73.7772
2025-04-13,12337,8916,3286,3422,72.2704
2025-04-14,12559,9192,3544,3648,73.1905
2025-04-15,13443,10019,3712,3876,74.5295
2025-04-16,13894,10278,3777,3985,73.9744
2025-04-17,12437,9235,3400,3560,74.2542
2025-04-18,13577,9836,3838,3971,72.446
2025-04-19,11553,8102,3172,3266,70.129
2025-04-20,10175,7384,2839,2957,72.57
2025-04-21,4857,3497,1512,1596,71.9992
2025-04-22,4640,3323,1427,1522,71.6164
2025-04-23,4829,3438,1460,1528,71.1949
2025-04-24,10958,8104,3014,3152,73.9551
2025-04-25,12065,8953,3265,3428,74.2064
2025-04-26,10331,7949,2916,3074,76.9432
2025-04-27,10580,7759,2854,2956,73.3365
2025-04-28,11232,8330,3036,3202,74.1631
2025-04-29,11412,8539,3218,3398,74.8247
2025-04-30,16729,11051,3775,3922,66.0589
2025-05-01,33478,23068,5991,6105,68.905
2025-05-02,75492,61219,10308,10322,81.0934
2025-05-03,56750,49606,9766,9929,87.4115
2025-05-04,47123,43205,9171,9531,91.6856
2025-05-05,41864,37275,8932,9340,89.0383
2025-05-06,40712,35798,9162,9555,87.9298
2025-05-07,55350,49313,11658,12070,89.093
2025-05-08,72888,63851,13712,13946,87.6015
2025-05-09,51462,46241,11778,12123,89.8547
2025-05-10,46733,40770,10909,11228,87.2403
2025-05-11,41180,36201,10121,10464,87.9092
2025-05-12,45072,40000,11023,11340,88.7469
2025-05-13,48712,43435,11740,11989,89.1669
2025-05-14,49992,43425,11420,11685,86.8639
2025-05-15,33765,30421,7737,7879,90.0963
2025-05-16,47071,42195,11035,11312,89.6412
2025-05-17,45984,41540,10815,11085,90.3358
2025-05-18,40318,36239,10370,10710,89.8829
2025-05-19,43383,38845,11170,11438,89.5397
2025-05-20,38144,34001,10335,10666,89.1385
2025-05-21,37887,31907,9940,10213,84.2162
2025-05-22,66139,50662,12661,12801,76.5993
2025-05-23,89423,71492,14503,14556,79.9481
2025-05-24,75881,63979,14295,14420,84.3149
2025-05-25,78837,67279,14068,14143,85.3394
2025-05-26,83395,71594,15414,15463,85.8493
2025-05-27,37388,33022,7844,7931,88.3225
2025-05-28,33821,29549,7328,7405,87.3688
2025-05-29,75914,64510,15638,15791,84.9777
2025-05-30,82033,74725,16706,17052,91.0914
2025-05-31,65556,63615,14372,15190,97.0392
