event_date,mapped_pos_item_code,mapped_item_name,category_l,category_m,match_type,match_score,inventory_search_count,inventory_search_users,representative_search_string
2025-03-01,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-03,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-04,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-03-05,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,2,11찬
2025-03-06,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-07,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-03-08,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,3,11찬
2025-03-09,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,1,11찬
2025-03-10,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-11,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-12,012679,11찬 도시락,미반,도시락,item_startswith_search,90,6,5,11찬
2025-03-13,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-14,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,2,11찬
2025-03-15,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-16,012679,11찬 도시락,미반,도시락,item_startswith_search,90,5,3,11찬
2025-03-17,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-18,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-19,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-20,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-21,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-23,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-24,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-25,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-26,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-27,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,1,11찬
2025-03-28,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-03-29,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-03-30,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-03-31,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,1,11찬
2025-04-01,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-04-02,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-04-03,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,2,11찬
2025-04-04,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-04-06,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-04-07,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-04-08,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,3,11찬
2025-04-09,012679,11찬 도시락,미반,도시락,item_startswith_search,90,4,3,11찬
2025-04-10,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,3,11찬
2025-04-11,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-04-12,012679,11찬 도시락,미반,도시락,item_startswith_search,90,7,2,11찬
2025-04-13,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-04-14,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-04-15,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-04-16,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-04-17,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-04-18,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-04-27,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-04-28,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-04-30,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-05-01,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-02,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-05-03,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-05-05,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-05-07,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-05-08,012679,11찬 도시락,미반,도시락,item_startswith_search,90,5,3,11찬
2025-05-10,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-12,012679,11찬 도시락,미반,도시락,item_startswith_search,90,5,3,11찬
2025-05-13,012679,11찬 도시락,미반,도시락,item_startswith_search,90,5,2,11찬
2025-05-14,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,1,11찬
2025-05-15,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,2,11찬
2025-05-16,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-17,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,2,11찬
2025-05-19,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-20,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-05-21,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,3,11찬
2025-05-22,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,3,11찬
2025-05-23,012679,11찬 도시락,미반,도시락,item_startswith_search,90,3,1,11찬
2025-05-24,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-25,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-26,012679,11찬 도시락,미반,도시락,item_startswith_search,90,2,2,11찬
2025-05-29,012679,11찬 도시락,미반,도시락,item_startswith_search,90,1,1,11찬
2025-05-31,012679,11찬 도시락,미반,도시락,item_startswith_search,90,6,4,11찬
2025-03-01,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,22,16,유부
2025-03-02,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,29,21,유부
2025-03-03,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,33,27,유부
2025-03-04,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,68,53,유부
2025-03-05,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,45,36,유부
2025-03-06,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,44,32,유부
2025-03-07,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,49,39,유부
2025-03-08,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,26,21,유부
2025-03-09,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,25,23,유부
2025-03-10,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,33,25,유부
2025-03-11,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,36,31,유부
2025-03-12,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,59,46,유부
2025-03-13,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,81,60,유부
2025-03-14,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,65,48,유부
2025-03-15,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,33,25,유부
2025-03-16,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,45,35,유부
2025-03-17,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,66,47,유부
2025-03-18,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,68,54,유부
2025-03-19,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,61,47,유부
2025-03-20,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,74,52,유부
2025-03-21,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,55,40,유부
2025-03-22,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,29,26,유부
2025-03-23,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,37,27,유부
2025-03-24,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,58,50,유부
