search_string_norm,inventory_search_string,mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,match_type,match_score,search_count,unique_users
자이언츠,자이언츠,125416,자이언츠)마!비어라500ml캔,맥주>국산맥주>캔맥주(중),맥주,국산맥주,item_startswith_search,90,447842,29358
kbo,KBO,128207,KBO)2025프로야구콜렉션카드플러스,문구/완구>일반완구>일반완구,문구/완구,일반완구,item_startswith_search,90,172946,29991
블랙서클위스키,블랙서클위스키,123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,search_in_item,80,86126,15204
콜렉션카드,콜렉션카드,128207,KBO)2025프로야구콜렉션카드플러스,문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,51542,6360
롯데자이언츠,롯데자이언츠,125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,36417,10025
꼬깔콘,꼬깔콘,125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,30782,8829
저지우유푸딩,저지우유푸딩,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,25393,8317
귀달베르토,귀달베르토,105748,지비)귀달베르토750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,18649,4696
푸딩,푸딩,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,16608,5630
우진,우진,105741,우진)루이로드레크리스탈15,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,12811,2470
앙리마티스,앙리마티스,123396,앙리마티스)와인볼(레드)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,item_startswith_search,90,12771,5005
지오도,지오도,124510,우진)지오도BDM 18,양주와인>와인>레드,양주와인,와인,search_in_item,80,12260,3591
오하요,오하요,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,10151,2530
샤또,샤또,124330,샤또 꼬스데스뚜르넬18,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,10144,3291
드보,드보,128080,1865 설렉티드 보스턴백,양주와인>와인>레드,양주와인,와인,search_in_item,80,10036,2682
닭가슴살,닭가슴살,123504,닭가슴살스테이크도시락,미반>도시락>기타,미반,도시락,item_startswith_search,90,8157,2732
르볼테,르볼테,124511,우진)르볼테21/22 750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,7852,2312
도시락,도시락,834917,10월 도시락 구독,,,,search_in_item,80,7379,3681
맛장우,맛장우,110898,맛장우 시골맛능김치찌개,미반>도시락>기타,미반,도시락,item_startswith_search,90,7319,2327
블랙서클,블랙서클,123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,search_in_item,80,7168,2230
루첸테,루첸테,108364,우진)루첸테 750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,7130,2098
뽕떼까네,뽕떼까네,105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,search_in_item,80,7130,1752
2025kbo,2025 KBO,125865,2025KBO오피셜컬렉션카드,문구/완구>일반완구>일반완구,문구/완구,일반완구,item_startswith_search,90,6881,1516
몬텔레나,몬텔레나,125808,나라)몬텔레나스탠딩저니나파샤도네이750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,6181,2061
루체,루체,124513,우진)루체 21 750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,5637,1880
히비키,히비키,124230,히비키 하모니,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,5404,2346
김밥,김밥,834791,"10월 삼각김밥,김밥 구독",,,,search_in_item,80,4850,2126
귀달,귀달,105748,지비)귀달베르토750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,4800,1496
샌드위치,샌드위치,835018,"10월 샌드위치,햄버거 구독",,,,search_in_item,80,4676,2104
삼립,삼립,109115,삼립)24년송송야채호빵90g(4입),빵>호빵>호빵,빵,호빵,item_startswith_search,90,4669,1990
와인,와인,191778,와인 구독(5%테스트)_2,,,,item_startswith_search,90,4579,3275
와인볼,와인볼,123396,앙리마티스)와인볼(레드)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,search_in_item,80,4285,1704
콜미레이터,콜미레이터,108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,3536,1329
비빔밥,비빔밥,140538,CJ)강된장보리비빔밥(컵반),가공식품>가공미반류>즉석컵밥,가공식품,가공미반류,search_in_item,80,3323,911
뽕떼,뽕떼,105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,search_in_item,80,3266,1043
피카츄,피카츄,106027,LG)포켓몬피카츄선스틱19g_H,미용/화장품>여성화장품>시즌 화장품,미용/화장품,여성화장품,search_in_item,80,3264,1574
불닭,불닭,124962,불닭마요유부초밥,미반>초밥류>유부초밥,미반,초밥류,item_startswith_search,90,2825,984
