mapped_pos_item_code,mapped_item_name,category_l,category_m,lag_days,paired_days,total_searches,total_sales_qty,search_sales_qty_corr,user_sales_qty_corr
124510,우진)지오도BDM 18,양주와인,와인,0,18,18963,174,0.97368,0.96817
124511,우진)르볼테21/22 750ml,양주와인,와인,0,45,7695,390,0.95377,0.94536
124511,우진)르볼테21/22 750ml,양주와인,와인,1,44,7612,334,0.9395,0.94169
125474,우진)샤또꾸떼16,양주와인,와인,0,22,5022,145,0.93531,0.93227
125044,농협)25년 감사장 한송이카네이션,서비스 상품,기타,0,14,154,123,0.93252,0.96536
124513,우진)루체 21 750ml,양주와인,와인,3,21,5589,70,0.92996,0.91943
124511,우진)르볼테21/22 750ml,양주와인,와인,2,43,7517,293,0.92429,0.93052
124513,우진)루체 21 750ml,양주와인,와인,1,23,5728,104,0.92346,0.93745
124513,우진)루체 21 750ml,양주와인,와인,0,24,5831,127,0.91412,0.93045
124511,우진)르볼테21/22 750ml,양주와인,와인,3,41,7438,261,0.91123,0.90637
124513,우진)루체 21 750ml,양주와인,와인,14,10,3993,17,0.90522,0.90938
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,1,35,1250,208,0.89137,0.88516
108364,우진)루첸테 750ml,양주와인,와인,3,34,6540,255,0.88031,0.87155
124513,우진)루체 21 750ml,양주와인,와인,2,22,5671,84,0.86619,0.87371
124513,우진)루체 21 750ml,양주와인,와인,13,11,4280,21,0.85936,0.87477
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,0,34,1255,257,0.85582,0.87601
108364,우진)루첸테 750ml,양주와인,와인,0,38,6846,336,0.85351,0.84901
191572,롯데)일그리지오끼안티750ml,양주와인,와인,8,38,935,104,0.84368,0.81348
108364,우진)루첸테 750ml,양주와인,와인,2,35,6621,282,0.84124,0.82626
124510,우진)지오도BDM 18,양주와인,와인,10,8,13478,27,0.84025,0.82979
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,0,25,2673,12531,0.83691,0.83153
124510,우진)지오도BDM 18,양주와인,와인,1,17,18785,127,0.83211,0.84599
124510,우진)지오도BDM 18,양주와인,와인,5,13,16752,65,0.82789,0.82785
124511,우진)르볼테21/22 750ml,양주와인,와인,6,39,7324,191,0.82517,0.82174
124511,우진)르볼테21/22 750ml,양주와인,와인,4,41,7350,225,0.82508,0.83079
107452,PB)불불나쵸칩70g,과자,스낵류,0,7,17,9,0.82354,0.86667
107452,PB)불불나쵸칩70g,과자,스낵류,8,8,25,12,0.81981,0.8355
107753,K리그산리오)산리오파니니카드(랜덤),문구/완구,일반완구,11,10,46,20,0.81753,0.82284
108357,아영)빌라안티노리끼안티클라시코750ml,양주와인,와인,0,66,2660,305,0.81698,0.79442
125570,요거트구운단호박샐러드165g,미반,샐러드 ,1,8,36,10,0.8165,0.86603
191572,롯데)일그리지오끼안티750ml,양주와인,와인,6,38,953,122,0.81037,0.77164
107452,PB)불불나쵸칩70g,과자,스낵류,12,8,18,12,0.79259,0.62706
125475,우진)샤또라그랑주 19,양주와인,와인,0,16,1272,72,0.79245,0.74984
124510,우진)지오도BDM 18,양주와인,와인,3,15,17808,92,0.79145,0.80509
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자,스낵류,0,18,19600,1213,0.78585,0.70253
124511,우진)르볼테21/22 750ml,양주와인,와인,5,39,7326,202,0.77847,0.7873
125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,1,31,993,5074,0.76128,0.79733
124511,우진)르볼테21/22 750ml,양주와인,와인,7,38,7226,173,0.75864,0.75034
105746,지비)샤또딸보2021,양주와인,와인,3,35,471,85,0.75859,0.68355
124510,우진)지오도BDM 18,양주와인,와인,6,12,16120,51,0.75692,0.75846
124291,일신)캇예스레인보우75g,과자,젤리류,5,82,486,3513,0.75142,0.73217
191572,롯데)일그리지오끼안티750ml,양주와인,와인,7,37,965,109,0.7477,0.75553
124682,KBO)삼립키움히어로즈자색고구마팡100g,빵,간식빵,5,29,310,3657,0.74357,0.73551
124291,일신)캇예스레인보우75g,과자,젤리류,4,83,488,3575,0.74195,0.72071
124510,우진)지오도BDM 18,양주와인,와인,2,16,18287,106,0.74113,0.77417
124510,우진)지오도BDM 18,양주와인,와인,4,14,17478,76,0.73892,0.7773
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵,간식빵,4,32,222,5803,0.73601,0.72795
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,5,28,1171,130,0.7338,0.73064
108357,아영)빌라안티노리끼안티클라시코750ml,양주와인,와인,6,63,2625,242,0.72803,0.71961
105746,지비)샤또딸보2021,양주와인,와인,4,32,488,81,0.7225,0.74147
105746,지비)샤또딸보2021,양주와인,와인,6,32,529,83,0.7224,0.70794
123504,닭가슴살스테이크도시락,미반,도시락,7,19,5007,117,0.72193,0.69555
132835,PB)#대파열라면큰컵,면,용기면,0,67,207,5514,0.72055,0.749
108357,아영)빌라안티노리끼안티클라시코750ml,양주와인,와인,1,66,2652,287,0.7191,0.69464
132835,PB)#대파열라면큰컵,면,용기면,1,66,200,5429,0.71874,0.75411
105742,우진)샤또뽕떼까네19,양주와인,와인,0,16,15803,120,0.71791,0.69888
108364,우진)루첸테 750ml,양주와인,와인,6,31,6186,202,0.71458,0.71019
132835,PB)#대파열라면큰컵,면,용기면,2,65,196,5217,0.71255,0.76657
124134,닭강정김밥,미반,김밥,3,10,24,11,0.71183,0.46862
124682,KBO)삼립키움히어로즈자색고구마팡100g,빵,간식빵,6,29,310,2792,0.71067,0.7258
124435,PB)바스켓팝콘,과자,스낵류,0,58,916,189,0.70983,0.72198
191572,롯데)일그리지오끼안티750ml,양주와인,와인,0,44,1008,162,0.70933,0.69591
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,3,31,1175,156,0.70863,0.74292
107452,PB)불불나쵸칩70g,과자,스낵류,6,7,26,11,0.70767,0.58029
124513,우진)루체 21 750ml,양주와인,와인,7,17,5188,38,0.70218,0.68631
107512,KBO)야구카드바인더북,문구/완구,일반완구,2,12,203,39,0.70214,0.59177
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵,간식빵,5,32,222,5163,0.70213,0.71904
108364,우진)루첸테 750ml,양주와인,와인,7,31,6059,181,0.69991,0.71231
191572,롯데)일그리지오끼안티750ml,양주와인,와인,5,36,960,125,0.69597,0.70822
124530,최강록의간장들기름비빔밥,미반,도시락,14,28,580,52,0.69177,0.72778
124291,일신)캇예스레인보우75g,과자,젤리류,6,81,483,3428,0.69104,0.74249
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,4,64,1306,10586,0.69019,0.69163
124513,우진)루체 21 750ml,양주와인,와인,4,20,5445,55,0.68955,0.70323
124489,안유성)나폴리탄파스타230g,간식,냉장피자,7,68,308,1943,0.68431,0.68979
132835,PB)#대파열라면큰컵,면,용기면,3,64,186,5161,0.68165,0.69528
191572,롯데)일그리지오끼안티750ml,양주와인,와인,9,36,899,88,0.67962,0.65989
108364,우진)루첸테 750ml,양주와인,와인,4,34,6397,227,0.67884,0.6843
124317,롯데)파이열매73g,과자,비스킷류,5,73,370,2239,0.67861,0.66049
108364,우진)루첸테 750ml,양주와인,와인,14,24,5236,110,0.67712,0.69495
