inventory_search_string,search_string_norm,mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,match_type,match_score,search_count,unique_users
자이언츠,자이언츠,125416,자이언츠)마!비어라500ml캔,맥주>국산맥주>캔맥주(중),맥주,국산맥주,item_startswith_search,90,447842,29358
자이언츠,자이언츠,128348,자이언츠)쌔리라짱셔요소다믹스맛49g,과자>젤리류>국산젤리,과자,젤리류,item_startswith_search,90,447842,29358
자이언츠,자이언츠,128161,자이언츠)쌔리라마롱미니샌드65g,빵>간식빵>캐릭터빵,빵,간식빵,item_startswith_search,90,447842,29358
자이언츠,자이언츠,128299,자이언츠)쌔리라짱셔요소다믹스맛49g (부산/양산),과자>젤리류>국산젤리,과자,젤리류,item_startswith_search,90,447842,29358
자이언츠,자이언츠,128342,자이언츠)쌔리라빠지락라면,면>용기면>라면(대형컵),면,용기면,item_startswith_search,90,447842,29358
자이언츠,자이언츠,125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,447842,29358
자이언츠,자이언츠,127537,롯데)가나초코바자이언츠기획(4입),과자>초콜릿>바초콜릿,과자,초콜릿,search_in_item,80,447842,29358
자이언츠,자이언츠,127539,롯데)빼빼로자이언츠기획(2입),과자>비스킷류>스틱과자,과자,비스킷류,search_in_item,80,447842,29358
자이언츠,자이언츠,125717,KBO)롯데자이언츠랑그드샤(화이트초코)130g,디저트>시즌케익>기타,디저트,시즌케익,search_in_item,80,447842,29358
자이언츠,자이언츠,126008,PB)자이언츠새로온팅클메론맛60g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,447842,29358
자이언츠,자이언츠,125580,PB)자이언츠월드콘160ml,아이스크림>노벨티>콘,아이스크림,노벨티,search_in_item,80,447842,29358
자이언츠,자이언츠,128344,PB)자이언츠쌔리라메이플볼60g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,447842,29358
자이언츠,자이언츠,125812,KBO)롯데자이언츠바다샌드크림빵96g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,447842,29358
자이언츠,자이언츠,125829,KBO)롯데자이언츠도라야끼빵70g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,447842,29358
자이언츠,자이언츠,125912,PB)자이언츠돌아온팅클초코맛60g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,447842,29358
자이언츠,자이언츠,125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,447842,29358
