event_date,mapped_pos_item_code,pos_sales_qty,pos_sales_amount,pos_receipts
2025-03-12,012679,1,6300,1
2025-03-18,012679,1,6300,1
2025-03-23,012679,4,25200,2
2025-03-28,012679,1,6300,1
2025-03-30,012679,1,6300,1
2025-04-09,012679,2,12600,2
2025-04-13,012679,2,12600,1
2025-04-14,012679,1,6300,1
2025-04-18,012679,1,6300,1
2025-04-20,012679,2,12600,1
2025-04-21,012679,3,18900,3
2025-04-23,012679,1,6300,1
2025-04-24,012679,1,6300,1
2025-04-30,012679,1,6300,1
2025-05-14,012679,2,12600,1
2025-05-15,012679,1,6300,1
2025-05-23,012679,1,6300,1
2025-05-29,012679,2,12600,2
2025-05-30,012679,2,12600,2
2025-03-01,014071,242,288337,236
2025-03-02,014071,203,240866,197
2025-03-03,014071,165,196125,164
2025-03-04,014071,160,189101,157
2025-03-05,014071,164,194723,174
2025-03-06,014071,154,184073,152
2025-03-07,014071,208,248619,207
2025-03-08,014071,254,302525,250
2025-03-09,014071,213,252937,214
2025-03-10,014071,306,363992,309
2025-03-11,014071,349,414465,348
2025-03-12,014071,343,407376,341
2025-03-13,014071,361,431520,363
2025-03-14,014071,357,425516,355
2025-03-15,014071,311,369445,305
2025-03-16,014071,250,297804,246
2025-03-17,014071,357,424411,368
2025-03-18,014071,369,439490,372
2025-03-19,014071,383,455394,385
2025-03-20,014071,387,462809,389
2025-03-21,014071,394,468036,401
2025-03-22,014071,294,350445,289
2025-03-23,014071,266,317909,264
2025-03-24,014071,362,431714,352
2025-03-25,014071,402,478811,402
2025-03-26,014071,400,477821,402
2025-03-27,014071,384,456504,389
2025-03-28,014071,376,450018,374
2025-03-29,014071,302,360199,304
2025-03-30,014071,276,328788,276
2025-03-31,014071,361,430614,372
2025-04-01,014071,375,446237,378
2025-04-02,014071,371,441419,371
2025-04-03,014071,394,469472,393
2025-04-04,014071,376,447029,371
2025-04-05,014071,289,344985,291
2025-04-06,014071,270,322261,270
2025-04-07,014071,370,439361,371
2025-04-08,014071,392,466459,387
2025-04-09,014071,370,441857,368
2025-04-10,014071,395,471200,400
2025-04-11,014071,385,459513,383
2025-04-12,014071,304,360416,301
2025-04-13,014071,266,318221,263
2025-04-14,014071,382,455021,385
2025-04-15,014071,404,480423,399
2025-04-16,014071,389,462540,387
2025-04-17,014071,379,452392,379
2025-04-18,014071,391,466155,386
2025-04-19,014071,296,353749,299
2025-04-20,014071,264,315277,260
2025-04-21,014071,397,472746,401
2025-04-22,014071,391,465922,389
2025-04-23,014071,394,468581,384
2025-04-24,014071,383,454596,384
2025-04-25,014071,376,446243,378
2025-04-26,014071,326,387927,317
2025-04-27,014071,244,291167,254
2025-04-28,014071,379,451388,381
2025-04-29,014071,393,467349,394
2025-04-30,014071,391,465202,389
2025-05-01,014071,285,337457,287
2025-05-02,014071,344,410720,336
2025-05-03,014071,251,298898,254
2025-05-04,014071,264,315265,260
2025-05-05,014071,220,262407,218
2025-05-06,014071,238,282387,234
2025-05-07,014071,388,461259,390
2025-05-08,014071,365,434167,359
2025-05-09,014071,369,441682,366
2025-05-10,014071,283,337401,277
2025-05-11,014071,255,303650,257
2025-05-12,014071,375,444866,379
2025-05-13,014071,384,455190,379
2025-05-14,014071,363,431813,356
2025-05-15,014071,399,474711,399
2025-05-16,014071,380,452024,381
2025-05-17,014071,330,394314,319
2025-05-18,014071,274,327491,268
2025-05-19,014071,379,451538,375
2025-05-20,014071,394,468464,388
2025-05-21,014071,183,217871,186
2025-05-22,014071,2,2400,2
2025-05-23,014071,1,1200,1
2025-04-08,014339,1,3200,1
2025-03-01,014387,2,9000,1
2025-03-02,014387,1,4500,1
2025-03-03,014387,2,9000,2
2025-03-04,014387,3,13500,3
2025-03-05,014387,1,4500,1
2025-03-06,014387,2,9000,2
2025-03-07,014387,1,4500,1
2025-03-08,014387,3,13500,2
2025-03-10,014387,5,22500,4
2025-03-11,014387,5,22500,3
2025-03-13,014387,1,4500,1
2025-03-14,014387,1,4500,1
2025-03-17,014387,5,22500,4
2025-03-18,014387,2,9000,2
2025-03-19,014387,2,9000,2
2025-03-20,014387,3,13500,3
2025-03-21,014387,2,9000,2
2025-03-22,014387,2,9000,1
2025-03-23,014387,2,9000,2
2025-03-24,014387,5,22500,3
2025-03-25,014387,5,22500,4
2025-03-26,014387,4,18000,4
2025-03-27,014387,6,27000,5
2025-03-28,014387,4,18000,4
2025-03-29,014387,3,13500,2
2025-03-30,014387,2,9000,1
2025-03-31,014387,5,22500,5
2025-04-01,014387,4,18000,4
2025-04-02,014387,4,18000,4
2025-04-03,014387,6,27000,6
2025-04-04,014387,2,9000,2
2025-04-05,014387,3,13500,3
2025-04-06,014387,1,4500,1
2025-04-07,014387,3,13500,3
2025-04-08,014387,4,18000,4
2025-04-09,014387,1,4500,1
2025-04-10,014387,2,9000,2
2025-04-11,014387,1,4500,1
2025-04-12,014387,1,4500,1
2025-04-13,014387,1,4500,1
2025-04-14,014387,9,40500,5
2025-04-15,014387,3,13500,3
2025-04-16,014387,2,9000,2
2025-04-17,014387,5,22500,4
2025-04-18,014387,1,4500,1
2025-04-19,014387,1,4500,1
2025-04-20,014387,1,4500,1
2025-04-21,014387,3,13500,3
2025-04-22,014387,5,22500,3
2025-04-23,014387,2,9000,4
2025-04-24,014387,1,4500,1
2025-04-25,014387,3,13500,2
2025-04-28,014387,1,4500,1
2025-05-02,014387,1,4500,1
2025-05-04,014387,2,9000,2
2025-05-05,014387,1,4500,1
2025-05-06,014387,1,4500,1
2025-05-07,014387,2,9000,2
2025-05-08,014387,4,18000,3
2025-05-09,014387,2,9000,2
2025-05-10,014387,2,9000,2
2025-05-11,014387,1,4500,1
2025-05-12,014387,7,31500,5
2025-05-13,014387,1,4500,1
2025-05-14,014387,1,4500,1
2025-05-16,014387,2,9000,1
2025-05-17,014387,1,4500,1
2025-05-18,014387,1,4500,1
2025-05-19,014387,3,13500,3
2025-05-21,014387,3,13500,2
2025-05-22,014387,1,4500,1
2025-05-24,014387,6,27000,1
2025-05-25,014387,3,13500,1
2025-05-27,014387,1,4500,1
2025-05-28,014387,1,4500,1
2025-05-29,014387,2,9000,2
2025-05-30,014387,3,13500,2
2025-05-31,014387,1,4500,1
2025-03-01,030673,28,146840,27
2025-03-02,030673,21,111300,21
2025-03-03,030673,19,100700,18
2025-03-04,030673,22,114040,23
2025-03-05,030673,20,104572,20
2025-03-06,030673,27,140590,27
2025-03-07,030673,20,105904,22
2025-03-08,030673,26,137544,26
2025-03-09,030673,18,91902,20
2025-03-10,030673,19,99125,19
2025-03-11,030673,17,90100,18
2025-03-12,030673,15,79500,18
2025-03-13,030673,20,106000,22
2025-03-14,030673,22,116545,22
2025-03-15,030673,13,67760,18
2025-03-16,030673,20,101042,20
2025-03-17,030673,15,78492,15
2025-03-18,030673,21,109800,23
2025-03-19,030673,17,90100,17
2025-03-20,030673,20,106000,21
2025-03-21,030673,16,81221,17
2025-03-22,030673,20,105471,21
2025-03-23,030673,20,106000,20
2025-03-24,030673,17,90100,17
2025-03-25,030673,20,104372,22
2025-03-26,030673,12,62115,12
2025-03-27,030673,21,111300,22
2025-03-28,030673,18,94900,22
2025-03-29,030673,23,121900,23
2025-03-30,030673,25,132500,26
2025-03-31,030673,16,84800,17
2025-04-01,030673,15,79017,16
2025-04-02,030673,28,146838,29
2025-04-03,030673,20,105500,19
2025-04-04,030673,21,110820,21
2025-04-05,030673,24,125661,24
2025-04-06,030673,18,95127,18
2025-04-07,030673,19,100700,18
2025-04-08,030673,19,99678,18
2025-04-09,030673,24,126651,27
2025-04-10,030673,23,121372,22
2025-04-11,030673,23,121900,26
2025-04-12,030673,32,164928,34
2025-04-13,030673,25,130970,25
2025-04-14,030673,23,119991,23
2025-04-15,030673,17,88237,17
2025-04-16,030673,25,130988,27
2025-04-17,030673,18,92732,18
2025-04-18,030673,23,121900,26
2025-04-19,030673,27,141001,27
2025-04-20,030673,21,110824,20
2025-04-21,030673,13,66403,15
2025-04-22,030673,21,108768,22
2025-04-23,030673,14,73696,15
2025-04-24,030673,16,84548,16
2025-04-25,030673,25,130016,25
2025-04-26,030673,20,105415,23
2025-04-27,030673,18,95400,18
2025-04-28,030673,14,71203,14
2025-04-29,030673,8,42400,8
2025-04-30,030673,23,118824,24
2025-05-01,030673,20,105468,20
2025-05-02,030673,29,152179,31
2025-05-03,030673,23,121350,23
2025-05-04,030673,24,127200,25
2025-05-05,030673,16,84800,16
2025-05-06,030673,17,86882,19
2025-05-07,030673,20,106000,19
2025-05-08,030673,27,140497,28
2025-05-09,030673,20,106000,17
2025-05-10,030673,28,146005,30
2025-05-11,030673,31,162002,31
2025-05-12,030673,14,74200,14
2025-05-13,030673,15,78968,15
2025-05-14,030673,28,147377,24
2025-05-15,030673,13,68900,13
2025-05-16,030673,18,95400,20
2025-05-17,030673,27,143100,30
2025-05-18,030673,20,105260,21
2025-05-19,030673,28,147365,31
2025-05-20,030673,22,116364,26
2025-05-21,030673,20,106000,22
2025-05-22,030673,21,110768,24
2025-05-23,030673,34,180200,34
2025-05-24,030673,34,179168,34
2025-05-25,030673,29,153400,30
2025-05-26,030673,30,159000,31
2025-05-27,030673,28,147932,29
2025-05-28,030673,28,147256,30
2025-05-29,030673,25,131993,28
2025-05-30,030673,33,174105,35
2025-05-31,030673,30,159300,29
