mapped_pos_item_code,mapped_item_name,category_l,category_m,lag_days,paired_days,total_searches,total_sales_qty,search_sales_qty_corr,user_sales_qty_corr
124511,우진)르볼테21/22 750ml,양주와인,와인,1,44,7612,334,0.9395,0.94169
124513,우진)루체 21 750ml,양주와인,와인,3,21,5589,70,0.92996,0.91943
124511,우진)르볼테21/22 750ml,양주와인,와인,2,43,7517,293,0.92429,0.93052
124513,우진)루체 21 750ml,양주와인,와인,1,23,5728,104,0.92346,0.93745
124511,우진)르볼테21/22 750ml,양주와인,와인,3,41,7438,261,0.91123,0.90637
124513,우진)루체 21 750ml,양주와인,와인,14,10,3993,17,0.90522,0.90938
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,1,35,1250,208,0.89137,0.88516
108364,우진)루첸테 750ml,양주와인,와인,3,34,6540,255,0.88031,0.87155
124513,우진)루체 21 750ml,양주와인,와인,2,22,5671,84,0.86619,0.87371
124513,우진)루체 21 750ml,양주와인,와인,13,11,4280,21,0.85936,0.87477
191572,롯데)일그리지오끼안티750ml,양주와인,와인,8,38,935,104,0.84368,0.81348
108364,우진)루첸테 750ml,양주와인,와인,2,35,6621,282,0.84124,0.82626
124510,우진)지오도BDM 18,양주와인,와인,10,8,13478,27,0.84025,0.82979
124510,우진)지오도BDM 18,양주와인,와인,1,17,18785,127,0.83211,0.84599
124510,우진)지오도BDM 18,양주와인,와인,5,13,16752,65,0.82789,0.82785
124511,우진)르볼테21/22 750ml,양주와인,와인,6,39,7324,191,0.82517,0.82174
124511,우진)르볼테21/22 750ml,양주와인,와인,4,41,7350,225,0.82508,0.83079
107452,PB)불불나쵸칩70g,과자,스낵류,8,8,25,12,0.81981,0.8355
107753,K리그산리오)산리오파니니카드(랜덤),문구/완구,일반완구,11,10,46,20,0.81753,0.82284
125570,요거트구운단호박샐러드165g,미반,샐러드 ,1,8,36,10,0.8165,0.86603
191572,롯데)일그리지오끼안티750ml,양주와인,와인,6,38,953,122,0.81037,0.77164
107452,PB)불불나쵸칩70g,과자,스낵류,12,8,18,12,0.79259,0.62706
124510,우진)지오도BDM 18,양주와인,와인,3,15,17808,92,0.79145,0.80509
124511,우진)르볼테21/22 750ml,양주와인,와인,5,39,7326,202,0.77847,0.7873
125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,1,31,993,5074,0.76128,0.79733
124511,우진)르볼테21/22 750ml,양주와인,와인,7,38,7226,173,0.75864,0.75034
105746,지비)샤또딸보2021,양주와인,와인,3,35,471,85,0.75859,0.68355
124510,우진)지오도BDM 18,양주와인,와인,6,12,16120,51,0.75692,0.75846
