inventory_search_string,search_string_norm,search_count,unique_users,first_search_date,last_search_date
자이언츠,자이언츠,447842,29358,2025-03-20,2025-05-31
KBO,kbo,172946,29991,2025-03-01,2025-05-31
블랙서클위스키,블랙서클위스키,86126,15204,2025-03-01,2025-05-31
콜렉션카드,콜렉션카드,51542,6360,2025-03-01,2025-05-31
롯데자이언츠,롯데자이언츠,36417,10025,2025-03-20,2025-05-31
KBO 카드,kbo카드,33265,7223,2025-03-22,2025-05-31
꼬깔콘,꼬깔콘,30782,8829,2025-03-01,2025-05-31
저지우유푸딩,저지우유푸딩,25393,8317,2025-03-01,2025-05-31
귀달베르토,귀달베르토,18649,4696,2025-03-01,2025-05-31
푸딩,푸딩,16608,5630,2025-03-01,2025-05-31
Kbo,kbo,15808,5278,2025-03-01,2025-05-31
KBO카드,kbo카드,13030,4338,2025-03-13,2025-05-31
우진,우진,12811,2470,2025-03-01,2025-05-31
앙리마티스,앙리마티스,12771,5005,2025-03-01,2025-05-31
지오도,지오도,12260,3591,2025-03-01,2025-05-31
오하요,오하요,10151,2530,2025-03-01,2025-05-31
샤또,샤또,10144,3291,2025-03-01,2025-05-31
드보,드보,10036,2682,2025-03-01,2025-05-31
닭가슴살,닭가슴살,8157,2732,2025-03-01,2025-05-31
르볼테,르볼테,7852,2312,2025-03-01,2025-05-31
도시락,도시락,7379,3681,2025-03-01,2025-05-31
맛장우,맛장우,7319,2327,2025-03-01,2025-05-31
블랙서클,블랙서클,7168,2230,2025-03-01,2025-05-31
뽕떼까네,뽕떼까네,7130,1752,2025-03-05,2025-05-31
루첸테,루첸테,7130,2098,2025-03-01,2025-05-31
크보빵,크보빵,6917,3111,2025-03-13,2025-05-31
2025 KBO,2025kbo,6881,1516,2025-05-22,2025-05-31
몬텔레나,몬텔레나,6181,2061,2025-05-23,2025-05-31
오하요 푸딩,오하요푸딩,6012,1751,2025-03-01,2025-05-31
루체,루체,5637,1880,2025-03-01,2025-05-30
kbo,kbo,5433,1965,2025-03-04,2025-05-31
히비키,히비키,5404,2346,2025-03-01,2025-05-31
김밥,김밥,4850,2126,2025-03-01,2025-05-31
귀달,귀달,4800,1496,2025-03-01,2025-05-31
샌드위치,샌드위치,4676,2104,2025-03-01,2025-05-31
삼립,삼립,4669,1990,2025-03-01,2025-05-31
와인,와인,4579,3275,2025-03-01,2025-05-31
와인볼,와인볼,4285,1704,2025-03-01,2025-05-31
콜미레이터,콜미레이터,3536,1329,2025-03-01,2025-05-31
비빔밥,비빔밥,3323,911,2025-03-01,2025-05-31
뽕떼,뽕떼,3266,1043,2025-03-01,2025-05-31
피카츄,피카츄,3264,1574,2025-03-02,2025-05-31
불닭,불닭,2825,984,2025-03-01,2025-05-31
메론킥,메론킥,2789,1530,2025-04-02,2025-05-31
야마자키,야마자키,2470,1143,2025-03-01,2025-05-31
팅클,팅클,2371,1340,2025-04-21,2025-05-31
생드래프트,생드래프트,2266,1069,2025-03-01,2025-05-31
오이스터베이,오이스터베이,2248,929,2025-03-02,2025-05-31
신동엽 블랙서클,신동엽블랙서클,2235,727,2025-03-01,2025-05-31
롯데,롯데,2196,1565,2025-03-01,2025-05-31
산리오,산리오,2022,1272,2025-03-01,2025-05-31
모찌,모찌,1938,816,2025-03-01,2025-05-31
씨앗,씨앗,1915,598,2025-04-21,2025-05-30
지오도 bdm,지오도bdm,1859,747,2025-03-01,2025-05-31
참치마요,참치마요,1818,694,2025-03-01,2025-05-31
보히가스,보히가스,1755,556,2025-03-01,2025-05-31
샤또 꾸떼,샤또꾸떼,1734,444,2025-03-17,2025-05-31
조니워커,조니워커,1733,759,2025-03-01,2025-05-31
도그포인트,도그포인트,1707,548,2025-03-06,2025-05-31
거인,거인,1610,526,2025-04-18,2025-05-31
위스키,위스키,1605,1095,2025-03-01,2025-05-31
바밤바,바밤바,1592,478,2025-03-03,2025-05-31
스트롱사와,스트롱사와,1480,583,2025-03-01,2025-05-31
카드,카드,1468,995,2025-03-01,2025-05-31
포차코,포차코,1450,382,2025-03-01,2025-05-31
라그랑주,라그랑주,1430,327,2025-04-25,2025-05-31
신동엽,신동엽,1409,575,2025-03-01,2025-05-31
최강록,최강록,1392,417,2025-03-09,2025-05-31
드보 뀌베,드보뀌베,1390,579,2025-03-21,2025-05-30
푸하하,푸하하,1363,317,2025-03-01,2025-05-31
배비치,배비치,1323,648,2025-03-01,2025-05-31
삼각김밥,삼각김밥,1323,871,2025-03-01,2025-05-31
두산,두산,1316,542,2025-03-02,2025-05-31
쟈지푸딩,쟈지푸딩,1271,353,2025-03-01,2025-05-31
오일스타,오일스타,1263,654,2025-04-10,2025-05-31
기아,기아,1252,645,2025-03-15,2025-05-31
불닭김밥,불닭김밥,1231,277,2025-03-01,2025-05-31
하이볼,하이볼,1223,929,2025-03-01,2025-05-31
도작,도작,1206,403,2025-03-04,2025-05-31
꾸떼,꾸떼,1195,655,2025-04-08,2025-05-31
우유,우유,1193,702,2025-03-01,2025-05-31
한화,한화,1192,617,2025-03-08,2025-05-31
맥주,맥주,1160,887,2025-03-01,2025-05-31
러시안잭 쇼비뇽블랑,러시안잭쇼비뇽블랑,1148,470,2025-03-05,2025-05-31
렌틸콩,렌틸콩,1147,462,2025-03-01,2025-05-26
랑그드샤,랑그드샤,1136,539,2025-03-01,2025-05-31
K리그,k리그,1134,328,2025-03-01,2025-05-31
까네,까네,1112,320,2025-03-01,2025-05-31
유부,유부,1058,479,2025-03-01,2025-05-31
유심,유심,1053,692,2025-03-02,2025-05-31
라면,라면,1048,762,2025-03-01,2025-05-31
루체 21,루체21,1047,328,2025-03-01,2025-05-30
화요,화요,1032,443,2025-03-01,2025-05-31
니콜라스,니콜라스,1013,484,2025-03-01,2025-05-31
신퀀타,신퀀타,1007,472,2025-03-01,2025-05-31
블랙써클,블랙써클,1007,327,2025-03-01,2025-05-31
지오도bdm,지오도bdm,994,188,2025-03-01,2025-04-14
지오도 라퀸타,지오도라퀸타,971,290,2025-03-01,2025-05-31
포켓몬카드,포켓몬카드,971,86,2025-03-01,2025-05-31
와일드터키,와일드터키,930,436,2025-03-01,2025-05-30
파이퍼,파이퍼,913,460,2025-03-01,2025-05-31
끼안티,끼안티,912,326,2025-03-01,2025-05-30
막걸리,막걸리,905,600,2025-03-01,2025-05-31
정희원,정희원,901,706,2025-03-01,2025-05-31
유부초밥,유부초밥,896,345,2025-03-01,2025-05-31
몰리두커,몰리두커,894,417,2025-03-01,2025-05-31
프라가,프라가,892,291,2025-03-01,2025-05-31
젤리,젤리,889,633,2025-03-01,2025-05-31
릴하이브리드3,릴하이브리드3,881,513,2025-03-02,2025-05-31
샐러드,샐러드,874,527,2025-03-01,2025-05-31
저속노화,저속노화,865,721,2025-03-01,2025-05-31
계란,계란,862,559,2025-03-01,2025-05-31
삼각,삼각,847,418,2025-03-01,2025-05-31
와인하이볼,와인하이볼,843,358,2025-03-01,2025-05-31
팝콘,팝콘,834,450,2025-03-01,2025-05-30
앨런스콧,앨런스콧,832,396,2025-03-01,2025-05-31
