category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
양주와인,양주,159403,227,18077,173378.0,146243,5696,293,5791,1288,3.8949,7.8547,763.7797
미반,도시락,115723,50,18522,147298.5,89295,18721,3937,3162,567,20.9653,24.5064,2945.97
,,62122,10,12772,82244.5,50728,9846,54,1130,273,19.4094,21.637,8224.45
빵,간식빵,53064,42,7316,75771.0,35933,11717,1589,3366,457,32.6079,41.9753,1804.0714
양주와인,와인,60494,276,10653,70955.5,50421,4896,561,3659,926,9.7102,16.9671,257.0851
디저트,젤리,52333,18,14269,63638.0,44332,5578,539,1646,200,12.5823,16.2952,3535.4444
미반,초밥류,35035,19,9634,45813.5,25947,5880,1186,1802,201,22.6616,29.6065,2411.2368
조리빵,샌드위치,34985,42,7761,44934.0,25167,6089,1776,1739,206,24.1944,31.1042,1069.8571
미반,김밥,33907,39,8023,44564.0,23927,6092,1590,2081,213,25.4608,34.1581,1142.6667
디저트,냉동디저트,35053,3,10359,41922.0,28592,3888,988,1404,163,13.5982,18.5087,13974.0
미반,삼각김밥,27300,27,7407,37842.5,18830,6154,1152,951,204,32.6819,37.7323,1401.5741
과자,스낵류,21574,147,5653,29147.0,14274,5016,1461,700,117,35.1408,40.0448,198.2789
면,용기면,15484,90,4072,21216.5,9882,3849,1163,512,75,38.9496,44.1307,235.7389
과자,비스킷류,16146,135,5005,20799.0,11118,3105,1048,761,110,27.9277,34.7724,154.0667
과자,캔디류,13743,166,4721,16392.0,11321,1547,342,424,87,13.6649,17.4101,98.747
과자,초콜릿,13726,109,5775,16229.5,11044,1515,469,599,92,13.7179,19.1416,148.8945
조리빵,햄버거,11164,32,3002,14418.5,8000,2204,664,254,39,27.55,30.725,450.5781
미반,푸드 간편식,10976,25,3326,13483.0,8692,1516,384,337,47,17.4413,21.3185,539.32
기타,판촉물,7111,6,1861,11432.0,4798,2152,33,112,14,44.852,47.1863,1905.3333
패션잡화,시즌/소품,8673,69,2534,10339.0,7463,774,57,321,40,10.3712,14.6724,149.8406
아이스크림,노벨티,8376,84,3701,10158.5,6460,1083,360,425,43,16.7647,23.3437,120.9345
음료,탄산음료,7644,91,2719,9643.0,4929,1666,743,254,50,33.8,38.9531,105.967
맥주,수입맥주,7738,131,2668,9465.0,6385,950,147,204,38,14.8786,18.0736,72.2519
디저트,냉장베이커리,7176,22,2603,9254.0,5223,1175,288,427,61,22.4966,30.672,420.6364
문구/완구,일반완구,6278,61,1787,7422.0,5339,520,41,308,58,9.7397,15.5085,121.6721
과자,젤리류,4845,95,1463,6571.0,3474,931,161,239,22,26.7991,33.6788,69.1684
맥주,국산맥주,4952,41,2030,6046.0,3898,700,190,134,30,17.9579,21.3956,147.4634
양주와인,하이볼,5095,23,1825,6015.0,3984,574,170,280,83,14.4076,21.4357,261.5217
즉석음료,세븐카페,3510,2,1328,5480.0,2421,1010,35,36,8,41.7183,43.2053,2740.0
유음료,가공우유,3827,60,1334,5172.5,2490,898,279,142,17,36.0643,41.7671,86.2083
전통주,소주,3935,40,1518,4810.0,3224,458,69,151,25,14.206,18.8896,120.25
냉장,냉장간편식,4254,54,2258,4709.0,3699,275,103,155,22,7.4344,11.6248,87.2037
아이스크림,고급,3640,49,712,4658.5,2670,641,180,131,17,24.0075,28.9139,95.0714
즉석 식품,즉석치킨(삭제예정),3167,16,833,4160.0,2264,609,158,121,15,26.8993,32.2438,260.0
가공식품,가공미반류,3329,71,1559,4106.0,2521,506,161,122,17,20.0714,24.9107,57.831
면,봉지면,2841,35,771,3913.5,1739,773,255,61,12,44.4508,47.9586,111.8143
전통주,기타전통주,3058,118,1259,3579.0,2560,239,46,184,23,9.3359,16.5234,30.3305
냉장,냉장간식,2719,71,984,3521.0,1891,520,163,126,19,27.4987,34.1618,49.5915
유음료,흰우유,2270,10,565,3286.0,1436,629,140,56,9,43.8022,47.7019,328.6
음료,기능성드링크,2045,51,693,2757.0,1333,483,146,68,15,36.2341,41.3353,54.0588
유음료,컵커피,1649,35,512,2124.0,1111,354,134,45,5,31.8632,35.9136,60.6857
음료,주스,1534,59,621,2039.0,1030,304,87,99,14,29.5146,39.1262,34.5593
유음료,요구르트,1334,35,540,1693.0,930,237,82,73,12,25.4839,33.3333,48.3714
음료,커피음료,1201,48,450,1673.0,782,299,79,38,3,38.2353,43.0946,34.8542
즉석 식품,즉석치킨,1202,24,364,1671.0,742,309,95,51,5,41.6442,48.5175,69.625
담배,전자담배,1511,8,391,1666.0,1354,82,4,46,23,6.0561,9.4535,208.25
음료,스포츠음료,1160,20,437,1611.5,744,289,78,42,6,38.8441,44.4892,80.575
음료,차음료,1200,47,498,1535.0,802,228,83,73,14,28.4289,37.5312,32.6596
음료,생수,1110,22,443,1532.0,730,261,66,46,7,35.7534,42.0548,69.6364
가공식품,상온간편식,1131,49,505,1477.0,808,209,57,52,5,25.8663,32.302,30.1429
서비스 상품,일반서비스,1168,7,571,1457.0,944,137,18,61,4,14.5127,20.9746,208.1429
신선,과일,913,32,342,1190.0,651,171,45,39,7,26.2673,32.2581,37.1875
과자,프로틴/시리얼,842,24,317,1119.0,560,181,59,39,3,32.3214,39.2857,46.625
건강/기호식품,숙취해소제,838,13,442,1018.0,637,135,50,13,1,21.1931,23.2339,78.3077
신선,수축산/계란,744,10,197,977.0,487,174,63,17,3,35.729,39.2197,97.7
건강/기호식품,커피,644,20,175,848.5,461,128,27,19,8,27.7657,31.8872,42.425
유음료,두유,650,14,225,841.0,406,148,60,29,7,36.4532,43.5961,60.0714
유음료,냉장주스,588,23,249,787.0,390,127,40,29,2,32.5641,40.0,34.2174
유음료,기능성우유,571,9,218,765.0,379,116,31,38,7,30.6069,40.6332,85.0
즉석음료,얼음,563,15,155,762.0,380,127,33,19,4,33.4211,38.4211,50.8
미디어 상품,음반,579,2,242,760.5,459,93,3,15,6,20.2614,23.5294,380.25
과자,껌,556,30,199,748.0,354,134,46,20,2,37.8531,43.5028,24.9333
신선,야채,663,41,259,748.0,475,83,48,43,14,17.4737,26.5263,18.2439
위생용품,티슈,598,24,314,717.0,462,79,29,25,3,17.0996,22.5108,29.875
빵,구움과자,502,10,218,688.0,311,124,35,24,8,39.8714,47.5884,68.8
즉석음료,파우치,503,34,152,680.0,328,107,32,33,3,32.622,42.6829,20.0
위생용품,생리대,539,51,253,623.5,425,59,22,25,7,13.8824,19.7647,12.2255
유음료,프로틴 음료,463,19,161,550.0,323,82,45,13,0,25.387,29.4118,28.9474
약품/의료품,의약외품,424,31,158,538.0,291,86,29,12,6,29.5533,33.677,17.3548
음료,전통음료,395,17,155,527.0,243,94,36,20,2,38.6831,46.9136,31.0
즉석 식품,즉석간식,428,7,203,520.0,328,61,22,16,1,18.5976,23.4756,74.2857
맥주,무알콜맥주,413,11,221,482.0,324,52,20,13,4,16.0494,20.0617,43.8182
전통주,막걸리,411,18,179,466.0,328,44,16,15,8,13.4146,17.9878,25.8889
양주와인,리쿼,381,16,222,443.0,302,28,12,36,3,9.2715,21.1921,27.6875
안주,오징어,319,25,117,423.0,215,66,19,16,3,30.6977,38.1395,16.92
미반,샐러드 ,378,7,161,414.0,313,10,5,42,8,3.1949,16.6134,59.1429
조미료/건물,소스류,283,19,125,383.0,193,55,15,20,0,28.4974,38.8601,20.1579
안주,스낵안주,316,16,189,369.0,246,31,11,23,5,12.6016,21.9512,23.0625
냉동,조리냉동,293,10,135,363.0,215,46,14,14,4,21.3953,27.907,36.3
냉장,냉장안주,302,25,140,362.0,232,29,12,28,1,12.5,24.569,14.48
유음료,유제품,277,11,126,361.0,200,49,13,14,1,24.5,31.5,32.8182
아이스크림,홈타입,246,6,94,329.0,171,50,12,11,2,29.2398,35.6725,54.8333
조미료/건물,조미료,223,18,71,307.0,145,54,13,8,3,37.2414,42.7586,17.0556
가공식품,캔,207,24,74,278.0,132,50,16,7,2,37.8788,43.1818,11.5833
건강/기호식품,건강/이너뷰티,214,11,116,259.0,168,29,8,7,2,17.2619,21.4286,23.5455
가정용품,세제류,212,17,94,248.0,160,29,13,8,2,18.125,23.125,14.5882
안주,너트류,200,26,85,245.0,145,29,12,13,1,20.0,28.9655,9.4231
건강/기호식품,차,185,17,92,242.0,139,32,5,7,2,23.0216,28.0576,14.2353
간식,냉장피자,189,13,77,226.0,140,21,9,17,2,15.0,27.1429,17.3846
냉동,냉동만두,180,9,84,212.0,132,26,10,8,4,19.697,25.7576,23.5556
일용잡화,휴대폰/주변기기,152,19,54,184.0,125,20,4,2,1,16.0,17.6,9.6842
가정용품,행락용품,125,14,52,174.0,79,33,9,3,1,41.7722,45.5696,12.4286
안주,생선류,120,16,55,154.0,84,25,9,2,0,29.7619,32.1429,9.625
안주,농산안주,118,11,54,146.0,77,17,9,14,1,22.0779,40.2597,13.2727
H&B,치약,115,13,43,136.0,86,19,9,1,0,22.093,23.2558,10.4615
가정용품,방향제,116,7,68,132.0,97,12,5,2,0,12.3711,14.433,18.8571
일용잡화,반려동물용품,105,18,60,123.0,82,13,4,3,1,15.8537,19.5122,6.8333
조미료/건물,건해산물,97,5,59,117.0,73,14,5,4,1,19.1781,24.6575,23.4
약품/의료품,의료기기,88,4,37,110.0,65,14,3,4,2,21.5385,27.6923,27.5
안주,육포,90,16,34,109.0,64,14,7,5,0,21.875,29.6875,6.8125
조미료/건물,식용유지,77,5,22,108.0,49,21,6,1,0,42.8571,44.898,21.6
미용/화장품,미용소품,84,12,60,91.0,72,7,4,1,0,9.7222,11.1111,7.5833
간식,냉장간식,71,3,48,89.0,51,4,1,14,1,7.8431,35.2941,29.6667
미용/화장품,여성화장품,78,12,32,89.0,58,12,6,1,1,20.6897,22.4138,7.4167
