mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,74699,11483,78171.0,70728,1448,64,1868,579,12,2025-03-01,2025-03-31,19900.0,1384,1289,78189,2.0473,2.6411,1.9568,6.8091
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,51515,14095,62653.0,43698,5484,514,1593,188,38,2025-03-01,2025-03-31,4000.0,4970,1405,62710,12.5498,3.6455,11.3735,4.4491
191572,3월 와인 구독,,,,,구독할인,30725,5178,39390.0,25677,4148,5,694,143,58,2025-03-01,2025-03-31,3900.0,4143,551,39477,16.1545,2.7028,16.1351,7.624
123618,렌틸콩유부초밥&에그샐러드,미반>초밥류>유부초밥,미반,초밥류,유부초밥,사전예약,19475,6277,26157.0,14059,3594,670,1039,99,14,2025-03-01,2025-03-31,3900.0,2924,940,26178,25.5637,7.3903,20.7981,4.1705
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,17758,4926,24647.0,12777,3954,623,343,57,4,2025-03-01,2025-03-31,4500.0,3331,286,24653,30.9462,2.6845,26.0703,5.0047
124230,히비키 하모니,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,18402,2689,20149.5,16796,641,3,786,151,25,2025-03-11,2025-03-31,148000.0,638,635,20187,3.8164,4.6797,3.7985,7.5073
123504,닭가슴살스테이크도시락,미반>도시락>기타,미반,도시락,기타,사전예약,14698,5336,18912.5,11219,2255,430,713,72,9,2025-03-01,2025-03-31,6500.0,1825,641,18926,20.0998,6.3553,16.267,3.5469
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,13410,6646,15696.5,11188,1326,369,474,50,3,2025-03-01,2025-03-31,2400.0,957,424,15701,11.852,4.2367,8.5538,2.3625
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,10638,3371,14414.5,7729,2027,281,495,105,1,2025-03-20,2025-03-31,1900.0,1746,390,14416,26.2259,6.4045,22.5902,4.2765
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,11801,5078,14331.5,9450,1447,348,477,70,9,2025-03-01,2025-03-31,3900.0,1099,407,14345,15.3122,5.0476,11.6296,2.8249
