event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views,first_month
2025-03,123923,신동엽)블랙서클위스키700ml,양주와인,양주,74699,11483,78171.0,70728,1448,1868,2025-03-01,2.0473,2025-03
2025-03,123101,G)오하요저지우유푸딩115g,디저트,젤리,51515,14095,62653.0,43698,5484,1593,2025-03-01,12.5498,2025-03
2025-03,191572,3월 와인 구독,,,30725,5178,39390.0,25677,4148,694,2025-03-01,16.1545,2025-03
2025-03,123618,렌틸콩유부초밥&에그샐러드,미반,초밥류,19475,6277,26157.0,14059,3594,1039,2025-03-01,25.5637,2025-03
2025-03,014387,맛장우전주식비빔밥,미반,도시락,17758,4926,24647.0,12777,3954,343,2025-03-01,30.9462,2025-03
2025-03,014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,14330,4380,21483.5,9792,3892,219,2025-03-01,39.7467,2025-03
2025-03,124230,히비키 하모니,양주와인,양주,18402,2689,20149.5,16796,641,786,2025-03-11,3.8164,2025-03
2025-03,123504,닭가슴살스테이크도시락,미반,도시락,14698,5336,18912.5,11219,2255,713,2025-03-01,20.0998,2025-03
2025-03,109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,13410,6646,15696.5,11188,1326,474,2025-03-01,11.852,2025-03
2025-03,124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,10638,3371,14414.5,7729,2027,495,2025-03-20,26.2259,2025-03
2025-03,105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,11801,5078,14331.5,9450,1447,477,2025-03-01,15.3122,2025-03
2025-03,109362,7찬도시락,미반,도시락,11837,4000,13427.5,10606,871,185,2025-03-01,8.2123,2025-03
2025-03,123619,홀그레인머스타드닭가슴살김밥,미반,김밥,9399,3155,12818.0,6470,1783,714,2025-03-01,27.558,2025-03
2025-03,105748,지비)귀달베르토750ml,양주와인,와인,10983,2570,12595.5,9027,867,684,2025-03-01,9.6045,2025-03
2025-03,109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,9842,4008,11894.0,7954,1115,453,2025-03-01,14.0181,2025-03
2025-03,124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,6801,2455,9495.0,4708,1429,388,2025-03-20,30.3526,2025-03
2025-03,108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,7299,2124,9428.0,5804,1006,362,2025-03-01,17.3329,2025-03
2025-03,123953,안유성명장 치킨난반정식,미반,도시락,7930,2975,9341.5,6861,779,143,2025-03-01,11.354,2025-03
2025-03,124228,야마자키 12년,양주와인,양주,8732,1310,9238.5,8098,141,402,2025-03-11,1.7412,2025-03
2025-03,123444,와일드 터키 지미 러셀  70주년 릴리즈,양주와인,양주,8919,1302,9182.5,8538,34,291,2025-03-11,0.3982,2025-03
2025-03,124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,6409,2340,8995.5,4510,1310,381,2025-03-20,29.0466,2025-03
2025-03,124227,야마자키 DR,양주와인,양주,8286,1387,8963.5,7508,198,477,2025-03-11,2.6372,2025-03
2025-03,124530,최강록의간장들기름비빔밥,미반,도시락,6256,1865,8473.5,4526,1290,171,2025-03-15,28.502,2025-03
2025-03,123655,닭가슴살잡곡샌드,조리빵,샌드위치,6177,2401,8360.0,4229,1105,551,2025-03-01,26.1291,2025-03
