event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views
2025-04,123101,G)오하요저지우유푸딩115g,디저트,젤리,29153,8168,36389.0,23773,3854,856,2025-04-01,16.2117
2025-04,192580,4월 와인 구독,,,19004,4336,24700.0,15679,2740,448,2025-04-01,17.4756
2025-04,123923,신동엽)블랙서클위스키700ml,양주와인,양주,15666,4316,15928.5,14828,53,570,2025-04-01,0.3574
2025-04,125382,NCTWISH기획세트,과자,젤리류,11042,2406,13576.0,9493,1126,362,2025-04-24,11.8614
2025-04,014387,맛장우전주식비빔밥,미반,도시락,8802,3206,11546.5,6589,1697,126,2025-04-01,25.755
2025-04,192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,8152,1805,9298.5,7297,491,296,2025-04-01,6.7288
2025-04,109055,G)크라시에유자셔벗140ml,아이스크림,고급,7470,4341,8409.0,6676,463,219,2025-04-03,6.9353
2025-04,105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,6628,2526,8152.5,4964,1074,184,2025-04-01,21.6358
2025-04,124530,최강록의간장들기름비빔밥,미반,도시락,6464,3519,7624.5,5428,735,97,2025-04-01,13.5409
2025-04,124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,5838,2075,7394.5,4270,1031,189,2025-04-01,24.1452
2025-04,105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,6004,1862,7260.0,4476,985,124,2025-04-01,22.0063
2025-04,125102,이장우)오일스타알리오올리오,면,용기면,5363,1926,6698.0,4213,770,184,2025-04-16,18.2768
2025-04,109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,5605,2060,6693.5,4385,731,201,2025-04-01,16.6705
2025-04,990120,"모바일금액권 5,000원",기타,판촉물,4905,2850,6685.0,3958,890,35,2025-04-01,22.4861
2025-04,125237,엔시티위시2집미니앨범,미디어 상품,음반,5001,1923,6576.5,4051,762,138,2025-04-15,18.8102
2025-04,124534,4월 도시락 구독,,,4213,1873,6111.5,3217,928,58,2025-04-01,28.8468
2025-04,124932,버터치킨카레덮밥,미반,도시락,4525,1824,5927.0,3613,727,97,2025-04-09,20.1218
2025-04,109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,4784,2040,5792.0,3502,779,151,2025-04-01,22.2444
2025-04,014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,4509,1975,5730.5,3092,961,70,2025-04-01,31.0802
2025-04,124549,PB)바밤바꿀밤생크림빵120g,디저트,냉장베이커리,5213,3314,5468.0,4925,159,64,2025-04-01,3.2284
2025-04,124532,맛장우맛자랑 직화닭갈비,미반,도시락,4179,1498,5405.5,3292,707,53,2025-04-01,21.4763
2025-04,108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,4255,1418,5306.0,3482,521,170,2025-04-01,14.9627
2025-04,124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,4115,1515,5290.5,2837,805,170,2025-04-01,28.375
2025-04,124534,맛장우맛자랑 부대볶음,미반,도시락,3875,1390,5047.5,3073,669,29,2025-04-01,21.7703
2025-04,124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵,간식빵,3480,1312,4804.0,2309,816,134,2025-04-01,35.34
2025-04,109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,4015,1790,4718.5,3400,393,118,2025-04-01,11.5588
2025-04,125051,사천식마파두부덮밥,미반,도시락,3320,1414,4609.0,2538,666,59,2025-04-16,26.2411
2025-04,192580,무학)드보뀌베D 750ml,양주와인,와인,3966,1180,4608.5,3478,321,110,2025-04-02,9.2294
2025-04,124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵,간식빵,3309,1194,4463.0,2232,719,144,2025-04-01,32.2133
2025-04,013782,New모둠초밥정식,미반,초밥류,3718,1892,4421.5,3163,405,64,2025-04-01,12.8043
2025-04,124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,3172,1138,4259.0,2137,676,151,2025-04-01,31.6331
2025-04,123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,3209,975,4106.5,2520,420,198,2025-04-03,16.6667
2025-04,012679,11찬 도시락,미반,도시락,3089,1443,3839.0,2486,453,48,2025-04-01,18.222
2025-04,124529,롯데)최강록의간장들기름비빔밥,미반,도시락,3232,1338,3818.0,2604,408,68,2025-04-01,15.6682
