mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,29153,8168,36389.0,23773,3854,568,856,94,8,2025-04-01,2025-04-30,4000.0,3286,762,36401,16.2117,3.6007,13.8224,4.4565
109055,G)크라시에유자셔벗140ml,아이스크림>고급>컵,아이스크림,고급,컵,당일픽업,7470,4341,8409.0,6676,463,87,219,13,12,2025-04-03,2025-04-30,2800.0,376,206,8427,6.9353,3.2804,5.6321,1.9413
192580,4월 와인 구독,,,,,구독할인,19004,4336,24700.0,15679,2740,5,448,104,28,2025-04-01,2025-04-30,3900.0,2735,344,24742,17.4756,2.8573,17.4437,5.7062
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,15666,4316,15928.5,14828,53,13,570,191,11,2025-04-01,2025-04-30,19900.0,40,379,15945,0.3574,3.8441,0.2698,3.6944
124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,6464,3519,7624.5,5428,735,185,97,18,1,2025-04-01,2025-04-30,4900.0,550,79,7626,13.5409,1.787,10.1326,2.1671
124549,PB)바밤바꿀밤생크림빵120g,디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,냉장빵,당일픽업,5213,3314,5468.0,4925,159,57,64,6,2,2025-04-01,2025-04-30,3500.0,102,58,5471,3.2284,1.2995,2.0711,1.6509
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,8802,3206,11546.5,6589,1697,366,126,21,3,2025-04-01,2025-04-30,4500.0,1331,105,11551,25.755,1.9123,20.2003,3.6029
990120,"모바일금액권 5,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,4905,2850,6685.0,3958,890,13,35,3,6,2025-04-01,2025-04-30,5000.0,877,32,6694,22.4861,0.8843,22.1577,2.3488
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,6628,2526,8152.5,4964,1074,359,184,44,3,2025-04-01,2025-04-30,3900.0,715,140,8157,21.6358,3.7067,14.4037,3.2292
125382,NCTWISH기획세트,과자>젤리류>국산젤리,과자,젤리류,국산젤리,사전예약,11042,2406,13576.0,9493,1126,13,362,20,28,2025-04-24,2025-04-30,11000.0,1113,342,13618,11.8614,3.8133,11.7244,5.66
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,5838,2075,7394.5,4270,1031,276,189,71,1,2025-04-01,2025-04-30,1900.0,755,118,7396,24.1452,4.4262,17.6815,3.5643
109497, 미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,5605,2060,6693.5,4385,731,259,201,28,1,2025-04-01,2025-04-30,2400.0,472,173,6695,16.6705,4.5838,10.764,3.25
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,4784,2040,5792.0,3502,779,325,151,25,2,2025-04-01,2025-04-30,2400.0,454,126,5795,22.2444,4.3118,12.964,2.8407
125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,숙면/건면,당일픽업,5363,1926,6698.0,4213,770,120,184,74,2,2025-04-16,2025-04-30,3600.0,650,110,6701,18.2768,4.3674,15.4284,3.4792
125237,엔시티위시2집미니앨범,미디어 상품>음반>CD,미디어 상품,음반,CD,사전예약,5001,1923,6576.5,4051,762,19,138,22,9,2025-04-15,2025-04-28,18700.0,743,116,6590,18.8102,3.4066,18.3412,3.4269
013782,New모둠초밥정식,미반>초밥류>초밥,미반,초밥류,초밥,사전예약,3718,1892,4421.5,3163,405,63,64,22,1,2025-04-01,2025-04-30,6500.0,342,42,4423,12.8043,2.0234,10.8125,2.3377
220178,4월 장보기 구독,,,,,구독할인,2370,1890,2513.0,2266,75,6,17,6,0,2025-04-01,2025-04-30,3000.0,69,11,2513,3.3098,0.7502,3.045,1.3296
124534,4월 도시락 구독,,,,,구독할인,4213,1873,6111.5,3217,928,5,58,2,3,2025-04-01,2025-04-30,4000.0,923,56,6116,28.8468,1.8029,28.6913,3.2653
