mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
070012,빙그레)바나나우유240ml,유음료>가공우유>바나나우유,유음료,가공우유,바나나우유,당일픽업,1682,500,2527.0,945,570,151,13,3,0,2025-05-01,2025-05-31,1800.0,419,10,2527,60.3175,1.3757,44.3386,5.054
111382,농심)멘토스레인보우,과자>캔디류>과일향캔디,과자,캔디류,과일향캔디,당일픽업,1486,469,2175.0,831,493,151,9,2,0,2025-05-01,2025-05-31,900.0,342,7,2175,59.3261,1.083,41.1552,4.6375
132167,농심)튀김우동(소컵),면>용기면>라면(소형컵),면,용기면,라면(소형컵),당일픽업,1573,433,2351.0,893,527,142,10,1,0,2025-05-01,2025-05-31,1250.0,385,9,2351,59.0146,1.1198,43.1131,5.4296
117574,PB)누네띠네55g,과자>비스킷류>파이,과자,비스킷류,파이,당일픽업,1732,597,2441.0,948,543,193,35,13,0,2025-05-01,2025-05-31,1500.0,350,22,2441,57.2785,3.692,36.9198,4.0888
160749,칠성)2%부족할때복숭아500ml,음료>스포츠음료>스포츠음료(중),음료,스포츠음료,스포츠음료(중),당일픽업,1874,609,2813.0,1086,613,147,21,7,0,2025-05-01,2025-05-31,1800.0,466,14,2813,56.4457,1.9337,42.9098,4.619
107053,롯데)맛장우삼각더커진참치마요,미반>삼각김밥>기타주먹밥(더커진삼각),미반,삼각김밥,기타주먹밥(더커진삼각),당일픽업,921,322,1288.0,513,289,108,9,2,0,2025-05-01,2025-05-31,1600.0,181,7,1288,56.3353,1.7544,35.2827,4.0
123766,"모바일금액권 30,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,2351,912,4000.0,1483,823,10,29,2,4,2025-05-01,2025-05-31,30000.0,813,27,4006,55.4956,1.9555,54.8213,4.3925
132457,삼양)까르보불닭볶음면(큰컵),면>용기면>비빔/볶음면,면,용기면,비빔/볶음면,당일픽업,907,322,1360.0,521,289,67,23,7,0,2025-05-01,2025-05-31,1800.0,222,16,1360,55.4702,4.4146,42.6104,4.2236
123638,농심)후르츠텔라48g,과자>캔디류>소프트캔디,과자,캔디류,소프트캔디,당일픽업,1424,505,2047.0,813,444,141,23,3,0,2025-05-01,2025-05-31,1500.0,303,20,2047,54.6125,2.829,37.2694,4.0535
124040,해태)연양갱땅콩맛55g,과자>캔디류>소프트캔디,과자,캔디류,소프트캔디,당일픽업,1868,552,2637.0,1065,575,199,25,4,0,2025-05-01,2025-05-31,900.0,376,21,2637,53.9906,2.3474,35.3052,4.7772
161188,코카)코카콜라제로500ml,음료>탄산음료>제로탄산,음료,탄산음료,제로탄산,당일픽업,3963,1217,5897.0,2347,1260,302,42,12,0,2025-05-01,2025-05-31,2400.0,958,30,5897,53.6856,1.7895,40.8181,4.8455
132161,농심)오징어짬뽕(소컵),면>용기면>라면(소형컵),면,용기면,라면(소형컵),당일픽업,932,250,1351.0,543,291,85,11,2,0,2025-05-01,2025-05-31,1250.0,206,9,1351,53.5912,2.0258,37.9374,5.404
111519,크라운)못말리는신짱1500,과자>스낵류>일반스낵,과자,스낵류,일반스낵,당일픽업,1027,315,1467.0,601,320,102,4,0,0,2025-05-01,2025-05-31,1500.0,218,4,1467,53.2446,0.6656,36.2729,4.6571
202387,칠성)펩시콜라제로355ml,음료>탄산음료>제로탄산,음료,탄산음료,제로탄산,당일픽업,2329,799,3386.0,1368,720,201,33,7,0,2025-05-01,2025-05-31,2000.0,519,26,3386,52.6316,2.4123,37.9386,4.2378
070092,서울)흰우유1L,유음료>흰우유>흰우유(대),유음료,흰우유,흰우유(대),당일픽업,2380,687,3492.0,1422,736,189,28,5,0,2025-05-01,2025-05-31,3200.0,547,23,3492,51.7581,1.9691,38.4669,5.083
111545,해태)크림웨하스50g,과자>비스킷류>크래커,과자,비스킷류,크래커,당일픽업,1169,428,1682.0,693,358,103,11,4,0,2025-05-01,2025-05-31,1000.0,255,7,1682,51.6595,1.5873,36.7965,3.9299
201737,PB)아이시스2L(6입),음료>생수>1000ml이상,음료,생수,1000ml이상,당일픽업,1406,326,2112.0,854,436,93,22,1,0,2025-05-01,2025-05-31,3600.0,343,21,2112,51.0539,2.5761,40.1639,6.4785
123934,CJ)맥스봉고소한치즈후랑크65g,냉장>냉장간식>소형바,냉장,냉장간식,소형바,당일픽업,1679,506,2352.0,992,496,167,21,3,0,2025-05-01,2025-05-31,2400.0,329,18,2352,50.0,2.1169,33.1653,4.6482
