mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,248803,29229,311777.0,203572,33271,2906,6772,2258,24,2025-05-01,2025-05-31,1900.0,30365,4514,311813,16.3436,3.3266,14.9161,10.6679
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,127611,21126,163740.5,99877,18870,1866,5368,1621,9,2025-05-01,2025-05-31,1900.0,17004,3747,163754,18.8932,5.3746,17.0249,7.7513
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,73181,14950,87214.0,60960,6582,698,4047,890,4,2025-05-01,2025-05-31,3600.0,5884,3157,87220,10.7972,6.6388,9.6522,5.8341
125514,KBO)프로야구 콜렉션카드2025,문구/완구>일반완구>일반완구,문구/완구,일반완구,일반완구,당일픽업,59336,13418,73838.5,48100,6721,260,3354,882,19,2025-05-22,2025-05-31,1000.0,6461,2472,73867,13.973,6.973,13.4324,5.5051
125865,2025KBO오피셜컬렉션카드,문구/완구>일반완구>일반완구,문구/완구,일반완구,일반완구,사전예약,58975,12954,67961.5,52000,3621,89,2737,367,161,2025-05-21,2025-05-31,30000.0,3532,2370,68203,6.9635,5.2635,6.7923,5.265
125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,56228,16433,67367.5,45947,6263,1118,2211,678,11,2025-05-01,2025-05-31,2100.0,5145,1533,67384,13.6309,4.8121,11.1977,4.1005
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,50788,11500,64249.5,39871,6290,677,3376,569,5,2025-05-01,2025-05-31,3600.0,5613,2807,64257,15.7759,8.4673,14.0779,5.5876
125500,김잼작가아이스쿨러백,일용잡화>취미용품>취미용품(구 취미실내),일용잡화,취미용품,취미용품(구 취미실내),사전예약,32902,16221,37615.0,29812,2238,96,573,35,148,2025-05-01,2025-05-27,4860.0,2142,538,37837,7.507,1.922,7.185,2.3326
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,25905,6203,33140.0,20512,3948,592,736,103,14,2025-05-01,2025-05-31,4000.0,3356,633,33161,19.2473,3.5881,16.3612,5.346
191866,5월 와인 구독,,,,,구독할인,21124,4342,26937.5,17780,2861,9,341,110,23,2025-05-01,2025-05-31,3900.0,2852,231,26972,16.0911,1.9179,16.0405,6.2119
