category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
,,48212,10,8844,66039.5,38260,8741,42,885,209,22.8463,25.1594,6603.95
미반,도시락,46098,44,9860,58086.5,36823,6576,1060,1402,218,17.8584,21.6658,1320.1477
양주와인,양주,44934,206,8237,50026.5,40782,2277,158,1424,282,5.5833,9.0751,242.8471
양주와인,와인,32093,259,5723,37616.0,26513,2634,301,2043,590,9.9347,17.6404,145.2355
미반,삼각김밥,15427,26,4166,22731.5,10737,3807,294,484,102,35.4568,39.9646,874.2885
미반,초밥류,16078,15,5044,21732.5,11554,2944,515,972,86,25.4804,33.893,1448.8333
디저트,젤리,16045,13,5617,19027.0,13976,1384,108,522,43,9.9027,13.6377,1463.6154
미반,김밥,12575,39,3866,16930.5,8810,2224,462,996,82,25.244,36.5494,434.1154
조리빵,샌드위치,10940,40,3368,14314.0,7829,1799,436,798,74,22.9787,33.1715,357.85
과자,캔디류,6982,100,2725,8045.5,6166,519,53,197,28,8.4171,11.6121,80.455
미반,푸드 간편식,5940,18,1847,7530.0,4678,910,174,158,20,19.4528,22.8303,418.3333
조리빵,햄버거,5075,30,1678,6791.5,3686,1040,224,111,13,28.2149,31.2263,226.3833
디저트,냉동디저트,5505,3,2321,6626.0,4469,586,130,283,37,13.1126,19.4451,2208.6667
과자,스낵류,4582,136,1743,6132.0,3087,934,260,268,33,30.2559,38.9375,45.0882
기타,판촉물,3117,6,855,5196.0,2021,1028,13,53,2,50.8659,53.4884,866.0
과자,초콜릿,4250,90,2167,4979.5,3559,343,63,246,38,9.6375,16.5496,55.3278
과자,비스킷류,3804,125,1568,4877.5,2710,578,167,316,32,21.3284,32.9889,39.02
면,용기면,3161,86,1081,4286.0,2112,673,184,177,15,31.8655,40.2462,49.8372
아이스크림,노벨티,2851,71,1546,3415.0,2272,276,87,205,9,12.1479,21.1708,48.0986
맥주,수입맥주,2373,111,918,2960.5,1926,334,56,47,7,17.3416,19.7819,26.6712
과자,젤리류,1888,70,634,2682.0,1343,360,22,143,10,26.8057,37.4535,38.3143
음료,탄산음료,1956,76,911,2386.5,1331,329,153,121,21,24.7183,33.8092,31.4013
