category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
빵,간식빵,44080,39,6066,62441.0,30083,9743,1418,2460,374,32.3871,40.5644,1601.0513
미반,도시락,41256,47,6571,53464.5,30766,7660,1791,845,185,24.8976,27.6442,1137.5426
디저트,젤리,20400,18,6018,25234.0,16991,2475,259,575,82,14.5665,17.9507,1401.8889
양주와인,양주,21230,221,5392,22544.0,19621,437,36,925,205,2.2272,6.9415,102.009
양주와인,와인,14533,269,3723,17048.0,12321,1110,103,827,160,9.009,15.7211,63.3755
조리빵,샌드위치,13286,39,3032,16822.5,9661,2403,770,391,60,24.8732,28.9204,431.3462
디저트,냉동디저트,11256,3,3567,13414.0,9027,1345,415,409,54,14.8997,19.4306,4471.3333
미반,김밥,10437,38,2697,13296.0,7471,1864,596,445,61,24.9498,30.9062,349.8947
과자,스낵류,8903,132,2252,12193.0,5749,2245,660,205,42,39.0503,42.6161,92.3712
미반,초밥류,8320,18,2811,10247.5,6420,1196,339,313,49,18.6293,23.5047,569.3056
면,용기면,6465,90,1812,8802.0,4140,1620,509,168,26,39.1304,43.1884,97.8
과자,비스킷류,6464,119,2043,8316.5,4407,1315,466,235,40,29.8389,35.1713,69.8866
미반,삼각김밥,5859,27,1877,7387.5,3978,1173,457,199,51,29.4872,34.4897,273.6111
,,5930,10,2867,7052.5,5221,544,3,118,37,10.4195,12.6796,705.25
패션잡화,시즌/소품,4918,56,1595,5616.5,4351,304,31,201,22,6.9869,11.6065,100.2946
디저트,냉장베이커리,4285,22,1590,5539.0,3158,706,158,227,34,22.3559,29.544,251.7727
과자,초콜릿,4347,98,1978,5125.0,3436,512,188,184,27,14.901,20.2561,52.2959
음료,탄산음료,3107,76,1003,4013.0,1936,761,328,68,14,39.3079,42.8202,52.8026
아이스크림,노벨티,2892,81,1229,3539.0,2195,433,140,102,20,19.7267,24.3736,43.6914
조리빵,햄버거,2787,30,796,3427.0,2001,514,211,52,9,25.6872,28.2859,114.2333
과자,캔디류,2343,146,851,3009.5,1661,448,133,79,21,26.9717,31.7279,20.613
기타,판촉물,1938,6,669,2971.5,1379,518,10,26,4,37.5635,39.4489,495.25
맥주,수입맥주,2355,112,880,2767.5,1976,233,44,78,21,11.7915,15.7389,24.7098
유음료,가공우유,1917,55,689,2634.0,1226,497,149,37,8,40.5383,43.5563,47.8909
미반,푸드 간편식,1868,22,807,2143.0,1549,172,64,75,8,11.1039,15.9458,97.4091
아이스크림,고급,1631,48,322,2067.0,1193,295,87,44,12,24.7276,28.4158,43.0625
즉석음료,세븐카페,1271,2,529,1942.0,885,351,19,13,3,39.661,41.1299,971.0
맥주,국산맥주,1563,37,724,1895.0,1249,210,54,40,10,16.8135,20.016,51.2162
문구/완구,일반완구,1582,46,492,1793.0,1400,86,6,76,12,6.1429,11.5714,38.9783
양주와인,하이볼,1535,23,554,1784.5,1227,156,45,80,26,12.7139,19.2339,77.587
면,봉지면,1259,34,426,1720.0,797,332,107,19,4,41.6562,44.0402,50.5882
냉장,냉장간식,1278,65,465,1658.0,888,257,84,44,5,28.9414,33.8964,25.5077
즉석 식품,즉석치킨(삭제예정),1250,16,358,1632.0,877,252,74,40,7,28.7343,33.2953,102.0
유음료,흰우유,1001,10,289,1495.0,634,289,50,24,4,45.5836,49.3691,149.5
냉장,냉장간편식,1309,51,687,1468.0,1114,102,36,47,10,9.1562,13.3752,28.7843
가공식품,가공미반류,1164,63,499,1446.0,865,190,62,40,7,21.9653,26.5896,22.9524
전통주,기타전통주,1172,112,450,1371.5,964,92,22,80,9,9.5436,17.8423,12.2455
음료,기능성드링크,899,47,301,1246.0,590,227,58,19,5,38.4746,41.6949,26.5106
과자,젤리류,901,77,373,1126.5,622,164,65,42,7,26.3666,33.119,14.6299
유음료,컵커피,773,34,259,1010.0,525,172,59,15,2,32.7619,35.619,29.7059
음료,주스,687,52,276,961.0,451,161,38,34,3,35.6984,43.2373,18.4808
전통주,소주,739,32,351,905.0,585,90,21,37,4,15.3846,21.7094,28.2812
음료,커피음료,607,38,219,849.0,398,156,40,12,1,39.196,42.2111,22.3421
유음료,요구르트,641,32,240,821.0,452,123,40,22,4,27.2124,32.0796,25.6562
음료,스포츠음료,533,18,202,767.0,336,148,36,12,1,44.0476,47.619,42.6111
미디어 상품,음반,579,2,242,760.5,459,93,3,15,6,20.2614,23.5294,380.25
담배,전자담배,651,8,178,724.5,574,40,1,22,13,6.9686,10.8014,90.5625
신선,과일,552,28,198,712.0,404,96,23,24,5,23.7624,29.703,25.4286
음료,차음료,553,41,220,707.0,368,119,44,16,6,32.337,36.6848,17.2439
음료,생수,503,21,198,692.0,322,131,38,9,3,40.6832,43.4783,32.9524
즉석 식품,즉석치킨,451,23,164,628.0,280,123,38,9,1,43.9286,47.1429,27.3043
가공식품,상온간편식,427,38,214,551.0,314,77,18,14,4,24.5223,28.9809,14.5
신선,수축산/계란,409,8,105,544.0,259,105,40,5,0,40.5405,42.471,68.0
서비스 상품,일반서비스,417,7,202,510.5,345,44,5,20,2,12.7536,18.5507,72.9286
즉석음료,얼음,336,15,95,454.0,217,77,22,16,4,35.4839,42.8571,30.2667
과자,프로틴/시리얼,332,21,137,435.0,214,75,28,13,2,35.0467,41.1215,20.7143
유음료,냉장주스,300,20,128,398.0,198,68,23,10,1,34.3434,39.3939,19.9
건강/기호식품,커피,291,19,86,377.5,218,54,12,5,1,24.7706,27.0642,19.8684
유음료,기능성우유,270,9,111,351.0,184,58,19,7,2,31.5217,35.3261,39.0
과자,껌,256,28,85,344.0,167,65,21,2,1,38.9222,40.1198,12.2857
신선,야채,295,27,119,326.0,220,37,25,11,2,16.8182,21.8182,12.0741
