mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
117574,PB)누네띠네55g,과자>비스킷류>파이,과자,비스킷류,파이,당일픽업,1209,437,1637.5,733,332,121,17,5,1,2025-03-21,2025-03-31,1500.0,211,12,1639,45.2933,2.3192,28.7858,3.7506
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,3166,1296,4794.0,1946,864,131,204,21,0,2025-03-21,2025-03-31,1900.0,733,183,4794,44.3988,10.483,37.667,3.6991
124682,KBO)삼립키움히어로즈자색고구마팡100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,2758,1106,4129.0,1690,723,115,205,25,0,2025-03-21,2025-03-31,1900.0,608,180,4129,42.7811,12.1302,35.9763,3.7333
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,4275,1584,6362.0,2721,1115,169,245,25,0,2025-03-21,2025-03-31,1900.0,946,220,6362,40.9776,9.004,34.7666,4.0164
124681,KBO)삼립NC다이노스공룡알흑임자컵케익130g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,2748,1123,4148.0,1728,707,92,204,17,0,2025-03-21,2025-03-31,1900.0,615,187,4148,40.9144,11.8056,35.5903,3.6937
052382,세븐카페)아메리카노(R),즉석음료>세븐카페>HOT,즉석음료,세븐카페,HOT,교환권,1179,517,1824.0,820,334,13,9,3,0,2025-03-21,2025-03-31,1200.0,321,6,1824,40.7317,1.0976,39.1463,3.528
124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,4691,1772,6807.0,3163,1095,137,264,32,0,2025-03-21,2025-03-31,1900.0,958,232,6807,34.619,8.3465,30.2877,3.8414
124684,KBO)삼립한화이글스핫투움바브레드90g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,4820,1764,6955.0,3255,1116,148,267,34,0,2025-03-21,2025-03-31,1900.0,968,233,6955,34.2857,8.2028,29.7389,3.9427
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,9887,2654,13953.5,6980,2361,373,145,27,1,2025-03-21,2025-03-31,4500.0,1988,118,13955,33.8252,2.0774,28.4814,5.2581
109671,닭가슴살햄듬뿍샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,기타 ,사전예약,1151,361,1576.0,821,248,48,31,3,0,2025-03-21,2025-03-31,3200.0,200,28,1576,30.2071,3.7759,24.3605,4.3657
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,당일픽업,1058,520,1317.0,730,219,89,13,7,0,2025-03-21,2025-03-31,1100.0,130,6,1317,30.0,1.7808,17.8082,2.5327
124532,맛장우맛자랑 직화닭갈비,미반>도시락>기타,미반,도시락,기타,사전예약,2694,969,3666.5,1967,580,101,35,10,1,2025-03-21,2025-03-31,5500.0,479,25,3668,29.4865,1.7794,24.3518,3.7853
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,5883,2158,8098.0,4124,1212,188,295,64,0,2025-03-21,2025-03-31,1900.0,1024,231,8098,29.3889,7.1532,24.8303,3.7525
124508,최강록의로스팜에그샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,기타 ,사전예약,3129,1123,4195.0,2257,659,151,58,4,0,2025-03-21,2025-03-31,3200.0,508,54,4195,29.1981,2.5698,22.5078,3.7355
