mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
132168,농심)육개장사발면,면>용기면>라면(소형컵),면,용기면,라면(소형컵),당일픽업,966,359,1363.0,591,280,83,9,3,0,2025-03-11,2025-03-20,1100.0,197,6,1363,47.3773,1.5228,33.3333,3.7967
990263,"모바일금액권 10,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,795,361,1248.0,539,230,6,15,5,0,2025-03-11,2025-03-20,10000.0,224,10,1248,42.6716,2.7829,41.5584,3.4571
052382,세븐카페)아메리카노(R),즉석음료>세븐카페>HOT,즉석음료,세븐카페,HOT,교환권,1107,495,1735.0,771,316,5,12,3,0,2025-03-11,2025-03-20,1200.0,311,9,1735,40.9857,1.5564,40.3372,3.5051
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1217,454,1885.0,802,304,12,94,5,0,2025-03-20,2025-03-20,1900.0,292,89,1885,37.9052,11.7207,36.409,4.152
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,918,392,1397.0,584,217,13,93,11,0,2025-03-20,2025-03-20,1900.0,204,82,1397,37.1575,15.9247,34.9315,3.5638
124684,KBO)삼립한화이글스핫투움바브레드90g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,871,371,1296.0,585,196,13,71,6,0,2025-03-20,2025-03-20,1900.0,183,65,1296,33.5043,12.1368,31.2821,3.4933
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,당일픽업,1115,531,1402.5,749,235,88,26,16,1,2025-03-11,2025-03-20,1100.0,147,10,1404,31.3752,3.4713,19.6262,2.6441
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1097,478,1582.0,760,217,14,97,9,0,2025-03-20,2025-03-20,1900.0,203,88,1582,28.5526,12.7632,26.7105,3.3096
124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,1055,461,1480.5,754,213,21,57,7,3,2025-03-15,2025-03-20,4900.0,192,50,1485,28.2493,7.5597,25.4642,3.2213
123552,롯데)7찬도시락,미반>도시락>도시락,미반,도시락,도시락,당일픽업,712,265,894.0,506,141,52,10,3,0,2025-03-11,2025-03-20,5200.0,89,7,894,27.8656,1.9763,17.5889,3.3736
