mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
192580,4월 와인 구독,,,,,구독할인,14299,3298,19450.5,11375,2487,4,342,74,17,2025-04-01,2025-04-10,3900.0,2483,268,19476,21.8637,3.0066,21.8286,5.9054
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,12751,4118,15793.5,10464,1627,243,367,45,5,2025-04-01,2025-04-10,4000.0,1384,322,15801,15.5485,3.5073,13.2263,3.8371
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,7395,2304,7554.5,6944,43,6,294,103,5,2025-04-01,2025-04-10,19900.0,37,191,7562,0.6192,4.2339,0.5328,3.2821
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,3614,1505,4639.5,2685,677,181,58,12,1,2025-04-01,2025-04-10,4500.0,496,46,4641,25.2142,2.1601,18.473,3.0837
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,3531,1258,4560.5,2573,658,157,104,38,1,2025-04-01,2025-04-10,1900.0,501,66,4562,25.5733,4.042,19.4714,3.6264
124532,맛장우맛자랑 직화닭갈비,미반>도시락>기타,미반,도시락,기타,사전예약,3342,1064,4414.5,2583,615,82,39,14,9,2025-04-01,2025-04-10,5500.0,533,25,4428,23.8095,1.5099,20.6349,4.1617
124549,PB)바밤바꿀밤생크림빵120g,디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,냉장빵,당일픽업,4015,2734,4186.0,3842,97,28,42,4,2,2025-04-01,2025-04-10,3500.0,69,38,4189,2.5247,1.0932,1.7959,1.5322
124534,맛장우맛자랑 부대볶음,미반>도시락>기타,미반,도시락,기타,사전예약,3118,1021,4156.5,2415,589,74,25,6,9,2025-04-01,2025-04-10,5500.0,515,19,4170,24.3892,1.0352,21.3251,4.0842
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,2966,1205,3695.5,2221,496,150,77,19,3,2025-04-01,2025-04-10,3900.0,346,58,3700,22.3323,3.4669,15.5786,3.0705
124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,2934,1613,3451.0,2406,358,113,47,10,0,2025-04-01,2025-04-10,4900.0,245,37,3451,14.8795,1.9534,10.1829,2.1395
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,2762,765,3318.0,2377,246,13,113,11,2,2025-04-01,2025-04-10,15500.0,233,102,3321,10.3492,4.7539,9.8023,4.3412
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,2520,929,3313.5,1717,520,139,106,37,1,2025-04-01,2025-04-10,1900.0,381,69,3315,30.2854,6.1736,22.1899,3.5684
109497, 미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,2471,1031,2973.5,1908,337,120,93,12,1,2025-04-01,2025-04-10,2400.0,217,81,2975,17.6625,4.8742,11.3732,2.8855
124534,4월 도시락 구독,,,,,구독할인,2004,994,2953.5,1513,463,1,26,0,1,2025-04-01,2025-04-10,4000.0,462,26,2955,30.6015,1.7184,30.5354,2.9728
105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,당일픽업,2340,852,2894.0,1773,383,120,52,12,0,2025-04-01,2025-04-10,4500.0,263,40,2894,21.6018,2.9329,14.8336,3.3967
124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,2050,757,2823.0,1398,457,92,83,20,0,2025-04-01,2025-04-10,1900.0,365,63,2823,32.6896,5.9371,26.1087,3.7292
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1958,745,2821.0,1269,504,96,75,14,0,2025-04-01,2025-04-10,1900.0,408,61,2821,39.7163,5.9102,32.1513,3.7866
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,2225,1039,2762.0,1620,391,141,61,12,0,2025-04-01,2025-04-10,2400.0,250,49,2762,24.1358,3.7654,15.4321,2.6583
118860,발베니 12년 싱글배럴 700ml,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,2454,467,2649.5,2218,45,0,159,25,7,2025-04-08,2025-04-10,139900.0,45,134,2660,2.0289,7.1686,2.0289,5.6959
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1791,686,2441.0,1204,396,93,80,18,0,2025-04-01,2025-04-10,1900.0,303,62,2441,32.8904,6.6445,25.1661,3.5583
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,1845,662,2322.0,1482,243,29,76,13,2,2025-04-01,2025-04-10,29000.0,214,63,2325,16.3968,5.1282,14.4399,3.5121
124684,KBO)삼립한화이글스핫투움바브레드90g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1667,647,2294.0,1095,382,90,81,19,0,2025-04-01,2025-04-10,1900.0,292,62,2294,34.8858,7.3973,26.6667,3.5456
124529,롯데)최강록의간장들기름비빔밥,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1877,787,2277.5,1517,252,60,37,10,1,2025-04-01,2025-04-10,4900.0,192,27,2279,16.6117,2.439,12.6566,2.8958
192580,무학)드보뀌베D 750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,스파클링(샴페인),당일픽업,1864,640,2264.5,1563,194,16,75,15,1,2025-04-02,2025-04-10,56000.0,178,60,2266,12.412,4.7985,11.3884,3.5406
123742,NEW갈비맛닭강정,미반>푸드 간편식>안주/반찬,미반,푸드 간편식,안주/반찬,사전예약,1836,865,2212.0,1512,238,59,24,3,0,2025-04-01,2025-04-10,5700.0,179,21,2212,15.7407,1.5873,11.8386,2.5572
124508,최강록의로스팜에그샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,기타 ,사전예약,1723,769,2096.5,1316,280,101,22,3,1,2025-04-01,2025-04-10,3200.0,179,19,2098,21.2766,1.6717,13.6018,2.7282
124531,현대)맛장우맛자랑 직화닭갈비,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1681,747,2039.0,1320,252,75,24,10,0,2025-04-01,2025-04-10,5500.0,177,14,2039,19.0909,1.8182,13.4091,2.7296
124679,KBO)삼립KBO홈런배트롤150g,디저트>냉장베이커리>롤케익,디저트,냉장베이커리,롤케익,당일픽업,1479,525,1990.5,1111,268,34,58,7,1,2025-04-01,2025-04-10,4900.0,234,51,1992,24.1224,5.2205,21.0621,3.7943
124390,필리치즈스테이크버거,조리빵>햄버거>햄버거,조리빵,햄버거,햄버거,사전예약,1601,764,1894.0,1299,207,69,23,3,0,2025-04-01,2025-04-10,3600.0,138,20,1894,15.9353,1.7706,10.6236,2.4791
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1407,653,1894.0,954,295,73,71,14,0,2025-04-01,2025-04-10,1900.0,222,57,1894,30.9224,7.4423,23.2704,2.9005
220178,4월 장보기 구독,,,,,구독할인,1764,1494,1849.0,1707,46,4,5,2,0,2025-04-01,2025-04-10,3000.0,42,3,1849,2.6948,0.2929,2.4605,1.2376
124533,롯데)맛장우맛자랑 부대볶음,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1487,647,1761.0,1159,216,82,22,8,0,2025-04-01,2025-04-10,5500.0,134,14,1761,18.6368,1.8982,11.5617,2.7218
052382,세븐카페)아메리카노(R),즉석음료>세븐카페>HOT,즉석음료,세븐카페,HOT,교환권,1178,573,1709.5,864,282,21,10,0,1,2025-04-01,2025-04-10,1200.0,261,10,1711,32.6389,1.1574,30.2083,2.986
013782,New모둠초밥정식,미반>초밥류>초밥,미반,초밥류,초밥,사전예약,1389,743,1667.5,1184,156,22,21,5,1,2025-04-01,2025-04-10,6500.0,134,16,1669,13.1757,1.7736,11.3176,2.2463
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,당일픽업,1293,613,1636.0,884,270,97,27,15,0,2025-04-01,2025-04-10,1100.0,173,12,1636,30.543,3.0543,19.5701,2.6688
109131,신동엽)생드래프트비어500ml캔,맥주>국산맥주>수제맥주,맥주,국산맥주,수제맥주,당일픽업,1384,695,1605.0,1154,141,38,38,11,2,2025-04-01,2025-04-10,5000.0,103,27,1608,12.2184,3.2929,8.9255,2.3137
012679,11찬 도시락,미반>도시락>기타,미반,도시락,기타,사전예약,1241,575,1585.0,992,197,26,18,8,0,2025-04-01,2025-04-10,6300.0,171,10,1585,19.8589,1.8145,17.2379,2.7565
109521,더커진유부초밥6입,미반>초밥류>유부초밥,미반,초밥류,유부초밥,사전예약,1209,537,1527.5,888,224,66,21,9,1,2025-04-01,2025-04-10,4900.0,158,12,1529,25.2252,2.3649,17.7928,2.8473
109362,7찬도시락,미반>도시락>기타,미반,도시락,기타,사전예약,1232,690,1504.0,1012,166,35,15,2,2,2025-04-01,2025-04-10,5200.0,131,13,1507,16.4032,1.4822,12.9447,2.1841
192542,4월 위스키 구독,,,,,구독할인,1387,976,1503.0,1301,60,1,16,9,0,2025-04-01,2025-04-10,9900.0,59,7,1503,4.6118,1.2298,4.535,1.54
107879,4월 세븐카페 구독,,,,,구독할인,1056,676,1417.5,855,177,1,18,4,1,2025-04-01,2025-04-10,2000.0,176,14,1419,20.7018,2.1053,20.5848,2.0991
108810,올뉴빅닭강정,미반>푸드 간편식>안주/반찬,미반,푸드 간편식,안주/반찬,사전예약,1186,602,1380.5,1015,127,34,9,0,1,2025-04-01,2025-04-10,9900.0,93,9,1382,12.5123,0.8867,9.1626,2.2957
124134,닭강정김밥,미반>김밥>말이김밥,미반,김밥,말이김밥,사전예약,1098,507,1349.0,866,169,49,13,1,0,2025-04-01,2025-04-10,3400.0,120,12,1349,19.515,1.5012,13.8568,2.6607
124681,KBO)삼립NC다이노스공룡알흑임자컵케익130g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,908,391,1327.0,582,231,42,49,4,0,2025-04-01,2025-04-10,1900.0,189,45,1327,39.6907,8.4192,32.4742,3.3939
123397,앙리마티스)와인볼(화이트)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,국산하이볼,당일픽업,933,318,1224.0,713,137,11,61,11,0,2025-04-03,2025-04-10,4500.0,126,50,1224,19.2146,8.5554,17.6718,3.8491
124682,KBO)삼립키움히어로즈자색고구마팡100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,851,366,1222.0,512,218,54,59,8,0,2025-04-01,2025-04-10,1900.0,164,51,1222,42.5781,11.5234,32.0312,3.3388
123396,앙리마티스)와인볼(레드)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,국산하이볼,당일픽업,900,328,1190.0,708,131,9,50,2,0,2025-04-03,2025-04-10,4500.0,122,48,1190,18.5028,7.0621,17.2316,3.628
180959,화요X.Premium,전통주>소주>증류식소주,전통주,소주,증류식소주,사전예약,1002,426,1157.0,892,75,4,24,5,2,2025-04-01,2025-04-10,168000.0,71,19,1160,8.4081,2.6906,7.9596,2.723
123552,롯데)7찬도시락,미반>도시락>도시락,미반,도시락,도시락,당일픽업,937,373,1154.0,665,176,70,19,7,0,2025-04-01,2025-04-10,5200.0,106,12,1154,26.4662,2.8571,15.9398,3.0938
124757,이즐)까까맛교통카드(빼빼로),서비스 상품>일반서비스>교통카드판매,서비스 상품,일반서비스,교통카드판매,당일픽업,962,608,1139.5,816,90,8,36,11,1,2025-04-01,2025-04-10,4000.0,82,25,1141,11.0294,4.4118,10.049,1.8766
070092,서울)흰우유1L,유음료>흰우유>흰우유(대),유음료,흰우유,흰우유(대),당일픽업,798,274,1125.0,486,228,70,13,1,0,2025-04-01,2025-04-10,3200.0,158,12,1125,46.9136,2.6749,32.5103,4.1058
110580,농심)포테토칩오리지널60g,과자>스낵류>감자스낵,과자,스낵류,감자스낵,당일픽업,749,284,1108.0,465,219,45,17,3,0,2025-04-01,2025-04-10,1700.0,174,14,1108,47.0968,3.6559,37.4194,3.9014
125012,프롬더배럴500ml,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,880,418,1104.5,746,113,7,13,0,1,2025-04-02,2025-04-10,77500.0,106,13,1106,15.1475,1.7426,14.2091,2.6459
124779,언노운)드보뀌베D블랑드블랑750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,스파클링(샴페인),당일픽업,962,378,1092.5,819,64,12,53,13,1,2025-04-01,2025-04-10,84900.0,52,40,1094,7.8144,6.4713,6.3492,2.8942
191660,아영)오이스터베이쇼비뇽블랑750,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,818,295,1081.0,644,122,5,41,6,0,2025-04-01,2025-04-10,32900.0,117,35,1081,18.9441,6.3665,18.1677,3.6644
124329,샤또 라퐁로쉐18,양주와인>와인>레드,양주와인,와인,레드,사전예약,871,417,1064.0,746,89,3,28,3,2,2025-04-01,2025-04-10,87840.0,86,25,1067,11.9303,3.7534,11.5282,2.5588
124726,"4월 샌드위치,햄버거 구독",,,,,구독할인,831,506,1036.5,704,104,1,13,6,3,2025-04-01,2025-04-10,2000.0,103,7,1041,14.7727,1.8466,14.6307,2.0573
062346,PB)오구초코타임200ml,유음료>가공우유>초코우유,유음료,가공우유,초코우유,당일픽업,786,388,1028.0,539,172,54,16,5,0,2025-04-01,2025-04-10,1300.0,118,11,1028,31.9109,2.9685,21.8924,2.6495
