mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
125382,NCTWISH기획세트,과자>젤리류>국산젤리,과자,젤리류,국산젤리,사전예약,11042,2406,13576.0,9493,1126,13,362,20,28,2025-04-24,2025-04-30,11000.0,1113,342,13618,11.8614,3.8133,11.7244,5.66
990120,"모바일금액권 5,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,3538,2218,4713.0,2916,583,6,26,1,6,2025-04-21,2025-04-30,5000.0,577,25,4722,19.9931,0.8916,19.7874,2.1289
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,6033,2048,7678.5,4842,870,120,182,18,1,2025-04-21,2025-04-30,4000.0,750,164,7680,17.9678,3.7588,15.4895,3.75
125504,SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품>음반>CD,미디어 상품,음반,CD,사전예약,2081,1844,2160.0,2023,39,1,10,2,6,2025-04-29,2025-04-30,22400.0,38,8,2169,1.9278,0.4943,1.8784,1.1762
124932,버터치킨카레덮밥,미반>도시락>기타,미반,도시락,기타,사전예약,4110,1629,5409.5,3278,673,44,82,16,17,2025-04-21,2025-04-30,3900.0,629,66,5435,20.5308,2.5015,19.1885,3.3364
125051,사천식마파두부덮밥,미반>도시락>기타,미반,도시락,기타,사전예약,3217,1376,4463.0,2461,646,41,54,7,8,2025-04-21,2025-04-30,3900.0,605,47,4475,26.2495,2.1942,24.5835,3.2522
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,3072,1175,3117.5,2945,4,0,93,27,3,2025-04-21,2025-04-30,19900.0,4,66,3122,0.1358,3.1579,0.1358,2.657
125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,숙면/건면,당일픽업,2735,1097,3411.5,2150,420,89,55,20,1,2025-04-21,2025-04-30,3600.0,331,35,3413,19.5349,2.5581,15.3953,3.1112
124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,1421,920,1681.5,1244,139,14,19,4,1,2025-04-21,2025-04-30,4900.0,125,15,1683,11.1736,1.5273,10.0482,1.8293
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,2135,878,2908.5,1604,439,62,26,3,1,2025-04-21,2025-04-30,4500.0,377,23,2910,27.3691,1.6209,23.5037,3.3144
192580,4월 와인 구독,,,,,구독할인,1277,763,1291.5,1225,0,0,38,11,3,2025-04-21,2025-04-30,3900.0,0,27,1296,0.0,3.102,0.0,1.6986
109055,G)크라시에유자셔벗140ml,아이스크림>고급>컵,아이스크림,고급,컵,당일픽업,1340,762,1584.0,1115,130,34,58,3,0,2025-04-21,2025-04-30,2800.0,96,55,1584,11.6592,5.2018,8.6099,2.0787
