mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
123101,G)오하요저지우유푸딩115g,디저트,젤리,10369,3313,12917.0,8467,1357,307,2025-04-11,2025-04 중순,16.0269
109055,G)크라시에유자셔벗140ml,아이스크림,고급,5424,3430,6021.0,4934,296,126,2025-04-11,2025-04 중순,5.9992
125237,엔시티위시2집미니앨범,미디어 상품,음반,4420,1726,5915.5,3551,715,120,2025-04-15,2025-04 중순,20.1352
123923,신동엽)블랙서클위스키700ml,양주와인,양주,5199,1818,5256.5,4939,6,183,2025-04-11,2025-04 중순,0.1215
014387,맛장우전주식비빔밥,미반,도시락,3053,1230,3998.5,2300,581,42,2025-04-11,2025-04 중순,25.2609
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,3575,820,3962.5,3262,160,124,2025-04-11,2025-04 중순,4.905
192580,4월 와인 구독,,,3428,1490,3958.0,3079,253,68,2025-04-11,2025-04 중순,8.217
125102,이장우)오일스타알리오올리오,면,용기면,2628,982,3286.5,2063,350,129,2025-04-16,2025-04 중순,16.9656
105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,2373,976,2878.0,1767,376,71,2025-04-11,2025-04 중순,21.279
105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,2162,771,2557.0,1590,357,37,2025-04-11,2025-04 중순,22.4528
124530,최강록의간장들기름비빔밥,미반,도시락,2109,1245,2492.0,1778,238,31,2025-04-11,2025-04 중순,13.3858
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,1984,769,2366.0,1539,264,72,2025-04-11,2025-04 중순,17.154
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,1772,775,2203.5,1183,381,28,2025-04-11,2025-04 중순,32.2063
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,1858,818,2175.0,1363,278,64,2025-04-11,2025-04 중순,20.3962
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,1589,584,1956.0,1318,180,63,2025-04-11,2025-04 중순,13.6571
192580,무학)드보뀌베D 750ml,양주와인,와인,1644,557,1844.0,1496,103,28,2025-04-11,2025-04 중순,6.885
125238,엔시티위시2집미니앨범(6EA),미디어 상품,음반,1588,888,1825.0,1372,120,60,2025-04-15,2025-04 중순,8.7464
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,1490,662,1825.0,1072,250,57,2025-04-11,2025-04 중순,23.3209
013782,New모둠초밥정식,미반,초밥류,1529,849,1787.0,1303,158,26,2025-04-11,2025-04 중순,12.1259
123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,1390,480,1761.5,1107,168,88,2025-04-11,2025-04 중순,15.1762
124534,4월 도시락 구독,,,1229,653,1742.0,952,251,20,2025-04-11,2025-04 중순,26.3655
132142,농심)신라면120g,면,봉지면,1379,253,1741.0,838,355,8,2025-04-11,2025-04 중순,42.3628
109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,1449,705,1712.5,1239,136,46,2025-04-11,2025-04 중순,10.9766
132168,농심)육개장사발면,면,용기면,1187,418,1703.0,712,356,14,2025-04-11,2025-04 중순,50.0
132159,농심)짜파게티큰사발,면,용기면,1120,372,1588.0,676,330,12,2025-04-11,2025-04 중순,48.8166
012679,11찬 도시락,미반,도시락,1216,636,1468.0,979,165,22,2025-04-11,2025-04 중순,16.8539
070092,서울)흰우유1L,유음료,흰우유,1002,288,1411.0,615,286,13,2025-04-11,2025-04 중순,46.5041
191660,아영)오이스터베이쇼비뇽블랑750,양주와인,와인,1032,317,1340.0,818,148,48,2025-04-11,2025-04 중순,18.0929
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,1042,470,1285.0,744,179,41,2025-04-11,2025-04 중순,24.0591
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵,간식빵,987,449,1281.0,676,196,44,2025-04-11,2025-04 중순,28.9941
123396,앙리마티스)와인볼(레드)500ml캔,양주와인,하이볼,999,372,1259.0,795,116,68,2025-04-11,2025-04 중순,14.5912
110580,농심)포테토칩오리지널60g,과자,스낵류,897,295,1258.0,538,260,13,2025-04-11,2025-04 중순,48.3271
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,926,388,1198.0,628,181,48,2025-04-11,2025-04 중순,28.8217
123552,롯데)7찬도시락,미반,도시락,956,419,1140.5,698,168,9,2025-04-11,2025-04 중순,24.0688
123556,롯데)밥먹자얘들아,미반,도시락,964,438,1123.0,748,141,9,2025-04-11,2025-04 중순,18.8503
109671,닭가슴살햄듬뿍샌드,조리빵,샌드위치,874,309,1119.0,638,162,23,2025-04-11,2025-04 중순,25.3918
109362,7찬도시락,미반,도시락,904,463,1106.5,733,123,17,2025-04-11,2025-04 중순,16.7804
124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵,간식빵,845,364,1096.0,557,176,41,2025-04-11,2025-04 중순,31.5978
109020,농심)신라면툼바큰사발,면,용기면,754,291,1037.0,477,204,7,2025-04-11,2025-04 중순,42.7673
124303,쉥크스 홈스테드 켄터키 사워매시 2024 700ml,양주와인,양주,997,124,1030.5,942,4,41,2025-04-11,2025-04 중순,0.4246
041567,PB)푸하하소금우유크림빵110g,디저트,냉장베이커리,807,352,1012.0,568,155,21,2025-04-11,2025-04 중순,27.2887
124549,PB)바밤바꿀밤생크림빵120g,디저트,냉장베이커리,946,613,1001.0,861,42,19,2025-04-11,2025-04 중순,4.878
990120,"모바일금액권 5,000원",기타,판촉물,686,349,999.0,519,158,5,2025-04-11,2025-04 중순,30.4432
114339,히밥)럭히밥김찌라면큰컵,면,용기면,733,280,982.5,520,164,6,2025-04-11,2025-04 중순,31.5385
124684,KBO)삼립한화이글스핫투움바브레드90g,빵,간식빵,733,324,962.0,500,143,41,2025-04-11,2025-04 중순,28.6
210345,오뚜기)진라면매운맛봉지,면,봉지면,710,171,953.0,429,196,7,2025-04-11,2025-04 중순,45.6876
132373,팔도)김치도시락,면,용기면,683,239,948.0,440,181,9,2025-04-11,2025-04 중순,41.1364
