mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,10369,3313,12917.0,8467,1357,205,307,31,2,2025-04-11,2025-04-20,4000.0,1152,276,12920,16.0269,3.6258,13.6058,3.8998
109055,G)크라시에유자셔벗140ml,아이스크림>고급>컵,아이스크림,고급,컵,당일픽업,5424,3430,6021.0,4934,296,48,126,10,10,2025-04-11,2025-04-20,2800.0,248,116,6036,5.9992,2.5537,5.0263,1.7598
125237,엔시티위시2집미니앨범,미디어 상품>음반>CD,미디어 상품,음반,CD,사전예약,4420,1726,5915.5,3551,715,9,120,16,9,2025-04-15,2025-04-20,18700.0,706,104,5929,20.1352,3.3793,19.8817,3.4351
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,5199,1818,5256.5,4939,6,7,183,61,3,2025-04-11,2025-04-20,19900.0,-1,122,5261,0.1215,3.7052,-0.0202,2.8938
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,3053,1230,3998.5,2300,581,123,42,6,1,2025-04-11,2025-04-20,4500.0,458,36,4000,25.2609,1.8261,19.913,3.252
192580,4월 와인 구독,,,,,구독할인,3428,1490,3958.0,3079,253,1,68,19,8,2025-04-11,2025-04-20,3900.0,252,49,3970,8.217,2.2085,8.1845,2.6644
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,3575,820,3962.5,3262,160,16,124,12,1,2025-04-11,2025-04-20,15500.0,144,112,3964,4.905,3.8013,4.4145,4.8341
125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,숙면/건면,당일픽업,2628,982,3286.5,2063,350,31,129,54,1,2025-04-16,2025-04-20,3600.0,319,75,3288,16.9656,6.253,15.4629,3.3483
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,2373,976,2878.0,1767,376,143,71,16,0,2025-04-11,2025-04-20,3900.0,233,55,2878,21.279,4.0181,13.1862,2.9488
105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,당일픽업,2162,771,2557.0,1590,357,161,37,17,0,2025-04-11,2025-04-20,4500.0,196,20,2557,22.4528,2.327,12.327,3.3165
