mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
125340,KBO)롯데자이언츠거인단팥빵100g,빵,간식빵,138305,18406,173088.0,114852,17486,3908,2025-05-01,2025-05 초순,15.2248
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,51777,11156,64407.5,42474,5774,2712,2025-05-01,2025-05 초순,13.5942
125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,40001,11106,48272.5,33009,4299,1682,2025-05-01,2025-05 초순,13.0237
125500,김잼작가아이스쿨러백,일용잡화,취미용품,28796,14152,33498.5,25842,2236,484,2025-05-01,2025-05 초순,8.6526
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자,스낵류,24219,7058,26815.5,21199,634,2033,2025-05-01,2025-05 초순,2.9907
191866,5월 와인 구독,,,16423,3306,20968.0,13811,2221,284,2025-05-01,2025-05 초순,16.0814
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자,스낵류,17002,5475,19207.5,14370,469,1863,2025-05-01,2025-05 초순,3.2637
123101,G)오하요저지우유푸딩115g,디저트,젤리,10323,2992,13109.5,8207,1527,300,2025-05-01,2025-05 초순,18.6061
210294,팔도)짬뽕왕뚜껑,면,용기면,5411,1672,7893.5,3437,1554,71,2025-05-01,2025-05 초순,45.2138
105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,4405,1732,5578.5,3365,729,112,2025-05-01,2025-05 초순,21.6642
014387,맛장우전주식비빔밥,미반,도시락,3989,1480,5325.5,2919,829,53,2025-05-01,2025-05 초순,28.4001
125341,5월 도시락 구독(첫구독100원),,,3267,1476,5142.0,2289,936,26,2025-05-01,2025-05 초순,40.8912
125111,뚠뚠치킨&에그샌드,조리빵,샌드위치,3614,1050,4968.0,2617,807,37,2025-05-01,2025-05 초순,30.8368
105742,우진)샤또뽕떼까네19,양주와인,와인,3179,724,4435.0,2423,617,100,2025-05-08,2025-05 초순,25.4643
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,3312,1383,4096.5,2505,522,102,2025-05-01,2025-05 초순,20.8383
105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,3109,635,3710.0,2034,654,45,2025-05-01,2025-05 초순,32.1534
210386,삼양)삼양라면큰컵,면,용기면,2470,767,3461.0,1570,673,33,2025-05-01,2025-05 초순,42.8662
124560,PB)박은영셰프의유산슬탕면큰컵,면,용기면,2430,938,3380.0,1638,605,38,2025-05-01,2025-05 초순,36.9353
123923,신동엽)블랙서클위스키700ml,양주와인,양주,3182,1279,3250.5,3032,1,121,2025-05-01,2025-05 초순,0.033
108810,올뉴빅닭강정,미반,푸드 간편식,2421,801,2991.0,1935,369,20,2025-05-01,2025-05 초순,19.0698
124534,맛장우맛자랑 부대볶음,미반,도시락,2089,862,2572.5,1629,331,26,2025-05-01,2025-05 초순,20.3192
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,2132,910,2521.5,1731,248,66,2025-05-01,2025-05 초순,14.327
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,2217,533,2485.0,2025,106,76,2025-05-01,2025-05 초순,5.2346
124932,버터치킨카레덮밥,미반,도시락,1897,800,2278.0,1501,273,27,2025-05-01,2025-05 초순,18.1879
123767,"모바일금액권 50,000원",기타,판촉물,1311,546,2235.0,831,459,14,2025-05-01,2025-05 초순,55.2347
107478,롯데)고기(肉)맥시멈도시락,미반,도시락,1955,506,2172.0,1323,350,27,2025-05-01,2025-05 초순,26.455
124340,G)LOOK초콜릿딸기복숭아46g,과자,초콜릿,1641,657,2161.5,1170,312,71,2025-05-01,2025-05 초순,26.6667
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,1604,545,2123.5,1280,251,54,2025-05-01,2025-05 초순,19.6094
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,1669,732,2101.0,1138,345,38,2025-05-01,2025-05 초순,30.3163
161188,코카)코카콜라제로500ml,음료,탄산음료,1339,419,2063.0,766,454,18,2025-05-01,2025-05 초순,59.2689
834917,5월 도시락 구독,,,1461,726,2032.0,1152,283,18,2025-05-01,2025-05 초순,24.566
123629,G)LOOK초콜릿(네가지과일)44g,과자,초콜릿,1726,1003,1985.0,1472,158,44,2025-05-01,2025-05 초순,10.7337
124136,듬뿍참치유부초밥,미반,초밥류,1492,573,1896.0,1092,283,24,2025-05-01,2025-05 초순,25.9158
123766,"모바일금액권 30,000원",기타,판촉물,1068,438,1880.5,644,405,13,2025-05-01,2025-05 초순,62.8882
990263,"모바일금액권 10,000원",기타,판촉물,1104,488,1857.5,708,374,15,2025-05-01,2025-05 초순,52.8249
109362,7찬도시락,미반,도시락,1417,650,1766.0,1120,220,21,2025-05-01,2025-05 초순,19.6429
013782,New모둠초밥정식,미반,초밥류,1474,662,1761.0,1158,202,36,2025-05-01,2025-05 초순,17.4439
125102,이장우)오일스타알리오올리오,면,용기면,1514,818,1755.0,1202,190,35,2025-05-01,2025-05 초순,15.807
125161,최강록의진심)지파이,즉석 식품,즉석치킨(삭제예정),1643,1164,1755.0,1537,69,16,2025-05-01,2025-05 초순,4.4893
109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,1432,595,1733.0,1124,209,27,2025-05-01,2025-05 초순,18.5943
