mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
123766,"모바일금액권 30,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,1068,438,1880.5,644,405,5,13,0,1,2025-05-01,2025-05-10,30000.0,400,13,1882,62.8882,2.0186,62.1118,4.2968
161188,코카)코카콜라제로500ml,음료>탄산음료>제로탄산,음료,탄산음료,제로탄산,당일픽업,1339,419,2063.0,766,454,97,18,4,0,2025-05-01,2025-05-10,2400.0,357,14,2063,59.2689,2.3499,46.6057,4.9236
123767,"모바일금액권 50,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,1311,546,2235.0,831,459,3,14,0,4,2025-05-01,2025-05-10,50000.0,456,14,2241,55.2347,1.6847,54.8736,4.1044
990263,"모바일금액권 10,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,1104,488,1857.5,708,374,2,15,2,3,2025-05-01,2025-05-10,10000.0,372,13,1862,52.8249,2.1186,52.5424,3.8156
150944,빙그레)메로나75ml,아이스크림>노벨티>바,아이스크림,노벨티,바,당일픽업,1107,369,1610.0,660,335,90,19,3,0,2025-05-01,2025-05-10,1500.0,245,16,1610,50.7576,2.8788,37.1212,4.3631
202387,칠성)펩시콜라제로355ml,음료>탄산음료>제로탄산,음료,탄산음료,제로탄산,당일픽업,1013,380,1441.0,601,301,94,16,1,0,2025-05-01,2025-05-10,2000.0,207,15,1441,50.0832,2.6622,34.4426,3.7921
210294,팔도)짬뽕왕뚜껑,면>용기면>라면(대형컵),면,용기면,라면(대형컵),당일픽업,5218,1616,7589.5,3307,1497,332,68,13,1,2025-05-01,2025-05-10,1500.0,1165,55,7591,45.2676,2.0562,35.2283,4.6974
210386,삼양)삼양라면큰컵,면>용기면>라면(대형컵),면,용기면,라면(대형컵),당일픽업,2470,767,3461.0,1570,673,186,33,8,0,2025-05-01,2025-05-10,1250.0,487,25,3461,42.8662,2.1019,31.0191,4.5124
115940,오리온)무뚝뚝감자칩60g,과자>스낵류>감자스낵,과자,스낵류,감자스낵,당일픽업,845,331,1164.0,547,225,66,5,2,0,2025-05-01,2025-05-10,2000.0,159,3,1164,41.1335,0.9141,29.0676,3.5166
125341,5월 도시락 구독(첫구독100원),,,,,구독할인,3267,1476,5142.0,2289,936,5,26,5,6,2025-05-01,2025-05-10,100.0,931,21,5151,40.8912,1.1359,40.6728,3.4898
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,당일픽업,1186,469,1495.0,746,277,126,27,10,0,2025-05-01,2025-05-10,1100.0,151,17,1495,37.1314,3.6193,20.2413,3.1876
124560,PB)박은영셰프의유산슬탕면큰컵,면>용기면>숙면/건면,면,용기면,숙면/건면,당일픽업,2430,938,3380.0,1638,605,140,38,9,0,2025-05-01,2025-05-10,3600.0,465,29,3380,36.9353,2.3199,28.3883,3.6034
105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,당일픽업,3109,635,3710.0,2034,654,365,45,11,0,2025-05-01,2025-05-10,4500.0,289,34,3710,32.1534,2.2124,14.2085,5.8425
123552,롯데)7찬도시락,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1431,398,1714.0,950,300,160,15,6,0,2025-05-01,2025-05-10,5200.0,140,9,1714,31.5789,1.5789,14.7368,4.3065
124533,롯데)맛장우맛자랑 부대볶음,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1029,252,1157.0,662,205,146,14,2,0,2025-05-01,2025-05-10,5500.0,59,12,1157,30.9668,2.1148,8.9124,4.5913
125111,뚠뚠치킨&에그샌드,조리빵>샌드위치>샌드위치,조리빵,샌드위치,샌드위치,사전예약,3614,1050,4968.0,2617,807,142,37,5,6,2025-05-01,2025-05-10,3500.0,665,32,4977,30.8368,1.4138,25.4108,4.74
124531,현대)맛장우맛자랑 직화닭갈비,미반>도시락>도시락,미반,도시락,도시락,당일픽업,873,234,969.0,566,167,120,14,6,0,2025-05-01,2025-05-10,5500.0,47,8,969,29.5053,2.4735,8.3039,4.141
107879,5월 세븐카페 구독(첫구독100원),,,,,구독할인,1003,559,1450.0,762,221,2,14,2,2,2025-05-01,2025-05-10,100.0,219,12,1453,29.0026,1.8373,28.7402,2.5993
108851,현대)맛장우도시락 올데이뷔페,미반>도시락>도시락,미반,도시락,도시락,당일픽업,741,247,911.0,512,148,63,12,6,0,2025-05-01,2025-05-10,4700.0,85,6,911,28.9062,2.3438,16.6016,3.6883
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,3989,1480,5325.5,2919,829,180,53,7,1,2025-05-01,2025-05-10,4500.0,649,46,5327,28.4001,1.8157,22.2336,3.5993
124340,G)LOOK초콜릿딸기복숭아46g,과자>초콜릿>볼초콜릿,과자,초콜릿,볼초콜릿,당일픽업,1641,657,2161.5,1170,312,73,71,14,1,2025-05-01,2025-05-10,2900.0,239,57,2163,26.6667,6.0684,20.4274,3.2922
108401,롯데)맛장우도시락 고기(肉)올인원,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1328,381,1495.0,900,240,166,21,1,0,2025-05-01,2025-05-10,5500.0,74,20,1495,26.6667,2.3333,8.2222,3.9239
107478,롯데)고기(肉)맥시멈도시락,미반>도시락>도시락,미반,도시락,도시락,당일픽업,1955,506,2172.0,1323,350,250,27,5,0,2025-05-01,2025-05-10,5500.0,100,22,2172,26.455,2.0408,7.5586,4.2925
124136,듬뿍참치유부초밥,미반>초밥류>유부초밥,미반,초밥류,유부초밥,사전예약,1492,573,1896.0,1092,283,90,24,3,0,2025-05-01,2025-05-10,3500.0,193,21,1896,25.9158,2.1978,17.674,3.3089
125626,(3EA) SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품>음반>CD,미디어 상품,음반,CD,사전예약,1139,502,1593.5,871,224,5,29,5,5,2025-05-01,2025-05-10,64500.0,219,24,1601,25.7176,3.3295,25.1435,3.1892
123308,CJ)무항생제1등급계란10입,신선>수축산/계란>계란,신선,수축산/계란,계란,당일픽업,912,299,1195.0,677,174,38,19,4,0,2025-05-01,2025-05-10,6400.0,136,15,1195,25.7016,2.8065,20.0886,3.9967
109521,더커진유부초밥6입,미반>초밥류>유부초밥,미반,초밥류,유부초밥,사전예약,900,382,1158.5,655,168,45,25,6,1,2025-05-01,2025-05-10,4900.0,123,19,1160,25.6489,3.8168,18.7786,3.0366
105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,레드,당일픽업,3179,724,4435.0,2423,617,16,100,23,0,2025-05-08,2025-05-10,212400.0,601,77,4435,25.4643,4.1271,24.804,6.1257
123556,롯데)밥먹자얘들아,미반>도시락>도시락,미반,도시락,도시락,당일픽업,730,272,878.0,527,134,63,6,0,0,2025-05-01,2025-05-10,5000.0,71,6,878,25.4269,1.1385,13.4725,3.2279
834917,5월 도시락 구독,,,,,구독할인,1461,726,2032.0,1152,283,3,18,3,2,2025-05-01,2025-05-10,4000.0,280,15,2035,24.566,1.5625,24.3056,2.803
107585,고기(肉)맥시멈도시락,미반>도시락>기타,미반,도시락,기타,사전예약,729,284,925.0,545,126,35,20,3,0,2025-05-01,2025-05-10,5500.0,91,17,925,23.1193,3.6697,16.6972,3.257
012679,11찬 도시락,미반>도시락>기타,미반,도시락,기타,사전예약,1071,486,1349.0,819,185,49,14,4,0,2025-05-01,2025-05-10,6300.0,136,10,1349,22.5885,1.7094,16.6056,2.7757
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,1117,571,1319.0,810,180,79,32,16,0,2025-05-01,2025-05-10,1900.0,101,16,1319,22.2222,3.9506,12.4691,2.31
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,4405,1732,5578.5,3365,729,175,112,23,1,2025-05-01,2025-05-10,3900.0,554,89,5580,21.6642,3.3284,16.4636,3.2217
013794,밥먹자얘들아 도시락,미반>도시락>기타,미반,도시락,기타,사전예약,1118,520,1433.0,878,186,31,17,6,0,2025-05-01,2025-05-10,5000.0,155,11,1433,21.1845,1.9362,17.6538,2.7558
125166,한입쏙!들기름김밥,미반>김밥>트레이김밥,미반,김밥,트레이김밥,사전예약,1339,605,1695.5,1045,220,50,21,2,1,2025-05-01,2025-05-10,3900.0,170,19,1697,21.0526,2.0096,16.2679,2.805
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,3312,1383,4096.5,2505,522,162,102,18,3,2025-05-01,2025-05-10,2400.0,360,84,4101,20.8383,4.0719,14.3713,2.9653
125151,칠리불새버거,조리빵>햄버거>햄버거,조리빵,햄버거,햄버거,사전예약,661,310,800.0,500,104,37,15,5,0,2025-05-01,2025-05-10,3800.0,67,10,800,20.8,3.0,13.4,2.5806
124534,맛장우맛자랑 부대볶음,미반>도시락>기타,미반,도시락,기타,사전예약,2089,862,2572.5,1629,331,101,26,1,1,2025-05-01,2025-05-10,5500.0,230,25,2574,20.3192,1.5961,14.1191,2.9861
109362,7찬도시락,미반>도시락>기타,미반,도시락,기타,사전예약,1417,650,1766.0,1120,220,51,21,5,0,2025-05-01,2025-05-10,5200.0,169,16,1766,19.6429,1.875,15.0893,2.7169
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,1604,545,2123.5,1280,251,14,54,4,1,2025-05-01,2025-05-10,29000.0,237,50,2125,19.6094,4.2188,18.5156,3.8991
108810,올뉴빅닭강정,미반>푸드 간편식>안주/반찬,미반,푸드 간편식,안주/반찬,사전예약,2421,801,2991.0,1935,369,88,20,5,4,2025-05-01,2025-05-10,9900.0,281,15,2997,19.0698,1.0336,14.522,3.7416
118889,시원)후와토로리치피스타치오40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,1362,699,1699.0,1043,198,53,61,7,0,2025-05-01,2025-05-10,3900.0,145,54,1699,18.9837,5.8485,13.9022,2.4306
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,10323,2992,13109.5,8207,1527,244,300,38,7,2025-05-01,2025-05-10,4000.0,1283,262,13120,18.6061,3.6554,15.633,4.385
109131,신동엽)생드래프트비어500ml캔,맥주>국산맥주>수제맥주,맥주,국산맥주,수제맥주,당일픽업,1432,595,1733.0,1124,209,67,27,5,0,2025-05-01,2025-05-10,5000.0,142,22,1733,18.5943,2.4021,12.6335,2.9126
124932,버터치킨카레덮밥,미반>도시락>기타,미반,도시락,기타,사전예약,1897,800,2278.0,1501,273,96,27,0,0,2025-05-01,2025-05-10,3900.0,177,27,2278,18.1879,1.7988,11.7921,2.8475
013782,New모둠초밥정식,미반>초밥류>초밥,미반,초밥류,초밥,사전예약,1474,662,1761.0,1158,202,67,36,9,2,2025-05-01,2025-05-10,6500.0,135,27,1764,17.4439,3.1088,11.658,2.6647
124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,1163,647,1418.0,938,159,41,23,2,0,2025-05-01,2025-05-10,4900.0,118,21,1418,16.951,2.452,12.58,2.1917
125504,SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품>음반>CD,미디어 상품,음반,CD,사전예약,766,435,975.5,632,104,5,20,4,1,2025-05-01,2025-05-10,21500.0,99,16,977,16.4557,3.1646,15.6646,2.246
191866,5월 와인 구독,,,,,구독할인,16423,3306,20968.0,13811,2221,1,284,84,22,2025-05-01,2025-05-10,3900.0,2220,200,21001,16.0814,2.0563,16.0741,6.3524
125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,숙면/건면,당일픽업,1514,818,1755.0,1202,190,78,35,9,0,2025-05-01,2025-05-10,3600.0,112,26,1755,15.807,2.9118,9.3178,2.1455
125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,138305,18406,173088.0,114852,17486,984,3908,1061,14,2025-05-01,2025-05-10,1900.0,16502,2847,173109,15.2248,3.4026,14.3681,9.405
109497, 미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,2132,910,2521.5,1731,248,78,66,8,1,2025-05-01,2025-05-10,2400.0,170,58,2523,14.327,3.8128,9.8209,2.7725
105367,5월 세븐카페 반값구독,,,,,구독할인,927,678,1149.0,804,111,1,7,2,2,2025-05-01,2025-05-10,5000.0,110,5,1152,13.806,0.8706,13.6816,1.6991
123396,앙리마티스)와인볼(레드)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,국산하이볼,당일픽업,928,329,1121.0,751,103,19,45,10,0,2025-05-01,2025-05-10,4500.0,84,35,1121,13.715,5.992,11.1851,3.4073
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,51777,11156,64407.5,42474,5774,256,2712,558,3,2025-05-01,2025-05-10,1900.0,5518,2154,64412,13.5942,6.3851,12.9915,5.7738
125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,40001,11106,48272.5,33009,4299,564,1682,438,9,2025-05-01,2025-05-10,2100.0,3735,1244,48286,13.0237,5.0956,11.3151,4.3477
125326,"5월 삼각김밥,김밥 구독",,,,,구독할인,939,658,1155.0,813,102,0,20,4,0,2025-05-01,2025-05-10,2000.0,102,16,1155,12.5461,2.46,12.5461,1.7553
192098,앙리마티스나디아(화이트),양주와인>와인>화이트,양주와인,와인,화이트,사전예약,624,362,763.0,530,63,5,25,1,0,2025-05-01,2025-05-10,12900.0,58,24,763,11.8868,4.717,10.9434,2.1077
123397,앙리마티스)와인볼(화이트)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,국산하이볼,당일픽업,1240,445,1484.0,1017,120,20,70,13,0,2025-05-01,2025-05-10,4500.0,100,57,1484,11.7994,6.883,9.8328,3.3348
123629,G)LOOK초콜릿(네가지과일)44g,과자>초콜릿>볼초콜릿,과자,초콜릿,볼초콜릿,당일픽업,1726,1003,1985.0,1472,158,44,44,6,2,2025-05-01,2025-05-10,2900.0,114,38,1988,10.7337,2.9891,7.7446,1.9821
125500,김잼작가아이스쿨러백,일용잡화>취미용품>취미용품(구 취미실내),일용잡화,취미용품,취미용품(구 취미실내),사전예약,28796,14152,33498.5,25842,2236,70,484,21,143,2025-05-01,2025-05-10,4860.0,2166,463,33713,8.6526,1.8729,8.3817,2.3822
190962,아방가르데,양주와인>와인>화이트,양주와인,와인,화이트,사전예약,581,363,681.5,506,42,3,27,2,1,2025-05-01,2025-05-10,18900.0,39,25,683,8.3004,5.336,7.7075,1.8815
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,2217,533,2485.0,2025,106,3,76,7,0,2025-05-01,2025-05-10,15500.0,103,69,2485,5.2346,3.7531,5.0864,4.6623
180959,화요X.Premium,전통주>소주>증류식소주,전통주,소주,증류식소주,사전예약,701,398,766.5,650,31,0,12,3,5,2025-05-01,2025-05-10,168000.0,31,9,774,4.7692,1.8462,4.7692,1.9447
125161,최강록의진심)지파이,즉석 식품>즉석치킨(삭제예정)>조각류_삭제예정,즉석 식품,즉석치킨(삭제예정),조각류_삭제예정,당일픽업,1643,1164,1755.0,1537,69,21,16,0,0,2025-05-01,2025-05-10,3200.0,48,16,1755,4.4893,1.041,3.123,1.5077
123741,엠즈)39저당딸기크림롤105g,디저트>냉장베이커리>롤케익,디저트,냉장베이커리,롤케익,당일픽업,746,315,812.0,670,29,10,34,3,0,2025-05-01,2025-05-10,3900.0,19,31,812,4.3284,5.0746,2.8358,2.5778
125149,부쉬밀10년싱글몰트700ml,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,639,416,680.5,596,24,6,10,2,1,2025-05-01,2025-05-10,56900.0,18,8,682,4.0268,1.6779,3.0201,1.6394
192542,5월 위스키 구독,,,,,구독할인,1156,889,1230.0,1090,41,1,14,10,0,2025-05-01,2025-05-10,9900.0,40,4,1230,3.7615,1.2844,3.6697,1.3836
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,17002,5475,19207.5,14370,469,54,1863,243,3,2025-05-01,2025-05-10,3600.0,415,1620,19212,3.2637,12.9645,2.888,3.509
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,24219,7058,26815.5,21199,634,61,2033,291,1,2025-05-01,2025-05-10,3600.0,573,1742,26817,2.9907,9.5901,2.703,3.7995
113170,엠즈)시나모롤우유케이크140g,디저트>시즌케익>시즌케익 ,디저트,시즌케익,시즌케익 ,당일픽업,752,391,807.0,674,19,4,45,10,0,2025-05-01,2025-05-10,7500.0,15,35,807,2.819,6.6766,2.2255,2.0639
125248,PB)꽃모양얼음컵,즉석음료>얼음>컵얼음,즉석음료,얼음,컵얼음,당일픽업,742,644,765.5,713,11,3,12,2,1,2025-05-03,2025-05-10,1800.0,8,10,767,1.5428,1.683,1.122,1.191
113171,엠즈)마이멜로디딸기케이크140g,디저트>시즌케익>시즌케익 ,디저트,시즌케익,시즌케익 ,당일픽업,573,352,591.5,524,4,2,33,9,1,2025-05-01,2025-05-10,7500.0,2,24,593,0.7634,6.2977,0.3817,1.6847
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,3182,1279,3250.5,3032,1,1,121,26,1,2025-05-01,2025-05-10,19900.0,0,95,3252,0.033,3.9908,0.0,2.5426
125416,자이언츠)마!비어라500ml캔,맥주>국산맥주>캔맥주(중),맥주,국산맥주,캔맥주(중),당일픽업,1184,609,1354.0,855,0,0,276,53,0,2025-05-01,2025-05-10,2800.0,0,223,1354,0.0,32.2807,0.0,2.2233
