mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
125514,KBO)프로야구 콜렉션카드2025,문구/완구,일반완구,59336,13418,73838.5,48100,6721,3354,2025-05-22,2025-05 하순,13.973
125865,2025KBO오피셜컬렉션카드,문구/완구,일반완구,58975,12954,67961.5,52000,3621,2737,2025-05-21,2025-05 하순,6.9635
125340,KBO)롯데자이언츠거인단팥빵100g,빵,간식빵,39162,9655,49620.5,30744,6107,953,2025-05-21,2025-05 하순,19.864
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,23841,6671,31341.0,17476,4468,785,2025-05-21,2025-05 하순,25.5665
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자,스낵류,18744,5166,23297.0,14905,2526,709,2025-05-21,2025-05 하순,16.9473
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자,스낵류,14056,3762,18837.0,10375,2651,513,2025-05-21,2025-05 하순,25.5518
107326,KBO야구카드바인더북,문구/완구,일반완구,10493,4926,12894.5,8877,1159,321,2025-05-21,2025-05 하순,13.0562
125812,KBO)롯데자이언츠바다샌드크림빵96g,빵,간식빵,6863,2179,10012.5,4694,1564,410,2025-05-29,2025-05 하순,33.3191
123101,G)오하요저지우유푸딩115g,디저트,젤리,6905,2126,8986.5,5323,1167,192,2025-05-21,2025-05 하순,21.9237
125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,5175,2662,6149.5,4045,695,151,2025-05-21,2025-05 하순,17.1817
210445,오뚜기)스파게티큰컵,면,용기면,3960,1305,5775.5,2587,1095,60,2025-05-21,2025-05 하순,42.327
125843,이스타)도쿠시마라면큰컵,면,용기면,4109,2493,4743.5,3619,356,59,2025-05-28,2025-05 하순,9.837
124533,롯데)맛장우맛자랑 부대볶음,미반,도시락,2952,933,4325.5,2086,737,49,2025-05-21,2025-05 하순,35.3308
108401,롯데)맛장우도시락 고기(肉)올인원,미반,도시락,2615,808,3868.0,1833,681,31,2025-05-21,2025-05 하순,37.1522
014387,맛장우전주식비빔밥,미반,도시락,2763,1022,3763.0,2006,603,34,2025-05-21,2025-05 하순,30.0598
105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,2891,1085,3718.0,2074,571,59,2025-05-21,2025-05 하순,27.5313
132835,PB)#대파열라면큰컵,면,용기면,2594,829,3598.0,1713,666,34,2025-05-21,2025-05 하순,38.8792
107512,KBO)야구카드바인더북,문구/완구,일반완구,2466,941,3211.5,1899,384,114,2025-05-23,2025-05 하순,20.2212
191866,5월 와인 구독,,,2403,1215,2951.5,2079,280,25,2025-05-21,2025-05 하순,13.468
150487,하겐)컵벨지안쵸코렛,아이스크림,고급,1627,505,2651.5,1050,530,19,2025-05-21,2025-05 하순,50.4762
105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,2107,687,2469.0,1658,288,36,2025-05-21,2025-05 하순,17.3703
220530,CJ)작은햇반130g,가공식품,가공미반류,1624,615,2256.0,1143,394,6,2025-05-21,2025-05 하순,34.4707
123307,PB)착한콘칩65g,과자,스낵류,1583,516,2191.0,1065,396,20,2025-05-21,2025-05 하순,37.1831
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,1700,741,2103.0,1299,263,51,2025-05-21,2025-05 하순,20.2463
161188,코카)코카콜라제로500ml,음료,탄산음료,1363,440,2057.0,789,453,10,2025-05-21,2025-05 하순,57.4144
150954,해태)부라보바닐라160ml,아이스크림,노벨티,1399,427,2052.0,869,420,11,2025-05-21,2025-05 하순,48.3314
123923,신동엽)블랙서클위스키700ml,양주와인,양주,1942,728,1995.5,1839,15,66,2025-05-21,2025-05 하순,0.8157
132168,농심)육개장사발면,면,용기면,1305,390,1985.0,782,427,6,2025-05-21,2025-05 하순,54.6036
123308,CJ)무항생제1등급계란10입,신선,수축산/계란,1501,396,1928.0,1104,297,11,2025-05-21,2025-05 하순,26.9022
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,1505,473,1898.5,1249,175,68,2025-05-21,2025-05 하순,14.0112
105887,롯데)맛장우전주식비빔밥,미반,도시락,1234,553,1825.5,873,313,20,2025-05-21,2025-05 하순,35.8534
125838,러셀리저브싱글배럴,양주와인,양주,1314,490,1661.0,1077,173,43,2025-05-21,2025-05 하순,16.0631
150143,하겐)컵딸기,아이스크림,고급,1091,472,1638.0,756,296,11,2025-05-21,2025-05 하순,39.1534
125717,KBO)롯데자이언츠랑그드샤(화이트초코)130g,디저트,시즌케익,1353,782,1529.0,1099,0,227,2025-05-23,2025-05 하순,0.0
125341,5월 도시락 구독(첫구독100원),,,965,461,1454.5,696,246,12,2025-05-21,2025-05 하순,35.3448
990263,"모바일금액권 10,000원",기타,판촉물,906,413,1443.0,611,272,13,2025-05-21,2025-05 하순,44.5172
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,1132,497,1440.0,747,250,26,2025-05-21,2025-05 하순,33.4672
012679,11찬 도시락,미반,도시락,1108,516,1376.0,871,172,18,2025-05-21,2025-05 하순,19.7474
210294,팔도)짬뽕왕뚜껑,면,용기면,1265,678,1375.0,905,194,18,2025-05-21,2025-05 하순,21.4365
124534,맛장우맛자랑 부대볶음,미반,도시락,1009,382,1369.0,783,191,16,2025-05-21,2025-05 하순,24.3934
070092,서울)흰우유1L,유음료,흰우유,914,275,1362.0,536,295,8,2025-05-21,2025-05 하순,55.0373
125444,히밥)럭히밥울트라면볶이(4인분),면,용기면,1126,414,1349.5,943,123,31,2025-05-21,2025-05 하순,13.0435
123600,카스 프레쉬 350ml캔(12입)*전용잔 2개,맥주,수입맥주,1031,508,1321.5,835,153,22,2025-05-21,2025-05 하순,18.3234
125901,화요41도청사시즌에디션,전통주,소주,1166,489,1290.0,1089,53,21,2025-05-29,2025-05 하순,4.8669
123767,"모바일금액권 50,000원",기타,판촉물,806,383,1262.0,566,225,12,2025-05-21,2025-05 하순,39.7527
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,1072,463,1249.5,881,105,46,2025-05-21,2025-05 하순,11.9183
123766,"모바일금액권 30,000원",기타,판촉물,731,320,1223.5,471,246,9,2025-05-21,2025-05 하순,52.2293
107478,롯데)고기(肉)맥시멈도시락,미반,도시락,1024,389,1206.0,753,175,8,2025-05-21,2025-05 하순,23.2404
123552,롯데)7찬도시락,미반,도시락,971,368,1142.0,723,160,9,2025-05-21,2025-05 하순,22.13
125102,이장우)오일스타알리오올리오,면,용기면,911,404,1139.0,691,149,24,2025-05-21,2025-05 하순,21.563
