category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
빵,간식빵,131791,93,17618,168166.5,103805,20043,2361,4053,1518,19.3083,23.2128,1808.2419
과자,스낵류,76237,185,13345,97221.0,58467,11854,2100,3032,776,20.2747,25.4605,525.5189
미반,도시락,23911,46,4698,30582.0,17580,4501,1277,440,107,25.603,28.1058,664.8261
면,용기면,20456,119,4493,27229.0,13773,4746,1466,382,83,34.4587,37.2323,228.8151
양주와인,와인,11169,277,2913,12955.5,9506,836,102,588,134,8.7944,14.98,46.7708
디저트,젤리,9303,17,2374,11881.0,7413,1396,189,255,44,18.8318,22.2717,698.8824
아이스크림,노벨티,7460,104,2495,9594.0,5231,1435,456,284,54,27.4326,32.8618,92.25
,,6986,14,2902,9449.0,5611,1232,21,94,26,21.9569,23.6322,674.9286
디저트,냉동디저트,7290,4,2247,8856.0,5646,1044,339,226,35,18.491,22.4938,2214.0
음료,탄산음료,6158,83,1782,8711.0,3867,1696,454,117,24,43.8583,46.8839,104.9518
양주와인,양주,7774,239,2585,8548.5,7000,323,39,343,68,4.6143,9.5143,35.7678
과자,초콜릿,6370,117,2055,7993.0,4645,1110,376,210,27,23.8967,28.4177,68.3162
과자,캔디류,5724,171,1644,7853.0,3625,1479,458,137,25,40.8,44.5793,45.924
조리빵,샌드위치,6143,39,1417,7498.5,4353,1115,491,158,25,25.6145,29.2442,192.2692
과자,비스킷류,5437,149,1293,7445.0,3480,1374,403,142,38,39.4828,43.5632,49.9664
미반,김밥,5594,40,1400,6977.0,3877,1073,436,175,33,27.676,32.1898,174.425
가공식품,가공미반류,5162,75,1430,6919.0,3647,1130,282,89,14,30.9844,33.4247,92.2533
맥주,수입맥주,5062,129,1579,6200.0,3884,764,236,138,24,19.6704,23.2235,48.062
미반,삼각김밥,4482,27,1069,5719.5,2818,1060,444,107,50,37.6153,41.4123,211.8333
아이스크림,고급,3981,59,1507,5672.0,2755,894,124,188,18,32.4501,39.274,96.1356
냉장,냉장간식,3510,85,971,4630.0,2383,776,242,90,19,32.564,36.3407,54.4706
미디어 상품,음반,3850,5,1922,4617.5,3300,399,19,88,39,12.0909,14.7576,923.5
맥주,국산맥주,3713,41,1334,4530.0,2765,553,180,162,43,20.0,25.859,110.4878
미반,샐러드 ,3096,9,1016,4219.0,2240,654,117,72,11,29.1964,32.4107,468.7778
일용잡화,취미용품,4039,1,2957,4061.5,3911,1,20,89,13,0.0256,2.3012,4061.5
양주와인,하이볼,3036,28,925,3780.5,2197,489,155,155,39,22.2576,29.3127,135.0179
기타,판촉물,2417,6,936,3675.0,1727,631,15,36,4,36.5373,38.6219,612.5
유음료,가공우유,2543,57,743,3501.0,1620,674,208,36,5,41.6049,43.8272,61.4211
음료,기능성드링크,2476,57,695,3472.0,1639,645,159,30,3,39.3533,41.1836,60.9123
디저트,냉장베이커리,2952,30,977,3459.0,2323,334,120,143,32,14.378,20.5338,115.3
조리빵,햄버거,2776,31,759,3424.0,1941,533,224,62,16,27.4601,30.6543,110.4516
미반,초밥류,2609,17,968,3106.0,1968,384,161,81,15,19.5122,23.628,182.7059
유음료,컵커피,2384,41,665,3105.0,1645,519,172,41,7,31.5502,34.0426,75.7317
즉석 식품,즉석치킨(삭제예정),2437,20,1020,3013.0,1949,367,87,28,6,18.8302,20.2668,150.65
음료,커피음료,2011,49,562,2872.0,1327,543,119,19,3,40.9194,42.3512,58.6122
음료,차음료,1965,61,584,2758.0,1237,530,148,43,7,42.8456,46.3217,45.2131
과자,젤리류,1840,112,634,2480.5,1282,393,98,61,5,30.6552,35.4134,22.1473
유음료,요구르트,1815,40,541,2403.0,1294,364,95,58,4,28.1298,32.6121,60.075
음료,생수,1481,21,446,2234.0,947,435,68,27,4,45.9345,48.7856,106.381
음료,주스,1589,53,550,2180.0,1040,396,113,35,5,38.0769,41.4423,41.1321
미반,푸드 간편식,1896,21,819,2107.5,1589,176,81,39,8,11.0761,13.5305,100.3571
신선,수축산/계란,1580,9,516,2068.0,1165,313,78,22,2,26.867,28.7554,229.7778
즉석음료,얼음,1632,20,842,2022.5,1289,241,57,37,7,18.6967,21.5671,101.125
음료,스포츠음료,1238,22,448,1829.0,784,365,74,13,2,46.5561,48.2143,83.1364
유음료,냉장주스,1296,29,443,1716.0,858,315,109,12,2,36.7133,38.1119,59.1724
냉동,조리냉동,1307,16,530,1630.0,1003,208,58,33,5,20.7378,24.0279,101.875
면,봉지면,1207,32,376,1624.0,766,312,106,17,6,40.7311,42.9504,50.75
유음료,흰우유,1107,10,328,1602.0,667,334,92,13,1,50.075,52.024,160.2
담배,전자담배,1173,23,297,1340.0,1020,92,4,35,22,9.0196,12.451,58.2609
전통주,기타전통주,1091,113,474,1260.0,888,101,40,57,5,11.3739,17.7928,11.1504
냉장,냉장간편식,1019,59,420,1200.0,760,144,66,41,8,18.9474,24.3421,20.339
유음료,두유,867,17,268,1142.0,574,204,72,15,2,35.5401,38.1533,67.1765
빵,구움과자,864,20,308,1099.0,602,168,62,29,3,27.907,32.7243,54.95
유음료,프로틴 음료,831,28,226,1080.0,583,169,50,23,6,28.988,32.9331,38.5714
과자,프로틴/시리얼,741,27,261,1023.0,504,183,44,8,2,36.3095,37.8968,37.8889
위생용품,티슈,733,22,267,989.5,510,167,40,11,4,32.7451,34.902,44.9773
신선,야채,785,27,304,981.0,613,120,31,20,1,19.5759,22.8385,36.3333
즉석 식품,즉석치킨,611,26,170,878.0,378,169,39,19,6,44.709,49.7354,33.7692
전통주,소주,731,35,338,856.0,555,87,41,42,4,15.6757,23.2432,24.4571
패션잡화,시즌/소품,682,32,268,853.0,576,77,1,24,2,13.3681,17.5347,26.6562
가공식품,상온간편식,651,42,268,841.0,466,122,39,24,0,26.1803,31.3305,20.0238
안주,오징어,628,29,193,778.0,497,88,21,20,2,17.7062,21.7304,26.8276
즉석음료,파우치,488,41,132,730.0,321,138,20,8,1,42.9907,45.4829,17.8049
위생용품,생리대,558,53,185,666.0,461,68,18,10,1,14.7505,16.9197,12.566
약품/의료품,의약외품,498,47,195,645.0,356,101,29,9,3,28.3708,30.8989,13.7234
유음료,기능성우유,446,11,175,608.0,314,99,22,10,1,31.5287,34.7134,55.2727
냉동,냉동만두,450,9,178,578.0,315,92,30,10,3,29.2063,32.381,64.2222
간식,냉장피자,482,16,184,574.0,392,56,17,16,1,14.2857,18.3673,35.875
빵,호빵,405,1,132,573.0,263,95,18,24,5,36.1217,45.2471,573.0
안주,생선류,412,16,168,552.5,245,113,46,7,0,46.1224,48.9796,34.5312
서비스 상품,일반서비스,468,16,241,521.5,392,39,13,15,6,9.949,13.7755,32.5938
신선,과일,387,26,161,517.0,265,86,25,10,1,32.4528,36.2264,19.8846
과자,껌,320,31,113,472.0,195,99,24,2,0,50.7692,51.7949,15.2258
건강/기호식품,커피,361,21,97,468.0,255,76,23,5,2,29.8039,31.7647,22.2857
건강/기호식품,건강/이너뷰티,339,14,105,430.0,268,53,10,7,1,19.7761,22.3881,30.7143
가정용품,세제류,311,37,112,400.0,238,55,11,5,2,23.1092,25.2101,10.8108
문구/완구,일반완구,345,29,189,395.0,296,25,4,16,4,8.4459,13.8514,13.6207
냉장,냉장안주,298,26,107,386.0,235,46,7,10,0,19.5745,23.8298,14.8462
맥주,무알콜맥주,322,11,117,378.0,213,61,35,10,3,28.6385,33.3333,34.3636
즉석음료,세븐카페,295,2,182,369.0,251,39,2,2,1,15.5378,16.3347,184.5
건강/기호식품,숙취해소제,271,16,112,365.0,185,62,17,6,1,33.5135,36.7568,22.8125
