mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,71336,13517,89068.5,57976,9678,1013,1911,753,5,2025-05-11,2025-05-20,1900.0,8665,1158,89076,16.6931,3.2962,14.9458,6.5899
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,51993,11044,67992.0,39927,8628,865,1871,698,4,2025-05-11,2025-05-20,1900.0,7763,1173,67998,21.6094,4.6861,19.443,6.157
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,30218,7476,37101.5,24856,3422,272,1305,360,3,2025-05-11,2025-05-20,3600.0,3150,945,37106,13.7673,5.2502,12.673,4.9633
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,19730,5341,26205.0,15126,3170,243,1000,189,2,2025-05-11,2025-05-20,3600.0,2927,811,26208,20.9573,6.6111,19.3508,4.9069
125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,11052,4943,12945.5,8893,1269,350,378,161,1,2025-05-11,2025-05-20,2100.0,919,217,12947,14.2697,4.2505,10.334,2.6193
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,8677,2197,11044.0,6982,1254,148,244,43,6,2025-05-11,2025-05-20,4000.0,1106,201,11053,17.9605,3.4947,15.8407,5.031
105887,롯데)맛장우전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,교환권,2936,1317,4420.0,2112,735,14,63,10,2,2025-05-11,2025-05-20,4500.0,721,53,4423,34.8011,2.983,34.1383,3.3584
125500,김잼작가아이스쿨러백,일용잡화>취미용품>취미용품(구 취미실내),일용잡화,취미용품,취미용품(구 취미실내),사전예약,4039,2957,4061.5,3911,1,20,89,13,5,2025-05-11,2025-05-20,4860.0,-19,76,4069,0.0256,2.2756,-0.4858,1.3761
210294,팔도)짬뽕왕뚜껑,면>용기면>라면(대형컵),면,용기면,라면(대형컵),당일픽업,3160,1164,3962.0,2084,716,322,30,8,0,2025-05-11,2025-05-20,1500.0,394,22,3962,34.357,1.4395,18.906,3.4038
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,2926,1160,3953.5,2189,592,95,44,5,1,2025-05-11,2025-05-20,4500.0,497,39,3955,27.0443,2.0101,22.7044,3.4095
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,2747,1105,3476.0,2026,485,149,77,10,0,2025-05-11,2025-05-20,3900.0,336,67,3476,23.9388,3.8006,16.5844,3.1457
150143,하겐)컵딸기,아이스크림>고급>컵,아이스크림,고급,컵,교환권,1948,891,3039.5,1347,525,7,64,4,1,2025-05-14,2025-05-20,6900.0,518,60,3041,38.9755,4.7513,38.4558,3.413
191866,5월 와인 구독,,,,,구독할인,2298,1024,3018.0,1890,360,2,32,14,0,2025-05-11,2025-05-20,3900.0,358,18,3018,19.0476,1.6931,18.9418,2.9473
210445,오뚜기)스파게티큰컵,면>용기면>비빔/볶음면,면,용기면,비빔/볶음면,당일픽업,1914,600,2862.0,1232,551,89,36,6,0,2025-05-11,2025-05-20,1800.0,462,30,2862,44.724,2.9221,37.5,4.77
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,2615,996,2657.5,2516,2,0,77,19,1,2025-05-11,2025-05-20,19900.0,2,58,2659,0.0795,3.0604,0.0795,2.6697
105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,당일픽업,2143,665,2570.0,1601,350,142,37,13,0,2025-05-11,2025-05-20,4500.0,208,24,2570,21.8613,2.3111,12.9919,3.8647
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,1956,931,2372.0,1528,276,87,56,9,0,2025-05-11,2025-05-20,2400.0,189,47,2372,18.0628,3.6649,12.3691,2.5478
132835,PB)#대파열라면큰컵,면>용기면>라면(대형컵),면,용기면,라면(대형컵),당일픽업,1678,572,2367.0,1199,393,59,25,2,0,2025-05-11,2025-05-20,2000.0,334,23,2367,32.7773,2.0851,27.8565,4.1381
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,1863,504,2196.5,1601,163,23,68,7,1,2025-05-11,2025-05-20,15500.0,140,61,2198,10.1811,4.2473,8.7445,4.3611
105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,레드,당일픽업,1827,575,2121.0,1513,157,14,98,45,0,2025-05-11,2025-05-20,212400.0,143,53,2121,10.3767,6.4772,9.4514,3.6887
125569,케이준치킨너겟샐러드165g,미반>샐러드 >채소샐러드 ,미반,샐러드 ,채소샐러드 ,사전예약,1539,645,2102.5,1109,327,55,38,9,1,2025-05-12,2025-05-20,4900.0,272,29,2104,29.486,3.4265,24.5266,3.262
