category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
빵,간식빵,498413,105,45724,641943.5,386781,77557,10099,18834,5099,20.0519,24.9213,6113.7476
미반,도시락,278825,65,35931,351662.5,211905,47247,12459,5838,1259,22.2963,25.0513,5410.1923
과자,스낵류,272791,198,37875,344996.0,205973,42278,9696,12227,2585,20.526,26.4622,1742.404
양주와인,양주,230111,290,26770,251798.0,209443,8954,641,8991,1926,4.2751,8.568,868.269
,,136884,26,24595,179600.0,112567,20964,149,2411,619,18.6236,20.7654,6907.6923
문구/완구,일반완구,141251,69,23383,169645.5,119384,12661,527,7053,1409,10.6053,16.5131,2458.6304
면,용기면,124981,125,22821,168102.0,83678,29463,8668,2610,532,35.21,38.3291,1344.816
양주와인,와인,141968,320,21140,166420.0,120247,11344,1191,7465,1639,9.4339,15.642,520.0625
디저트,젤리,110149,23,25623,136832.5,90492,13988,1884,3318,406,15.4577,19.1243,5949.2391
조리빵,샌드위치,83955,52,14351,105670.0,59923,15302,5447,2847,416,25.5361,30.2872,2032.1154
디저트,냉동디저트,78025,4,19283,94580.0,61349,10415,3114,2734,383,16.9766,21.4331,23645.0
미반,김밥,70826,46,13735,90873.0,49721,13156,4299,3207,435,26.4596,32.9096,1975.5
미반,삼각김밥,58630,34,13247,78447.5,38387,13844,4296,1635,453,36.0643,40.3235,2307.2794
미반,초밥류,54030,21,14446,69054.5,40337,8857,2173,2315,323,21.9575,27.6967,3288.3095
과자,비스킷류,48813,172,11279,64109.0,32245,10767,3739,1786,272,33.3912,38.9301,372.7267
과자,초콜릿,47278,145,13805,58487.5,35404,7407,2382,1767,299,20.9214,25.9123,403.3621
음료,탄산음료,39965,100,9712,54703.5,24962,10519,3428,888,165,42.1401,45.6975,547.035
과자,캔디류,40147,206,10523,52312.5,28538,8031,2279,1074,200,28.1414,31.9048,253.9442
아이스크림,노벨티,38903,109,10543,50012.0,27353,7374,2357,1567,244,26.9587,32.6875,458.8257
일용잡화,취미용품,32902,1,16221,37615.0,29812,2238,96,573,35,7.507,9.4291,37615.0
조리빵,햄버거,29429,40,6523,36872.0,20826,5662,2150,663,120,27.1872,30.3707,921.8
디저트,냉장베이커리,30169,32,10011,36380.0,23604,3870,1191,1283,213,16.3955,21.831,1136.875
가공식품,가공미반류,27082,81,6829,35662.5,18999,5731,1641,603,99,30.1647,33.3386,440.2778
기타,판촉물,22920,10,6851,35111.0,16364,6085,101,310,38,37.1853,39.0797,3511.1
맥주,수입맥주,28962,150,7985,35031.0,23245,3757,954,802,158,16.1626,19.6128,233.54
미반,푸드 간편식,27162,29,7303,32379.0,22030,3337,980,707,100,15.1475,18.3568,1116.5172
과자,젤리류,24437,151,6284,31388.0,18833,3858,708,885,105,20.4853,25.1845,207.8675
양주와인,하이볼,24996,29,6473,30647.5,19208,3300,864,1336,275,17.1803,24.1358,1056.8103
아이스크림,고급,22280,67,8100,28576.5,17026,3636,774,745,82,21.3556,25.7312,426.5149
유음료,가공우유,20211,63,5359,27365.0,12903,5066,1649,501,90,39.2622,43.145,434.3651
면,봉지면,20339,42,3554,26400.5,12832,5033,2067,314,92,39.2223,41.6693,628.5833
냉장,냉장간식,19640,101,4754,25679.5,13167,4293,1434,603,140,32.6042,37.1839,254.2525
맥주,국산맥주,20112,53,7003,24025.0,15649,2567,840,849,191,16.4036,21.8289,453.3019
미디어 상품,음반,17113,8,7139,21224.0,14367,2073,78,417,138,14.4289,17.3314,2653.0
즉석 식품,즉석치킨(삭제예정),15315,20,4611,19575.5,11558,2698,669,327,62,23.3431,26.1723,978.775
음료,기능성드링크,13565,63,3428,18791.0,8934,3433,896,252,50,38.4262,41.2469,298.2698
음료,커피음료,11779,60,2556,16761.0,7466,3195,802,276,40,42.794,46.4908,279.35
유음료,컵커피,12566,41,3000,16588.5,8660,2770,846,251,38,31.9861,34.8845,404.5976
음료,차음료,10836,68,2938,14871.5,6948,2654,768,398,67,38.198,43.9263,218.6985
패션잡화,시즌/소품,12378,87,3624,14741.5,10616,1125,97,451,66,10.5972,14.8455,169.4425
냉장,냉장간편식,11038,69,4401,12987.5,8693,1304,462,473,103,15.0006,20.4417,188.2246
유음료,흰우유,8865,10,1944,12788.0,5414,2584,671,163,33,47.7281,50.7388,1278.8
전통주,소주,10717,42,3698,12740.5,8868,1145,249,369,63,12.9116,17.0726,303.3452
유음료,요구르트,9840,42,2836,12675.0,6886,1912,616,365,61,27.7665,33.0671,301.7857
음료,주스,8577,68,2668,11623.5,5615,2015,594,303,49,35.886,41.2823,170.9338
음료,스포츠음료,7314,23,2151,10525.5,4479,2106,549,152,27,47.0194,50.413,457.6304
음료,생수,7224,24,1977,10423.0,4575,2017,467,143,22,44.0874,47.2131,434.2917
즉석음료,세븐카페,6716,2,2818,9749.5,4962,1587,86,64,16,31.9831,33.2729,4874.75
서비스 상품,일반서비스,7842,19,3534,9586.0,6417,907,112,315,77,14.1343,19.0432,504.5263
전통주,기타전통주,8010,130,3068,9229.5,6644,629,179,474,75,9.4672,16.6014,70.9962
신선,수축산/계란,6696,11,1566,8679.0,4784,1361,412,121,18,28.449,30.9783,789.0
즉석음료,얼음,6150,20,2531,8004.0,4585,1156,269,119,19,25.2126,27.8081,400.2
담배,전자담배,6684,25,1657,7624.0,5849,504,26,197,106,8.6169,11.985,304.96
유음료,냉장주스,5427,33,1641,7360.0,3563,1323,398,123,20,37.1316,40.5838,223.0303
유음료,프로틴 음료,5295,29,1024,6764.0,3702,1070,382,125,16,28.9033,32.2798,233.2414
즉석 식품,즉석치킨,4705,26,1221,6512.5,2930,1234,368,140,32,42.116,46.8942,250.4808
유음료,두유,4783,17,1290,6408.0,3092,1149,380,137,25,37.1604,41.5912,376.9412
미반,샐러드 ,4915,9,1613,6338.0,3638,857,193,181,42,23.5569,28.5322,704.2222
냉동,조리냉동,4920,18,1583,6118.0,3635,831,277,148,29,22.8611,26.9326,339.8889
가공식품,상온간편식,4713,61,1754,6041.0,3405,860,261,168,19,25.257,30.1909,99.0328
과자,프로틴/시리얼,4376,30,1313,5887.0,2932,1006,298,125,15,34.3111,38.5744,196.2333
빵,구움과자,4282,24,1341,5531.5,2876,907,329,144,25,31.5369,36.5438,230.4792
위생용품,티슈,3859,24,1352,5098.5,2770,782,188,96,22,28.231,31.6968,212.4375
신선,야채,3729,50,1198,4642.0,2718,619,195,153,44,22.7741,28.4032,92.84
신선,과일,3349,38,1057,4407.0,2338,674,182,128,27,28.8281,34.3028,115.9737
즉석음료,파우치,2806,49,629,3992.0,1771,748,185,88,14,42.236,47.205,81.4694
위생용품,생리대,3304,62,1083,3981.5,2632,430,111,100,30,16.3374,20.1368,64.2177
안주,오징어,3045,36,736,3940.5,2264,551,125,84,20,24.3375,28.0477,109.4583
유음료,기능성우유,2776,11,912,3680.5,1873,597,179,107,19,31.874,37.5868,334.5909
건강/기호식품,숙취해소제,2808,17,1063,3667.0,1967,597,185,50,7,30.3508,32.8927,215.7059
서비스 상품,기타,3162,12,1382,3609.0,2850,249,35,24,2,8.7368,9.5789,300.75
약품/의료품,의약외품,2741,62,962,3537.0,1951,504,139,120,27,25.8329,31.9836,57.0484
과자,껌,2434,35,642,3412.0,1506,662,194,62,10,43.9575,48.0744,97.4857
안주,생선류,2462,22,851,3338.5,1546,640,216,49,10,41.3972,44.5666,151.75
디저트,시즌케익,3003,3,1499,3269.5,2592,28,9,324,47,1.0802,13.5802,1089.8333
냉동,냉동만두,2536,10,869,3250.0,1811,496,149,60,20,27.3882,30.7013,325.0
건강/기호식품,커피,2369,22,540,3105.5,1647,490,131,73,27,29.7511,34.1834,141.1591
간식,냉장피자,2410,21,803,3001.0,1796,373,112,109,20,20.7684,26.8374,142.9048
음료,전통음료,1791,23,717,2492.0,1135,459,131,59,7,40.4405,45.6388,108.3478
냉장,냉장안주,1789,35,573,2226.0,1374,253,65,85,12,18.4134,24.5997,63.6
가정용품,세제류,1693,43,609,2174.0,1297,298,64,27,7,22.9761,25.0578,50.5581
건강/기호식품,건강/이너뷰티,1741,17,625,2155.0,1349,268,71,42,11,19.8666,22.98,126.7647
맥주,무알콜맥주,1715,13,702,2039.0,1266,262,111,58,18,20.6951,25.2765,156.8462
유음료,유제품,1417,11,490,1963.0,925,351,95,42,4,37.9459,42.4865,178.4545
전통주,막걸리,1588,20,587,1782.0,1299,151,64,56,18,11.6243,15.9353,89.1
냉동,냉동간편식,1379,7,577,1666.5,1066,171,47,76,18,16.0413,23.1707,238.0714
