first_month,event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views
2025-03,2025-03,123923,신동엽)블랙서클위스키700ml,양주와인,양주,74699,11483,78171.0,70728,1448,1868,2025-03-01,2.0473
2025-03,2025-03,123101,G)오하요저지우유푸딩115g,디저트,젤리,51515,14095,62653.0,43698,5484,1593,2025-03-01,12.5498
2025-03,2025-03,191572,3월 와인 구독,,,30725,5178,39390.0,25677,4148,694,2025-03-01,16.1545
2025-03,2025-03,123618,렌틸콩유부초밥&에그샐러드,미반,초밥류,19475,6277,26157.0,14059,3594,1039,2025-03-01,25.5637
2025-03,2025-03,014387,맛장우전주식비빔밥,미반,도시락,17758,4926,24647.0,12777,3954,343,2025-03-01,30.9462
2025-03,2025-03,014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,14330,4380,21483.5,9792,3892,219,2025-03-01,39.7467
2025-03,2025-03,124230,히비키 하모니,양주와인,양주,18402,2689,20149.5,16796,641,786,2025-03-11,3.8164
2025-03,2025-03,123504,닭가슴살스테이크도시락,미반,도시락,14698,5336,18912.5,11219,2255,713,2025-03-01,20.0998
2025-03,2025-03,109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,13410,6646,15696.5,11188,1326,474,2025-03-01,11.852
2025-03,2025-03,124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,10638,3371,14414.5,7729,2027,495,2025-03-20,26.2259
2025-03,2025-03,105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,11801,5078,14331.5,9450,1447,477,2025-03-01,15.3122
2025-03,2025-03,109362,7찬도시락,미반,도시락,11837,4000,13427.5,10606,871,185,2025-03-01,8.2123
2025-03,2025-03,123619,홀그레인머스타드닭가슴살김밥,미반,김밥,9399,3155,12818.0,6470,1783,714,2025-03-01,27.558
2025-03,2025-03,105748,지비)귀달베르토750ml,양주와인,와인,10983,2570,12595.5,9027,867,684,2025-03-01,9.6045
2025-03,2025-03,109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,9842,4008,11894.0,7954,1115,453,2025-03-01,14.0181
2025-03,2025-03,124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,6801,2455,9495.0,4708,1429,388,2025-03-20,30.3526
2025-03,2025-03,108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,7299,2124,9428.0,5804,1006,362,2025-03-01,17.3329
2025-03,2025-03,123953,안유성명장 치킨난반정식,미반,도시락,7930,2975,9341.5,6861,779,143,2025-03-01,11.354
2025-03,2025-03,124228,야마자키 12년,양주와인,양주,8732,1310,9238.5,8098,141,402,2025-03-11,1.7412
2025-03,2025-03,123444,와일드 터키 지미 러셀  70주년 릴리즈,양주와인,양주,8919,1302,9182.5,8538,34,291,2025-03-11,0.3982
2025-03,2025-03,124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,6409,2340,8995.5,4510,1310,381,2025-03-20,29.0466
2025-03,2025-03,124227,야마자키 DR,양주와인,양주,8286,1387,8963.5,7508,198,477,2025-03-11,2.6372
2025-03,2025-03,124530,최강록의간장들기름비빔밥,미반,도시락,6256,1865,8473.5,4526,1290,171,2025-03-15,28.502
2025-03,2025-03,123655,닭가슴살잡곡샌드,조리빵,샌드위치,6177,2401,8360.0,4229,1105,551,2025-03-01,26.1291
2025-03,2025-03,124684,KBO)삼립한화이글스핫투움바브레드90g,빵,간식빵,5691,2051,8251.0,3840,1312,338,2025-03-20,34.1667
2025-03,2025-03,124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵,간식빵,5397,2014,7950.0,3569,1292,347,2025-03-20,36.2006
2025-03,2025-03,124446,3월 도시락 구독(100원),,,4997,2009,7479.0,3663,1235,67,2025-03-01,33.7155
2025-03,2025-03,124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵,간식빵,4940,1824,7424.0,3099,1291,334,2025-03-20,41.6586
2025-03,2025-03,192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,5856,1774,7386.5,4777,660,347,2025-03-01,13.8162
2025-03,2025-03,124229,하쿠슈 DR,양주와인,양주,6652,1127,7173.5,6064,142,372,2025-03-11,2.3417
2025-03,2025-03,105887,롯데)맛장우전주식비빔밥,미반,도시락,4647,1729,7040.5,3266,1245,58,2025-03-01,38.12
2025-03,2025-03,124390,필리치즈스테이크버거,조리빵,햄버거,5158,1914,6740.5,3854,1000,62,2025-03-01,25.9471
2025-03,2025-03,124265,"3월 삼각김밥,김밥 구독(100원)",,,4169,1701,6484.5,2932,1155,53,2025-03-01,39.3929
2025-03,2025-03,124136,듬뿍참치유부초밥,미반,초밥류,4672,1646,6421.5,3321,1051,82,2025-03-01,31.6471
2025-03,2025-03,124390,"3월 샌드위치,햄버거 구독(100원)",,,4042,1592,6308.0,2822,1139,46,2025-03-01,40.3614
2025-03,2025-03,124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵,간식빵,3817,1527,5834.0,2325,1032,291,2025-03-20,44.3871
2025-03,2025-03,123503,롯데)더커진닭가슴살잡곡밥삼각,미반,삼각김밥,4791,1782,5707.5,3818,374,453,2025-03-01,9.7957
2025-03,2025-03,123601,롯데)렌틸콩유부초밥&에그샐러드,미반,초밥류,4726,1908,5673.0,3791,384,427,2025-03-01,10.1293
2025-03,2025-03,192628,3월 위스키 구독,,,5030,3220,5593.0,4631,287,70,2025-03-01,6.1974
2025-03,2025-03,834845,3월 도시락 구독,,,4030,1850,5522.0,3210,732,66,2025-03-05,22.8037
2025-03,2025-03,124225,타케츠루 퓨어몰트,양주와인,양주,4204,1171,5473.0,3375,632,131,2025-03-04,18.7259
2025-03,2025-03,105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,4377,1510,5438.5,3322,716,101,2025-03-01,21.5533
2025-03,2025-03,123500,롯데)닭가슴살스테이크도시락,미반,도시락,4363,1700,5264.0,3451,373,411,2025-03-01,10.8085
2025-03,2025-03,052382,세븐카페)아메리카노(R),즉석음료,세븐카페,3274,1310,5158.0,2248,963,28,2025-03-01,42.8381
2025-03,2025-03,124681,KBO)삼립NC다이노스공룡알흑임자컵케익130g,빵,간식빵,3289,1325,5031.0,2034,853,280,2025-03-20,41.9371
2025-03,2025-03,124508,최강록의로스팜에그샌드,조리빵,샌드위치,3725,1340,4992.0,2685,770,89,2025-03-12,28.6778
2025-03,2025-03,124682,KBO)삼립키움히어로즈자색고구마팡100g,빵,간식빵,3221,1268,4879.0,1948,850,268,2025-03-20,43.6345
2025-03,2025-03,109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,3757,1688,4577.0,3035,479,116,2025-03-01,15.7825
2025-03,2025-03,116939,매콤투움바파스타,미반,푸드 간편식,3601,1404,4515.0,2826,577,52,2025-03-01,20.4176
2025-03,2025-03,124679,KBO)삼립KBO홈런배트롤150g,디저트,냉장베이커리,3489,1422,4489.0,2717,498,183,2025-03-20,18.329
2025-03,2025-03,108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,3901,1269,4396.5,3380,261,164,2025-03-01,7.7219
2025-03,2025-03,013782,New모둠초밥정식,미반,초밥류,3547,1673,4377.5,2802,507,97,2025-03-01,18.0942
2025-03,2025-03,124082,PB)밀크딸기콘170ml,아이스크림,노벨티,3802,2407,4300.5,3313,305,84,2025-03-01,9.2062
2025-03,2025-03,123502,롯데)홀그레인머스타드닭가슴살김밥,미반,김밥,3368,1415,4297.0,2489,362,413,2025-03-01,14.544
2025-03,2025-03,107879,3월 세븐카페 구독,,,3084,1809,3996.0,2580,447,43,2025-03-01,17.3256
2025-03,2025-03,012679,11찬 도시락,미반,도시락,2965,1258,3914.0,2287,538,51,2025-03-01,23.5243
2025-03,2025-03,124510,우진)지오도BDM 18,양주와인,와인,3405,1016,3896.5,2887,242,185,2025-03-01,8.3824
2025-03,2025-03,124511,우진)르볼테21/22 750ml,양주와인,와인,3309,1056,3894.0,2627,308,239,2025-03-01,11.7244
2025-03,2025-03,990263,"모바일금액권 10,000원",기타,판촉물,2476,1014,3874.0,1707,701,44,2025-03-01,41.0662
2025-03,2025-03,124532,맛장우맛자랑 직화닭갈비,미반,도시락,2774,1004,3771.5,2031,592,38,2025-03-18,29.1482
2025-03,2025-03,124340,G)LOOK초콜릿딸기복숭아46g,과자,초콜릿,3297,1967,3682.5,2922,210,97,2025-03-01,7.1869
2025-03,2025-03,601328, 7P)랑그드샤화이트초코70g,과자,비스킷류,2886,1370,3500.5,2250,364,143,2025-03-01,16.1778
2025-03,2025-03,107409, G)대파크래커80g,과자,비스킷류,2948,1585,3499.5,2415,320,112,2025-03-01,13.2505
2025-03,2025-03,123767,"모바일금액권 50,000원",기타,판촉물,2061,723,3409.5,1365,663,29,2025-03-01,48.5714
2025-03,2025-03,124670,SF9화보매거진기획set,과자,젤리류,2379,505,3406.0,1781,489,82,2025-03-07,27.4565
2025-03,2025-03,124224,요이치 싱글몰트,양주와인,양주,2680,1222,3358.0,2188,348,89,2025-03-04,15.9049
2025-03,2025-03,105367,3월 세븐카페 반값구독,,,2722,1728,3345.0,2366,315,24,2025-03-01,13.3136
2025-03,2025-03,124159,리얼소프트햄샌드,조리빵,샌드위치,2479,1076,3083.0,1861,436,32,2025-03-01,23.4283
2025-03,2025-03,123443,스크램블&불고기덮밥,미반,도시락,2365,946,3080.5,1698,425,116,2025-03-01,25.0294
2025-03,2025-03,123306,안유성명장김밥명란타마고,미반,김밥,2259,1023,3051.0,1595,440,120,2025-03-01,27.5862
2025-03,2025-03,132168,농심)육개장사발면,면,용기면,2170,812,3035.0,1343,608,29,2025-03-01,45.2718
2025-03,2025-03,107542,PB)k리그허니황치즈감자칩60g,과자,스낵류,2393,1300,2943.5,1918,308,89,2025-03-01,16.0584
2025-03,2025-03,123926,매콤왕교자그라탕,미반,푸드 간편식,2325,1009,2929.0,1817,384,28,2025-03-01,21.1337
2025-03,2025-03,117574,PB)누네띠네55g,과자,비스킷류,2135,822,2921.5,1302,585,37,2025-03-01,44.9309
2025-03,2025-03,109166,PB)생생감자칩페퍼솔트60g,과자,스낵류,2254,1246,2913.5,1758,387,34,2025-03-01,22.0137
2025-03,2025-03,109671,닭가슴살햄듬뿍샌드,조리빵,샌드위치,2180,703,2904.0,1567,420,90,2025-03-01,26.8028
2025-03,2025-03,123766,"모바일금액권 30,000원",기타,판촉물,1708,605,2861.0,1095,576,25,2025-03-01,52.6027
2025-03,2025-03,108364,우진)루첸테 750ml,양주와인,와인,2554,826,2836.0,2112,143,198,2025-03-01,6.7708
2025-03,2025-03,601347,엔제이)블랙썬더버터22g,과자,초콜릿,2584,1853,2807.0,2319,129,79,2025-03-01,5.5627
2025-03,2025-03,124261,맥캘란 12년 셰리오크,양주와인,양주,2308,693,2794.5,1953,223,99,2025-03-17,11.4183
2025-03,2025-03,124534,맛장우맛자랑 부대볶음,미반,도시락,2105,832,2740.0,1565,410,25,2025-03-19,26.1981
2025-03,2025-03,124134,닭강정김밥,미반,김밥,2125,974,2715.0,1587,382,46,2025-03-01,24.0706
2025-03,2025-03,112645,PB)이비가짬뽕큰컵,면,용기면,2058,953,2701.5,1478,410,54,2025-03-01,27.7402
2025-03,2025-03,070092,서울)흰우유1L,유음료,흰우유,1831,486,2685.0,1153,524,38,2025-03-01,45.4467
2025-03,2025-03,013794,밥먹자얘들아 도시락,미반,도시락,2091,942,2644.0,1636,329,49,2025-03-01,20.11
2025-03,2025-03,124513,우진)루체 21 750ml,양주와인,와인,2360,770,2627.5,1899,147,200,2025-03-01,7.7409
2025-03,2025-03,834791,"3월 삼각김밥,김밥 구독",,,2141,1302,2626.5,1862,232,38,2025-03-05,12.4597
2025-03,2025-03,108473,그린)불닭치즈소시지김밥,미반,김밥,2091,831,2608.0,1622,291,97,2025-03-01,17.9408
2025-03,2025-03,124067,박은영)마라마파두부덮밥380g,냉장,냉장간편식,2480,1661,2546.0,2405,30,32,2025-03-01,1.2474
2025-03,2025-03,109583,신동엽)블랙서클하이볼레몬350ml캔,양주와인,하이볼,2062,1146,2410.5,1642,218,104,2025-03-01,13.2765
2025-03,2025-03,124254,맥캘란 18년 셰리오크,양주와인,양주,2150,524,2409.0,1919,115,86,2025-03-17,5.9927
2025-03,2025-03,123552,롯데)7찬도시락,미반,도시락,1935,756,2364.0,1422,345,25,2025-03-01,24.2616
2025-03,2025-03,123556,롯데)밥먹자얘들아,미반,도시락,1947,803,2357.0,1464,317,36,2025-03-01,21.653
2025-03,2025-03,123059,어메이징딸기샌드,조리빵,샌드위치,1639,687,2219.0,1146,318,98,2025-03-01,27.7487
2025-03,2025-03,123598,롯데)닭가슴살잡곡샌드,조리빵,샌드위치,1768,868,2194.0,1254,146,290,2025-03-01,11.6427
2025-03,2025-03,123094,현대)맛장우 통등심돈까스&김치제육,미반,도시락,1920,1021,2185.0,1564,218,35,2025-03-01,13.9386
2025-03,2025-03,123600,카스 프레쉬 350ml캔(12입)*전용잔 2개,맥주,수입맥주,1564,644,2147.0,1220,293,28,2025-03-06,24.0164
2025-03,2025-03,108543,불닭치즈소시지김밥,미반,김밥,1600,608,2127.0,1119,304,91,2025-03-01,27.1671
2025-03,2025-03,041567,PB)푸하하소금우유크림빵110g,디저트,냉장베이커리,1545,616,2078.0,986,361,69,2025-03-01,36.6126
2025-03,2025-03,124634,키키쿼카)스트레스볼set,과자,캔디류,1830,1218,2060.5,1660,113,36,2025-03-01,6.8072
2025-04,2025-04,192580,4월 와인 구독,,,19004,4336,24700.0,15679,2740,448,2025-04-01,17.4756
2025-04,2025-04,125382,NCTWISH기획세트,과자,젤리류,11042,2406,13576.0,9493,1126,362,2025-04-24,11.8614
2025-04,2025-04,109055,G)크라시에유자셔벗140ml,아이스크림,고급,7470,4341,8409.0,6676,463,219,2025-04-03,6.9353
2025-04,2025-04,125102,이장우)오일스타알리오올리오,면,용기면,5363,1926,6698.0,4213,770,184,2025-04-16,18.2768
2025-04,2025-04,125237,엔시티위시2집미니앨범,미디어 상품,음반,5001,1923,6576.5,4051,762,138,2025-04-15,18.8102
2025-04,2025-04,124932,버터치킨카레덮밥,미반,도시락,4525,1824,5927.0,3613,727,97,2025-04-09,20.1218
2025-04,2025-04,125051,사천식마파두부덮밥,미반,도시락,3320,1414,4609.0,2538,666,59,2025-04-16,26.2411
2025-04,2025-04,192580,무학)드보뀌베D 750ml,양주와인,와인,3966,1180,4608.5,3478,321,110,2025-04-02,9.2294
2025-04,2025-04,123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,3209,975,4106.5,2520,420,198,2025-04-03,16.6667
2025-04,2025-04,118860,발베니 12년 싱글배럴 700ml,양주와인,양주,3125,705,3384.5,2813,45,231,2025-04-08,1.5997
2025-04,2025-04,123396,앙리마티스)와인볼(레드)500ml캔,양주와인,하이볼,2475,846,3182.0,1965,317,153,2025-04-03,16.1323
2025-04,2025-04,125238,엔시티위시2집미니앨범(6EA),미디어 상품,음반,1943,1065,2210.0,1676,138,80,2025-04-15,8.2339
2025-04,2025-04,125504,SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,2081,1844,2160.0,2023,39,10,2025-04-29,1.9278
2025-04,2025-04,125012,프롬더배럴500ml,양주와인,양주,1464,682,1736.5,1288,134,29,2025-04-02,10.4037
2025-04,2025-04,125340,KBO)롯데자이언츠거인단팥빵100g,빵,간식빵,1407,623,1570.0,1190,0,199,2025-04-25,0.0
2025-04,2025-04,124859,조니워커블루뱀띠에디션1L,양주와인,양주,1270,735,1386.5,1193,59,11,2025-04-01,4.9455
2025-04,2025-04,210332,팔도)도시락,면,용기면,944,298,1315.0,561,273,15,2025-04-03,48.6631
2025-04,2025-04,124303,쉥크스 홈스테드 켄터키 사워매시 2024 700ml,양주와인,양주,1225,194,1293.5,1148,20,46,2025-04-10,1.7422
2025-04,2025-04,125084,PB)이봉원의봉짬뽕224g,냉장,냉장간편식,1082,457,1282.5,850,126,53,2025-04-17,14.8235
2025-04,2025-04,125131,모던 스퀘어 카네이션,서비스 상품,기타,939,504,1150.0,818,108,7,2025-04-10,13.2029
2025-04,2025-04,125343,ITTA MAGAZINE TEMPEST ver,미디어 상품,잡지,819,140,1114.5,635,152,17,2025-04-21,23.937
2025-04,2025-04,118889,시원)후와토로리치피스타치오40g,디저트,냉동디저트,862,429,1075.0,665,121,41,2025-04-03,18.1955
2025-04,2025-04,210464,오뚜기)진라면매운맛큰컵,면,용기면,632,185,894.0,388,183,6,2025-04-03,47.1649
2025-04,2025-04,132290,농심)새우탕면(소컵),면,용기면,594,174,813.0,351,171,7,2025-04-03,48.7179
2025-04,2025-04,125132,하이브리드_아이비,서비스 상품,기타,695,504,780.5,641,45,4,2025-04-10,7.0203
2025-04,2025-04,125133,반전 용돈박스(대),서비스 상품,기타,724,587,778.5,689,27,5,2025-04-10,3.9187
2025-04,2025-04,324783,SK텔링크)반값유심,서비스 상품,일반서비스,548,220,744.5,435,100,7,2025-04-17,22.9885
2025-04,2025-04,124931,PB)바밤바알밤초콜릿16g,과자,초콜릿,564,240,741.0,421,94,29,2025-04-10,22.3278
2025-04,2025-04,324300,SK텔링크)알뜰유심,서비스 상품,일반서비스,537,205,720.0,414,93,19,2025-04-15,22.4638
2025-04,2025-04,124680,키노비오리지널진700ml,양주와인,양주,577,239,720.0,480,76,10,2025-04-01,15.8333
2025-04,2025-04,125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,612,309,699.0,480,0,117,2025-04-25,0.0
2025-04,2025-04,124978,부나하벤12년700ml,양주와인,양주,635,337,693.0,598,24,12,2025-04-08,4.0134
2025-04,2025-04,132171,농심)생생우동253g,면,봉지면,502,167,674.0,345,102,26,2025-04-05,29.5652
2025-04,2025-04,124774,농심)배홍동칼빔면봉지,면,봉지면,508,160,662.0,335,119,8,2025-04-09,35.5224
2025-04,2025-04,124040,해태)연양갱땅콩맛55g,과자,캔디류,401,124,599.5,242,122,9,2025-04-04,50.4132
2025-04,2025-04,125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,481,285,594.0,344,0,129,2025-04-29,0.0
2025-04,2025-04,132226,삼양)불닭볶음면(큰컵),면,용기면,363,118,549.0,201,123,6,2025-04-03,61.194
2025-04,2025-04,114361,농심)짜파게티더블랙사발면,면,용기면,410,152,535.0,262,100,7,2025-04-01,38.1679
2025-04,2025-04,124560,PB)박은영셰프의유산슬탕면큰컵,면,용기면,431,197,526.0,315,75,9,2025-04-09,23.8095
2025-04,2025-04,124765,초코텍)퍼지초코100g,과자,초콜릿,379,176,511.0,276,80,6,2025-04-04,28.9855
2025-04,2025-04,125040,PB)이봉원의봉새우볶음밥260g,냉동,냉동간편식,441,198,509.5,345,43,29,2025-04-17,12.4638
2025-04,2025-04,124523,G)설화병오리지널90g,과자,캔디류,372,119,502.0,279,64,20,2025-04-03,22.9391
2025-04,2025-04,132162,농심)생생우동용기,면,용기면,341,114,468.0,202,96,7,2025-04-03,47.5248
2025-04,2025-04,120092,제스트)도쿄브레드훗카이도크림빵,빵,간식빵,344,184,437.0,254,54,19,2025-04-03,21.2598
2025-04,2025-04,601082,농심)먹태깡청양마요맛60g,과자,스낵류,299,91,427.0,179,83,12,2025-04-01,46.3687
2025-04,2025-04,125149,부쉬밀10년싱글몰트700ml,양주와인,양주,382,238,420.0,357,19,4,2025-04-28,5.3221
2025-04,2025-04,115922,농심)감자깡75g,과자,스낵류,309,100,413.0,193,78,8,2025-04-01,40.4145
2025-04,2025-04,124962,불닭마요유부초밥,미반,초밥류,303,172,389.0,231,50,10,2025-04-08,21.645
2025-04,2025-04,124563,해태)자가비사워크림맛45g,과자,스낵류,280,117,385.0,187,60,17,2025-04-01,32.0856
2025-04,2025-04,124619,포켓델리치킨난반,미반,푸드 간편식,333,231,378.0,299,20,11,2025-04-04,6.689
2025-04,2025-04,124863,조니워커블랙셰리패키지,양주와인,양주,303,159,376.0,252,31,16,2025-04-01,12.3016
2025-04,2025-04,124766,초코텍)퍼지딸기100g,과자,초콜릿,263,144,347.0,193,47,11,2025-04-04,24.3523
2025-04,2025-04,120103,제스트)도쿄브레드메론빵,빵,간식빵,249,115,343.0,167,51,18,2025-04-03,30.5389
2025-04,2025-04,124561,농심)마라짜파게티큰사발,면,용기면,265,94,342.0,169,62,7,2025-04-03,36.6864
2025-04,2025-04,124729,엠즈)쫀득라바초코케이크80g,디저트,냉장베이커리,294,197,331.5,245,14,26,2025-04-03,5.7143
2025-04,2025-04,108698,엔제이)훗카이도바나나카스테라,빵,간식빵,248,118,331.0,160,49,21,2025-04-03,30.625
2025-04,2025-04,109695,글렌피딕12년쉐리700ml,양주와인,양주,251,138,320.0,201,28,19,2025-04-01,13.9303
2025-04,2025-04,109471,G)마루짱튀김소바99g,면,용기면,233,105,319.0,152,47,20,2025-04-03,30.9211
2025-04,2025-04,124939,엠즈)쫀득라바녹차케이크80g,디저트,냉장베이커리,279,174,310.0,240,13,19,2025-04-04,5.4167
2025-04,2025-04,124554,PB)바밤바알밤크림빵110g,빵,간식빵,251,104,310.0,173,44,13,2025-04-03,25.4335
2025-04,2025-04,083775,삼립)로켓단초코롤85g,빵,간식빵,202,83,306.0,118,62,8,2025-04-03,52.5424
2025-04,2025-04,124737,칠성)펩시콜라제로모히토500ml,음료,탄산음료,224,114,302.0,163,44,8,2025-04-03,26.9939
2025-04,2025-04,124958,롯데)새로소주다래360ml병,전통주,기타전통주,252,116,295.0,186,28,21,2025-04-07,15.0538
2025-04,2025-04,115562,카발란 솔리스트 비노바리끄,양주와인,양주,234,125,292.0,194,24,14,2025-04-07,12.3711
2025-04,2025-04,106638,코카)코카콜라체리제로500ml,음료,탄산음료,198,77,283.0,121,53,9,2025-04-02,43.8017
2025-04,2025-04,124744,PB)산리오포차코아망추망고350ml,음료,차음료,214,92,276.0,155,33,16,2025-04-03,21.2903
2025-04,2025-04,124524,G)설화병크랜베리90g,과자,캔디류,200,85,274.0,142,37,14,2025-04-03,26.0563
2025-04,2025-04,124620,하림)오늘단백초코라떼250ml,유음료,프로틴 음료,224,44,269.0,185,27,5,2025-04-04,14.5946
2025-04,2025-04,124566,오뚜기)보들보들치즈볶음면매운맛,면,용기면,189,83,267.0,118,49,8,2025-04-03,41.5254
2025-04,2025-04,132167,농심)튀김우동(소컵),면,용기면,176,61,263.0,102,58,1,2025-04-03,56.8627
2025-04,2025-04,124335,에이트)벤토불징어맛7g,안주,생선류,197,98,261.0,129,47,4,2025-04-01,36.4341
2025-04,2025-04,124769,크라운)마이쮸써니피치44g,과자,캔디류,168,59,244.0,99,49,6,2025-04-03,49.4949
