event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views,prev_weighted_interest_score,prev_unique_users,score_delta_vs_prev_month,unique_users_delta_vs_prev_month
2025-04,192580,4월 와인 구독,,,19004,4336,24700.0,15679,2740,448,2025-04-01,17.4756,0.0,0,24700.0,4336
2025-04,125382,NCTWISH기획세트,과자,젤리류,11042,2406,13576.0,9493,1126,362,2025-04-24,11.8614,0.0,0,13576.0,2406
2025-04,109055,G)크라시에유자셔벗140ml,아이스크림,고급,7470,4341,8409.0,6676,463,219,2025-04-03,6.9353,0.0,0,8409.0,4341
2025-04,125102,이장우)오일스타알리오올리오,면,용기면,5363,1926,6698.0,4213,770,184,2025-04-16,18.2768,0.0,0,6698.0,1926
2025-04,125237,엔시티위시2집미니앨범,미디어 상품,음반,5001,1923,6576.5,4051,762,138,2025-04-15,18.8102,0.0,0,6576.5,1923
2025-04,124932,버터치킨카레덮밥,미반,도시락,4525,1824,5927.0,3613,727,97,2025-04-09,20.1218,0.0,0,5927.0,1824
2025-04,990120,"모바일금액권 5,000원",기타,판촉물,4905,2850,6685.0,3958,890,35,2025-04-01,22.4861,1030.5,263,5654.5,2587
2025-04,124549,PB)바밤바꿀밤생크림빵120g,디저트,냉장베이커리,5213,3314,5468.0,4925,159,64,2025-04-01,3.2284,223.0,70,5245.0,3244
2025-04,125051,사천식마파두부덮밥,미반,도시락,3320,1414,4609.0,2538,666,59,2025-04-16,26.2411,0.0,0,4609.0,1414
2025-04,192580,무학)드보뀌베D 750ml,양주와인,와인,3966,1180,4608.5,3478,321,110,2025-04-02,9.2294,0.0,0,4608.5,1180
2025-04,123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,3209,975,4106.5,2520,420,198,2025-04-03,16.6667,0.0,0,4106.5,975
2025-04,132159,농심)짜파게티큰사발,면,용기면,2733,954,3793.0,1702,755,34,2025-04-01,44.3596,378.0,91,3415.0,863
2025-04,118860,발베니 12년 싱글배럴 700ml,양주와인,양주,3125,705,3384.5,2813,45,231,2025-04-08,1.5997,0.0,0,3384.5,705
2025-04,124534,4월 도시락 구독,,,4213,1873,6111.5,3217,928,58,2025-04-01,28.8468,2740.0,832,3371.5,1041
2025-04,123396,앙리마티스)와인볼(레드)500ml캔,양주와인,하이볼,2475,846,3182.0,1965,317,153,2025-04-03,16.1323,0.0,0,3182.0,846
2025-04,110580,농심)포테토칩오리지널60g,과자,스낵류,2091,695,3016.0,1273,611,39,2025-04-01,47.9969,154.0,40,2862.0,655
2025-04,191660,아영)오이스터베이쇼비뇽블랑750,양주와인,와인,2235,693,2900.5,1782,313,106,2025-04-01,17.5645,52.0,24,2848.5,669
2025-04,124529,롯데)최강록의간장들기름비빔밥,미반,도시락,3232,1338,3818.0,2604,408,68,2025-04-01,15.6682,1090.0,334,2728.0,1004
2025-04,124531,현대)맛장우맛자랑 직화닭갈비,미반,도시락,2852,1211,3409.0,2235,420,37,2025-04-01,18.7919,831.5,248,2577.5,963
2025-04,192542,4월 위스키 구독,,,2413,1549,2667.0,2220,133,36,2025-04-01,5.991,90.0,44,2577.0,1505
2025-04,107478,롯데)고기(肉)맥시멈도시락,미반,도시락,2055,777,2481.0,1521,360,18,2025-04-01,23.6686,-1.0,1,2482.0,776
2025-04,220178,4월 장보기 구독,,,2370,1890,2513.0,2266,75,17,2025-04-01,3.3098,31.0,9,2482.0,1881
2025-04,124533,롯데)맛장우맛자랑 부대볶음,미반,도시락,2717,1125,3207.0,2142,386,32,2025-04-01,18.0205,727.0,245,2480.0,880
2025-04,109020,농심)신라면툼바큰사발,면,용기면,2030,714,2808.0,1281,542,36,2025-04-01,42.3107,452.0,127,2356.0,587
