mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
115858,농심)새우깡90g,과자>스낵류>일반스낵,과자,스낵류,일반스낵,당일픽업,1470,512,2192.0,787,507,152,20,4,0,2025-03-02,2025-05-31,1500.0,355,16,2192,64.4219,2.5413,45.108,4.2812
132226,삼양)불닭볶음면(큰컵),면>용기면>비빔/볶음면,면,용기면,비빔/볶음면,당일픽업,966,316,1481.0,531,338,82,11,4,0,2025-04-03,2025-05-31,1800.0,256,7,1481,63.6535,2.0716,48.2109,4.6867
115920,농심)매운새우깡90g,과자>스낵류>일반스낵,과자,스낵류,일반스낵,당일픽업,1256,449,1852.0,673,427,136,18,2,0,2025-03-03,2025-05-31,1500.0,291,16,1852,63.4473,2.6746,43.2392,4.1247
132145,농심)김치사발면,면>용기면>라면(소형컵),면,용기면,라면(소형컵),당일픽업,1429,481,2089.0,788,469,144,22,6,0,2025-03-03,2025-05-31,1100.0,325,16,2089,59.5178,2.7919,41.2437,4.343
115848,에이스)옥수수브이콘50g,과자>스낵류>전통스낵,과자,스낵류,전통스낵,당일픽업,1434,537,2089.0,784,461,146,37,6,0,2025-03-01,2025-05-31,1000.0,315,31,2089,58.801,4.7194,40.1786,3.8901
132167,농심)튀김우동(소컵),면>용기면>라면(소형컵),면,용기면,라면(소형컵),당일픽업,1749,488,2614.0,995,585,157,11,1,0,2025-04-03,2025-05-31,1250.0,428,10,2614,58.794,1.1055,43.0151,5.3566
132288,농심)짜파게티범벅,면>용기면>비빔/볶음면,면,용기면,비빔/볶음면,당일픽업,1234,458,1811.0,694,400,120,19,1,0,2025-03-03,2025-05-31,1000.0,280,18,1811,57.6369,2.7378,40.3458,3.9541
111382,농심)멘토스레인보우,과자>캔디류>과일향캔디,과자,캔디류,과일향캔디,당일픽업,1694,572,2464.0,963,549,168,12,2,0,2025-03-01,2025-05-31,900.0,381,10,2464,57.0093,1.2461,39.5639,4.3077
107128,PB)얼음컵(라지),즉석음료>얼음>컵얼음,즉석음료,얼음,컵얼음,당일픽업,1173,334,1784.0,680,385,86,19,3,0,2025-03-01,2025-05-31,900.0,299,16,1784,56.6176,2.7941,43.9706,5.3413
014381,롯데)숯불치킨치밥삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,당일픽업,1022,337,1436.0,565,314,113,24,6,0,2025-03-02,2025-05-31,1200.0,201,18,1436,55.5752,4.2478,35.5752,4.2611
160053,칠성)펩시콜라600ml,음료>탄산음료>콜라(중),음료,탄산음료,콜라(중),당일픽업,1328,413,2029.0,783,432,88,21,4,0,2025-03-01,2025-05-31,2300.0,344,17,2029,55.1724,2.682,43.9336,4.9128
132140,농심)튀김우동큰사발,면>용기면>라면(대형컵),면,용기면,라면(대형컵),당일픽업,1401,520,1985.0,788,433,151,26,3,0,2025-03-01,2025-05-31,1500.0,282,23,1985,54.9492,3.2995,35.7868,3.8173
