mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,category_s,item_type,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,share_count,first_event_date,last_event_date,median_price,net_cart_count,net_wishlist_count,intent_score,cart_add_per_100_views,wishlist_add_per_100_views,net_cart_per_100_views,intent_score_per_user
125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,250210,29329,313347.0,204762,33271,2906,6971,2276,24,2025-04-25,2025-05-31,1900.0,30365,4695,313383,16.2486,3.4044,14.8294,10.6851
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,128092,21196,164334.5,100221,18870,1866,5497,1629,9,2025-04-29,2025-05-31,1900.0,17004,3868,164348,18.8284,5.4849,16.9665,7.7537
123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,푸딩,당일픽업,106573,24953,132182.0,87983,13286,1674,3185,385,60,2025-03-01,2025-05-31,4000.0,11612,2800,132272,15.1006,3.62,13.198,5.3008
123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,위스키,당일픽업,98104,15445,102003.0,92943,1519,78,2702,836,26,2025-03-01,2025-05-31,19900.0,1441,1866,102042,1.6343,2.9072,1.5504,6.6068
125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,73321,14976,87405.0,61046,6582,698,4100,891,4,2025-04-29,2025-05-31,3600.0,5884,3209,87411,10.782,6.7162,9.6386,5.8367
125514,KBO)프로야구 콜렉션카드2025,문구/완구>일반완구>일반완구,문구/완구,일반완구,일반완구,당일픽업,59336,13418,73838.5,48100,6721,260,3354,882,19,2025-05-22,2025-05-31,1000.0,6461,2472,73867,13.973,6.973,13.4324,5.5051
125865,2025KBO오피셜컬렉션카드,문구/완구>일반완구>일반완구,문구/완구,일반완구,일반완구,사전예약,58975,12954,67961.5,52000,3621,89,2737,367,161,2025-05-21,2025-05-31,30000.0,3532,2370,68203,6.9635,5.2635,6.7923,5.265
125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,56840,16548,68066.5,46427,6263,1118,2328,693,11,2025-04-25,2025-05-31,2100.0,5145,1635,68083,13.49,5.0143,11.0819,4.1143
125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자>스낵류>옥수수스낵,과자,스낵류,옥수수스낵,당일픽업,50968,11531,64474.5,39991,6290,677,3431,574,5,2025-04-29,2025-05-31,3600.0,5613,2857,64482,15.7285,8.5794,14.0357,5.5921
014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,36238,9854,49235.5,26480,7675,1383,600,91,9,2025-03-01,2025-05-31,4500.0,6292,509,49249,28.9841,2.2659,23.7613,4.9979
191572,3월 와인 구독,,,,,구독할인,30751,5187,39407.0,25688,4148,6,701,150,58,2025-03-01,2025-05-29,3900.0,4142,551,39494,16.1476,2.7289,16.1243,7.614
125500,김잼작가아이스쿨러백,일용잡화>취미용품>취미용품(구 취미실내),일용잡화,취미용품,취미용품(구 취미실내),사전예약,32902,16221,37615.0,29812,2238,96,573,35,148,2025-05-01,2025-05-27,4860.0,2142,538,37837,7.507,1.922,7.185,2.3326
105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,냉동빵,당일픽업,28472,10294,35256.5,21879,4306,1210,909,155,13,2025-03-01,2025-05-31,3900.0,3096,754,35276,19.681,4.1547,14.1506,3.4269
109496, 미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,25162,10746,30060.0,20022,3166,1022,834,110,8,2025-03-01,2025-05-31,2400.0,2144,724,30072,15.8126,4.1654,10.7082,2.7984
191866,5월 와인 구독,,,,,구독할인,21124,4342,26937.5,17780,2861,9,341,110,23,2025-05-01,2025-05-31,3900.0,2852,231,26972,16.0911,1.9179,16.0405,6.2119
123618,렌틸콩유부초밥&에그샐러드,미반>초밥류>유부초밥,미반,초밥류,유부초밥,사전예약,19557,6304,26148.0,14078,3602,716,1040,107,14,2025-03-01,2025-05-31,3900.0,2886,933,26169,25.586,7.3874,20.5001,4.1512
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,19037,6076,24923.5,13838,3506,724,752,214,3,2025-03-20,2025-05-31,1900.0,2782,538,24928,25.336,5.4343,20.1041,4.1027
192580,4월 와인 구독,,,,,구독할인,19032,4339,24715.0,15684,2740,5,459,116,28,2025-04-01,2025-05-29,3900.0,2735,343,24757,17.47,2.9265,17.4382,5.7057
109497, 미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,냉동떡,당일픽업,20112,7420,23984.5,16175,2319,695,819,95,9,2025-03-01,2025-05-31,2400.0,1624,724,23998,14.3369,5.0634,10.0402,3.2342
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,19593,4261,23265.0,16949,1595,112,855,72,10,2025-03-01,2025-05-31,15500.0,1483,783,23280,9.4106,5.0445,8.7498,5.4635
105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,당일픽업,17740,4439,21447.5,13091,2993,1209,343,101,3,2025-03-01,2025-05-31,4500.0,1784,242,21452,22.863,2.6201,13.6277,4.8326
109362,7찬도시락,미반>도시락>기타,미반,도시락,기타,사전예약,17624,6140,20662.5,15184,1773,319,269,66,13,2025-03-01,2025-05-31,5200.0,1454,203,20682,11.6768,1.7716,9.5759,3.3684
124230,히비키 하모니,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,18445,2708,20184.5,16824,642,3,792,159,25,2025-03-11,2025-05-22,148000.0,639,633,20222,3.816,4.7076,3.7981,7.4675
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,화이트,당일픽업,14918,4139,19082.0,11969,2016,158,661,104,10,2025-03-01,2025-05-31,29000.0,1858,557,19097,16.8435,5.5226,15.5234,4.6139
123504,닭가슴살스테이크도시락,미반>도시락>기타,미반,도시락,기타,사전예약,14740,5356,18921.5,11233,2260,442,714,82,9,2025-03-01,2025-05-23,6500.0,1818,632,18935,20.1193,6.3563,16.1845,3.5353
124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,기타,사전예약,14863,5848,18758.0,11631,2349,513,319,47,4,2025-03-15,2025-05-31,4900.0,1836,272,18764,20.196,2.7427,15.7854,3.2086
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,12729,4532,16960.5,8853,2535,559,614,167,1,2025-03-20,2025-05-31,1900.0,1976,447,16962,28.6344,6.9355,22.3201,3.7427
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,교환권,10316,4153,16064.0,7064,2958,93,138,59,4,2025-03-01,2025-05-31,1100.0,2865,79,16070,41.8743,1.9536,40.5578,3.8695
014287,롯데)NEW참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,삼각김밥,당일픽업,12426,4289,16053.0,8446,2713,902,244,119,2,2025-03-03,2025-05-31,1100.0,1811,125,16056,32.1217,2.8889,21.4421,3.7435
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,11268,3945,15413.5,7793,2331,435,590,118,1,2025-03-20,2025-05-31,1900.0,1896,472,15415,29.9115,7.5709,24.3295,3.9075
105887,롯데)맛장우전주식비빔밥,미반>도시락>도시락,미반,도시락,도시락,교환권,9687,3821,14472.0,6922,2458,101,159,43,4,2025-03-01,2025-05-31,4500.0,2357,116,14478,35.51,2.297,34.0509,3.7891
124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,10280,3535,14389.0,6838,2344,462,539,97,0,2025-03-20,2025-05-31,1900.0,1882,442,14389,34.279,7.8824,27.5227,4.0704
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,10019,3551,14316.0,6468,2471,491,505,84,0,2025-03-20,2025-05-31,1900.0,1980,421,14316,38.2035,7.8077,30.6122,4.0315
109131,신동엽)생드래프트비어500ml캔,맥주>국산맥주>수제맥주,맥주,국산맥주,수제맥주,당일픽업,11513,4596,13731.0,9410,1366,343,317,71,6,2025-03-01,2025-05-31,5000.0,1023,246,13740,14.5165,3.3688,10.8714,2.9896
124684,KBO)삼립한화이글스핫투움바브레드90g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,9730,3408,13623.0,6552,2170,400,523,85,0,2025-03-20,2025-05-31,1900.0,1770,438,13623,33.1197,7.9823,27.0147,3.9974
125382,NCTWISH기획세트,과자>젤리류>국산젤리,과자,젤리류,국산젤리,사전예약,11045,2407,13579.0,9494,1127,14,362,20,28,2025-04-24,2025-05-26,11000.0,1113,342,13621,11.8707,3.8129,11.7232,5.6589
105748,지비)귀달베르토750ml,양주와인>와인>레드,양주와인,와인,레드,당일픽업,11570,2727,13183.5,9568,870,102,711,316,3,2025-03-01,2025-05-31,74900.0,768,395,13188,9.0928,7.431,8.0268,4.8361
210294,팔도)짬뽕왕뚜껑,면>용기면>라면(대형컵),면,용기면,라면(대형컵),당일픽업,9625,2990,12931.5,6264,2419,794,117,30,1,2025-04-09,2025-05-31,1500.0,1625,87,12933,38.6175,1.8678,25.9419,4.3254
107326,KBO야구카드바인더북,문구/완구>일반완구>일반완구,문구/완구,일반완구,일반완구,사전예약,10493,4926,12894.5,8877,1159,72,321,41,23,2025-05-21,2025-05-31,18000.0,1087,280,12929,13.0562,3.6161,12.2451,2.6246
123619,홀그레인머스타드닭가슴살김밥,미반>김밥>말이김밥,미반,김밥,말이김밥,사전예약,9430,3167,12818.0,6478,1786,386,715,63,2,2025-03-01,2025-05-23,3500.0,1400,652,12821,27.5702,11.0374,21.6116,4.0483
013782,New모둠초밥정식,미반>초밥류>초밥,미반,초밥류,초밥,사전예약,10527,4735,12670.0,8606,1317,294,237,69,4,2025-03-01,2025-05-31,6500.0,1023,168,12676,15.3033,2.7539,11.8871,2.6771
124534,맛장우맛자랑 부대볶음,미반>도시락>기타,미반,도시락,기타,사전예약,9806,3230,12589.0,7609,1714,361,102,10,10,2025-03-19,2025-05-31,5500.0,1353,92,12604,22.526,1.3405,17.7816,3.9022
012679,11찬 도시락,미반>도시락>기타,미반,도시락,기타,사전예약,9153,3710,11636.0,7178,1498,272,147,58,0,2025-03-01,2025-05-31,6300.0,1226,89,11636,20.8693,2.0479,17.08,3.1364
124136,듬뿍참치유부초밥,미반>초밥류>유부초밥,미반,초밥류,유부초밥,사전예약,8345,2831,11002.5,6035,1693,424,168,24,1,2025-03-01,2025-05-31,3500.0,1269,144,11004,28.053,2.7838,21.0273,3.887
109055,G)크라시에유자셔벗140ml,아이스크림>고급>컵,아이스크림,고급,컵,당일픽업,9202,4896,10738.5,7753,851,217,337,31,13,2025-04-03,2025-05-31,2800.0,634,306,10758,10.9764,4.3467,8.1775,2.1973
124390,필리치즈스테이크버거,조리빵>햄버거>햄버거,조리빵,햄버거,햄버거,사전예약,8491,3316,10673.5,6556,1410,361,136,25,3,2025-03-01,2025-05-31,3600.0,1049,111,10678,21.507,2.0744,16.0006,3.2201
125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,숙면/건면,당일픽업,8624,3281,10563.0,6751,1218,290,270,93,2,2025-04-16,2025-05-31,3600.0,928,177,10566,18.0418,3.9994,13.7461,3.2204
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,7295,2828,10445.0,4598,1809,386,436,66,0,2025-03-20,2025-05-31,1900.0,1423,370,10445,39.3432,9.4824,30.9482,3.6934
123444,와일드 터키 지미 러셀  70주년 릴리즈,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,9976,1571,10255.5,9516,37,0,345,67,11,2025-03-11,2025-05-12,79000.0,37,278,10272,0.3888,3.6255,0.3888,6.5385
124532,맛장우맛자랑 직화닭갈비,미반>도시락>기타,미반,도시락,기타,사전예약,7761,2585,10207.0,5950,1430,227,111,33,10,2025-03-18,2025-05-31,5500.0,1203,78,10222,24.0336,1.8655,20.2185,3.9544
125812,KBO)롯데자이언츠바다샌드크림빵96g,빵>간식빵>캐릭터빵,빵,간식빵,캐릭터빵,당일픽업,6863,2179,10012.5,4694,1564,114,410,80,1,2025-05-29,2025-05-31,1900.0,1450,330,10014,33.3191,8.7346,30.8905,4.5957
132168,농심)육개장사발면,면>용기면>라면(소형컵),면,용기면,라면(소형컵),당일픽업,7028,2462,9986.5,4315,2044,587,69,12,1,2025-03-01,2025-05-31,1100.0,1457,57,9988,47.3696,1.5991,33.7659,4.0569
124932,버터치킨카레덮밥,미반>도시락>기타,미반,도시락,기타,사전예약,7901,3031,9954.0,6302,1180,210,168,23,18,2025-04-09,2025-05-31,3900.0,970,145,9981,18.7242,2.6658,15.3919,3.293
123953,안유성명장 치킨난반정식,미반>도시락>기타,미반,도시락,기타,사전예약,8337,3176,9793.5,7199,818,125,152,40,3,2025-03-01,2025-05-31,5500.0,693,112,9798,11.3627,2.1114,9.6263,3.085
123552,롯데)7찬도시락,미반>도시락>도시락,미반,도시락,도시락,당일픽업,8039,2454,9745.5,5691,1532,691,91,33,1,2025-03-01,2025-05-31,5200.0,841,58,9747,26.9197,1.599,14.7777,3.9719
124508,최강록의로스팜에그샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,기타 ,사전예약,7484,2875,9462.5,5621,1308,378,157,19,1,2025-03-12,2025-05-31,3200.0,930,138,9464,23.2699,2.7931,16.5451,3.2918
990120,"모바일금액권 5,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,6679,3616,9291.5,5261,1319,33,54,5,7,2025-03-01,2025-05-31,5000.0,1286,49,9302,25.0713,1.0264,24.444,2.5725
124228,야마자키 12년,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,8744,1317,9255.5,8102,141,0,409,89,3,2025-03-11,2025-05-03,315000.0,141,320,9260,1.7403,5.0481,1.7403,7.0311
124679,KBO)삼립KBO홈런배트롤150g,디저트>냉장베이커리>롤케익,디저트,냉장베이커리,롤케익,당일픽업,7151,2710,9131.5,5496,1059,180,350,63,3,2025-03-20,2025-05-31,4900.0,879,287,9136,19.2686,6.3683,15.9934,3.3712
052382,세븐카페)아메리카노(R),즉석음료>세븐카페>HOT,즉석음료,세븐카페,HOT,교환권,6173,2752,9053.5,4533,1503,76,49,11,1,2025-03-01,2025-05-31,1200.0,1427,38,9055,33.1568,1.081,31.4803,3.2903
124227,야마자키 DR,양주와인>양주>위스키,양주와인,양주,위스키,사전예약,8297,1394,8974.5,7513,198,2,481,96,7,2025-03-11,2025-04-19,158000.0,196,385,8985,2.6354,6.4022,2.6088,6.4455
990263,"모바일금액권 10,000원",기타>판촉물>판촉물,기타,판촉물,판촉물,금액권,5661,2125,8942.0,3872,1642,34,95,14,4,2025-03-01,2025-05-31,10000.0,1608,81,8948,42.407,2.4535,41.5289,4.2108
124340,G)LOOK초콜릿딸기복숭아46g,과자>초콜릿>볼초콜릿,과자,초콜릿,볼초콜릿,당일픽업,7332,3351,8801.0,5792,934,290,269,43,4,2025-03-01,2025-05-31,2900.0,644,226,8807,16.1257,4.6443,11.1188,2.6282
