Event Name,event_count
af_login,8287073
af_content_view_eachevent,6490638
af_content_view_product,2857230
af_content_view_special,2697324
af_search_inventory,2646992
af_content_view_inventory,2146290
af_search,1127543
af_content_view_pickup,552031
af_add_to_cart,490693
af_content_view_attendance,292276
af_content_view_reservation,274568
af_content_view_storage,264795
af_search_store,252986
af_content_view_delivery,217422
af_content_view_event,203456
af_complete_registration,129871
af_content_view_store,128524
af_purchase,118136
af_remove_from_cart,110415
af_add_to_wishlist,108922
af_content_view_subscription,99433
af_content_view_coupon,65613
af_delivery_purchase,62108
af_content_view_exhibition,31802
af_content_view_sevencon,25800
af_content_view_giftcard,25476
af_remove_from_wishlist,22864
af_share,2031
