content_proxy,event_count,unique_users
af_content_special,2697324,114910
af_content_inventory,2146290,141219
1673,1728261,92261
1645,1656398,93726
1696,1590521,77834
af_content_pickup,552031,107477
1644,309838,52463
af_content_attendance,292276,45611
af_content_reservation,274568,79186
af_content_storage,250477,61183
af_content_delivery,217422,38201
af_content_event,203456,61557
1643,135738,50052
1702,133530,43477
af_content_store,128524,44376
af_content_subscription,99433,22177
1723,91319,19491
1642,72559,26254
1705,68501,29347
1641,66579,21043
af_content_coupon,65613,35681
1667,63604,21843
1728,62665,20101
1675,42885,23524
1646,37756,20206
af_content_exhibition,31802,20058
1672,27297,13699
1674,25983,14613
af_content_sevencon,25800,17204
af_content_giftcard,25476,14093
1659,20296,7218
1722,19166,12857
1694,17049,9410
1681,16826,5314
1684,15898,2688
1683,15040,3057
1665,14579,6604
1678,14079,7098
1635,13854,8835
1692,12981,6501
1685,12519,2384
1701,12383,7294
1687,11000,2516
1711,10814,5364
1686,9863,2322
1689,9780,7406
1682,9751,3849
1647,9665,4121
1704,9572,5214
1677,8262,4379
1707,8030,6171
1663,7586,3270
1649,6972,4790
1717,6641,4070
1668,6072,3505
1693,5868,2850
1691,5785,4186
1655,5447,3070
1638,4828,3033
1726,4067,2700
1725,3536,2199
1718,2838,2095
1720,2753,2169
1690,2711,1647
1662,2566,1151
1695,2476,1625
1652,2395,824
1670,2374,898
1712,2348,1968
1657,2186,1730
1679,2069,812
1713,2066,1514
1654,1982,1283
1676,1967,1478
1706,1956,1549
1656,1849,933
1628,1637,1074
1736,1561,865
1708,1524,585
1709,1482,616
1666,1281,1054
1636,1213,893
1710,1192,663
1703,1011,780
1680,849,480
1688,544,446
1700,539,469
1640,538,316
1719,301,241
0,275,275
1632,47,32
1629,46,30
null,40,40
1727,39,4
1669,30,1
1631,27,22
1741,23,5
1620,21,21
1618,20,19
1625,19,15
