af_customer_user_id,event_count,unique_event_names,unique_content_proxy,first_event_date,last_event_date
L00000000000,3209311,23,114,2025-03-01,2025-05-31
L11000529811,4845,23,93,2025-03-01,2025-05-31
L11000214056,4596,25,58,2025-03-01,2025-05-31
L11000030665,3965,24,39,2025-03-01,2025-05-31
L11000257524,3813,25,70,2025-03-01,2025-05-31
L11000581638,3807,24,45,2025-03-01,2025-05-31
L11001346928,3562,24,32,2025-03-01,2025-05-31
L11001463933,3472,17,34,2025-03-01,2025-05-31
L11000938643,3470,23,44,2025-03-03,2025-05-31
L11001105936,3458,19,32,2025-03-02,2025-05-31
L11000544204,3383,20,31,2025-03-07,2025-05-31
L11001583314,3360,17,40,2025-03-01,2025-05-31
L11000332063,3345,24,53,2025-03-01,2025-05-31
L11000128606,3302,17,34,2025-03-06,2025-05-31
L11000929724,3067,18,32,2025-03-01,2025-05-31
L11001364136,3022,25,43,2025-03-16,2025-05-31
L11000000761,2975,14,20,2025-04-01,2025-05-31
L11000891714,2934,24,50,2025-03-01,2025-05-31
L11000441168,2737,23,34,2025-03-01,2025-05-31
L11000795745,2726,20,26,2025-03-01,2025-05-31
L11001582677,2702,22,27,2025-03-01,2025-05-30
L11001213404,2663,23,26,2025-03-04,2025-05-31
L11000432651,2526,21,33,2025-04-07,2025-05-31
L11001521796,2516,22,23,2025-03-05,2025-05-31
L11001819983,2513,27,80,2025-03-01,2025-05-31
L11000156213,2457,18,33,2025-03-01,2025-05-31
L11000385746,2394,13,30,2025-03-01,2025-05-31
L11000360748,2382,18,13,2025-03-01,2025-05-08
L11001694183,2362,22,47,2025-03-01,2025-05-31
L11000842193,2312,17,19,2025-03-01,2025-05-31
L11000802968,2298,27,54,2025-03-01,2025-05-31
L12000053548,2272,21,23,2025-03-10,2025-05-31
L11000438345,2233,16,29,2025-03-02,2025-05-31
L11001790347,2230,18,35,2025-03-01,2025-05-30
L11000102047,2185,17,29,2025-03-01,2025-05-31
L11000652623,2168,18,31,2025-03-01,2025-05-31
L11000016000,2158,21,32,2025-03-01,2025-05-31
L11000200761,2138,23,51,2025-03-01,2025-05-31
L11000266281,2132,19,35,2025-03-01,2025-05-31
L11000937888,2116,18,31,2025-03-08,2025-05-31
L12000038855,2080,16,19,2025-03-01,2025-05-31
L12000141131,2074,17,15,2025-05-04,2025-05-31
L11000416332,2065,23,50,2025-03-02,2025-05-31
L11000961775,2058,22,27,2025-04-13,2025-05-31
L12000138251,2031,15,9,2025-05-03,2025-05-31
L11000320939,1998,17,12,2025-05-07,2025-05-31
L11000132927,1986,22,49,2025-03-01,2025-05-31
L11000131883,1985,19,29,2025-03-01,2025-05-31
L11000897949,1976,17,13,2025-04-18,2025-05-31
L11000746983,1958,24,51,2025-03-01,2025-05-19
