keyword,title,description,content,link,bloggername,postdate,crawled_at
세븐일레븐 쿡인페이퍼 즉석신라면블랙,(주)한솔 한국특수전지(주) - 창원 성주동 위탁급식영업 | 꽃피다,"성주동 주변에는, 뉴서인청과 즉석판매제조가공업, 국선생성주점 즉석판매제조가공업, 그린투블랙 즉석판매제조가공업, 세븐일레븐창원더스퀘어점 건강기능식품일반판매업, 매화떡집... ",,https://bloomjda.net/2132781054,꽃피다 소상공인,20260427,2026-04-27 15:01:40
세븐일레븐 쿡인페이퍼 즉석신라면블랙,(주)디엔솔루션즈 성주공장 - 창원 성주동 산업체 | 꽃피다,"자연애반찬 즉석판매제조가공업, 뉴서인청과 즉석판매제조가공업, 그린투블랙... 시골기차반찬쿡 즉석판매제조가공업, 세븐일레븐창원더스퀘어점 건강기능식품일반판매업, 마이키친... ",,https://bloomjda.net/2132780895,꽃피다 소상공인,20260427,2026-04-27 15:01:41
세븐일레븐 쿡인페이퍼 즉석신라면블랙,홍콩 3박 4일 여행 | Day 2,아침은 차찬탱을 먹기로 했습니다 식당 가는 길에 세븐일레븐에 들러서 물을 사려고 합니다 대부분... 계란 라면 연유 &amp; 버터 크리스피 번 을 주문했습니다 아이스 레몬 허니티가 먼저 나옴 보이는 그대로... ,"홍콩 3박 4일 여행
2일차
↟𖠰˚☀︎ᨒ↟𖠰
홍콩 여행 2일차입니다
침대 옆 커튼을 치면 보이는 고층 건물입니다
테니스장에서 테니스 치는 아저씨👨가 있길래 찍으려고 카메라를 켜자마자 아저씨가 사라지심
.
.
.
아침을 먹으러 이동합니다
2일차 됐다고 제법 습한 날씨에 적응함
ᕕ( ᐛ )ᕗ
일요일 아침 홍콩 풍경은 이렇습니다
개 산책 시키는 분들이 많이 보입니다
​
왈!!
아침은 차찬탱을 먹기로 했습니다
식당 가는 길에 세븐일레븐에 들러서 물을 사려고 합니다
대부분 홍콩 식당들은 물이나 휴지를 제공하지 않기 때문에 하나 사서 들고 다니시는 걸 추천합니다
이 띨롱이는 누군지 모르겠는데 여행 다니는 중에 자주 마주침
Ah Tak이라는 청결 홍보대사 마스코트라고 합니다
차를 한 병 사서 다시 차찬탱 식당으로 향했습니다
​
싱흥유엔
2 Mee Lun Street, Central, 홍콩
궁금했던 곳
이렇게 생긴 식당입니다
야외 자리에 앉아서 차찬텡을 먹는다는 게 흥미로워서
꼭 와보고 싶었음
아이스 레몬 허니티
토마토 & 계란 라면
연유 & 버터 크리스피 번
을 주문했습니다
아이스 레몬 허니티가 먼저 나옴
보이는 그대로 시원한 레몬 꿀차
맛있었음
​
똥윤영이라고 밀크티랑 커피 섞은 음료수도 맛있다고 합니다
저는 공복엔 무리인 거 같아서 패스했어요
드디어 토마토 라면 등장
˗ˏˋ 🍅 ˎˊ˗
토마토 러버로서 평가하자면 나쁘지 않았음
간이 세지 않아서 좋았고 토마토 스프에 라면사리 넣어서 먹는 맛이었다
​
직원분들 친절하심
크리스피 번
아침 공복부터 평소라면 먹지 않을 메뉴를 먹기에 더 신이 남
여행 핑계로 연유 잔뜩 뿌린 빵을 먹을 수 있다는 사실 자체가 쩌는 부분
크리스피 번 너무 바삭한 나머지 베어 물 때마다 가루가 흩날림
.
.
.
​
침사추이로 넘어가기 위해 페리를 타러 가겠음
놀이터 너무 예쁘게 꾸며놔서 한 장 찍었다
페리 탑승장까지 버스 타고 이동합니도
정류장 하나 더 가야 하는데 잘못 내림
다행히 내린 곳에서 페리 탑승장까지 걸어서 7분 정도여서 천천히 걸어갔습니다
​
Central Ferry Pier No.7 (Star Ferry Pier)
홍콩 센트럴
침사추이 가는 페리 탑승장은 7번입니다
여기서도 맨홀 뚜껑 샷 찍어줍니다
홍콩 택시는 봐도 봐도 귀엽다
AIA 관람차가 근처에 있었음
나중에 기회가 된다면 타보기로
근처에 산책 코스가 잘 되어 있어서인지
러닝 하는 사람들이 많이 보입니다
습한 날씨에 뛰어서인지 다들 땀 샤워를 하면서 뜀
페리는 따로 티켓 살 필요 없이 지하철 탑승처럼 카드 찍고 들어가면 됩니다
페리가 오기를 기다리는 중
페리를 타고 침사추이로 이동합니다
👰🏻‍♀️🌹🤵🏻‍♂️
페리에서 내리려는 찰나 반대편에서 웨딩 촬영 중인 커플을 목격
낭만 과다치
​
갑자기 분위기 건담
일본에 온 줄 알았다
.
.
.
​
버스를 타고 점심 예약해둔 식당 근처로 이동합니다
신호등 너무 제 눈앞에 있는 거 아니에요?
배우 신승호씨도 봤습니다
손 흔들어 주심
Yat Tung Heen - Eaton HK
香港逸東酒店B2樓層 Level B2, Eaton HK 九龍, 380 Nathan Rd, Jordan, 홍콩
미슐랭 딤섬 맛집입니다
여행 전에 미리 점심 식사를 예약하고 왔습니다
예약은 구글이나 공식 홈페이지에서 가능
예약 엄청 쉬우니까 다들 예약하고 오세요
개인적으로 이번 여행에서 먹었던 것 중 TOP3에 들어가는 곳입니다
침사추이 가시면 꼭 가보시는 걸 추천
자리에 앉자마자 차를 주십니다
우롱티, 자스민 등등 여러 차 종류가 있었는데
저는 자스민티를 주문했습니다
차가 너무 맛있어서 음식 나오기 전에 두세 잔 마셨습니다
호로록
기본 반찬과 소스도 주심
어제자 미슐랭 맛집이라는 완탕면 가게를 대실패했기 때문에 미슐랭 신뢰도가 바닥난 상태였음
하지만 그 신뢰도 여기가 다시 끌어올려 줬습니다
​
메뉴판을 보다가 메뉴가 진짜 너무 많아서 그냥 누군가의 블로그 글을 보고
그분이 주문한 메뉴 그대로 주문했는데 후회 없었음
오른쪽이 새우살 하가우인건 기억남 나머지는 메뉴 이름 기억 안남 이슈로 ㅈㅅ하다는 심심한 사과의 말씀
딤섬이 너무 귀여워요
이건 가라비&게살 딤섬
크리스피 창펀
얘가
SEXY FOOD
였음
​
401.5 홍콩 달러 내고 왔습니다
가격도 착함
잘 먹고 갑니긔
​
미도 카페
63 Temple St, Yau Ma Tei, 홍콩
레트로 카페로 유명한 미도 카페 왔습니다
여기도 차찬탱 메뉴들 판매함
타일이 너무 귀엽다
1인당 35달러 이상 주문해야 한다고 해서
밀크티 두 잔에 프렌치 토스트 하나 시켰습니다
아침에 이미 연유 크리스피 번을 먹고 왔던 터라
달달한 빵이 더 들어가지는 않아 두 조각 먹고 포기
.
.
.
Fully Tableware & Equipment Limited
홍콩 油麻地上海街303號號 地下
홍콩에 다시 온다면 또 들르고 싶은 가게
기념품으로 유명한 밀크티 찻잔을 착한 가격에 팔고 있음
선물용과 클래식 버전 두 개가 있음
유튜브에서 보고 너무 갖고 싶었던 찻잔 실물 봤습니다
색상 잠깐 고민하다가 바로 구매했어요
영상에서 봤을 때는 색상이 좀 많았는데 내가 갔을 때는 주황색 푸른색 두 가지 있었음
푸른색 찻잔과 밀크티 찻잔 샀습니다
(너무너무 만족함 🙆🏻‍♀️ 오래오래 장사해 주세요 또 갈게요)
찻잔을 저녁에 살 걸 그랬나
는 들고 다니느라 승모근 애지게 아팠음
걍 냅다 벽에 걸어서 말리는 빨래
찰리 ㅍㅅ 신곡 냈나
광고 포스터가 여기저기 붙어있었음
내한 콘서트 광탈한 뒤로 볼 때마다 ptsd 옵니다(ㅇㅈㄹ)
​
다시 또 다음 행선지로 향함
근처에 Hashtag B라는 에그타르트 맛집이 있어서 걸어갑니다
Hashtag B (Tsim Sha Tsui)
홍콩 Tsim Sha Tsui, Carnarvon Rd, 49號C舖厚福街交界
빵이 죄다 맛있어 보임
하지만 우린 에그타르트 사러 왔기 때문에 에그타르트 하나씩 샀어요
​
King of Coconut
홍콩 웡곡
코코넛 밀크 테이크아웃 하러 왔습니다
주문하면 즉석에서 바로 코코넛 짜내고 갈아서 만들어주심
현금 받는 곳이 많은 홍콩에서 신기하게도 여기는 현금을 받지 않고 카드 결제만 된다고 하십니다
코코넛맛 진하고 맛있음
연유 한 통 들이붓길래 달까 봐 걱정했는데
별로 안 달았음
🥥 🥥 🥥 🥥 🥥 🥥
​
​
糍到大王
1 Fa Yuen St, Mong Kok, 홍콩
찹쌀떡 좋아한다
망고 좋아한다
그럼 여기를 가라
망고모찌 맛집임
​
(っ˘ڡ˘ς) (っ˘ڡ˘ς) (っ˘ڡ˘ς)
공원에서 먹겠습니다
피 얇고 적당히 달고 망고 상태 훌륭함
초미녀미남완벽망고모찌로 임명함
​
Kadorar et Levain
54 Pitt St, Yau Ma Tei, 홍콩
웨이팅 빵 맛집
푸딩 빵이 궁금해서 갔으나 품절이라 푸딩 빵은 구매 못하고 대신 피스타치오 떡을 샀습니다
​
레이디스마켓
Tung Choi St, Mong Kok, 홍콩
레이디스 마켓 구경 왔습니다
기대 이하였던 곳
I♡HK 반팔 티 사러 오기는 괜찮은 듯합니다
기념품도 길거리 기념품 가게들보다 싼 편입니다
기대 이하였던 이유는
가게마다 판매하는 물건이 죄다 비슷합니다
그래서 딱히 구경하는 재미가 없었어요
붐따 코스 지정함
​
그래도 택시 장난감 여기서 45달러로 기념품 가게보다 싸게 구매했습니다
다들 온 김에 자동차 장난감 여기서 사세요
🚗 🚗 🚗
​
​
​
고날 카드가 지하철에서 사용이 잘 안돼서 역무원이 도와주는 동안 기다리는 중
그동안 지하철 타일 구경했습니다 👀
홍콩은 지하철 역마다 타일 색상이 달라서 구경하는 재미가 있음
OOTD 사진 찍었슴미도
야시장 구경하러 왔습니다
근데 레이디스 마켓이랑 똑같고 가격은 더 비쌈
루시.....
?
이건 무슨 세계관이지
내가 뭘 놓친 거냐
매닝스 구경 왔습니다
닝닝 너무 예뻐요
(대충 열라뽕따이라는 뜻)
​
가지마
완차이로 넘어가는데 개 웃긴 상황 발생
고날이 지하철 타자마자 문이 닫힘
강제로 고날과 떨어졌습니다
​
웃겨서 그냥 스크린도어에 비친 제 모습이나 찍었습니다
입뺀 당하면서 처음 든 생각은
'키킼 잼따'
였습니다
​
아 아직 화양연화 안 봤는데 얼른 봐야겠네요
​
저녁은 사천 음식을 먹기로 했습니다
한국에서 여행 계획 짤 때부터 눈여겨 봐둔 식당입니다
기대됩니다 들어가 보겠습니다
는 누가 오늘 여기 누가 빌렸다고 합니다
지하철에 이어 2차로 입뺀 당했어요
​
다행히 근처에 찾아둔 사천 음식점이 한 곳 더 있어서 그리로 가기로 했습니다
는 나오자마자 차지티 매장이 크게 있어서 들어왔어요
끼야악
차지티 궁금했는데 드디어 마셔봄
초미녀 원영픽이라 마셔줘야 함
너무 귀여운 키링도 파는데
고양이 키링 하나 살 걸 그랬음
글 쓰는 내내 사진 첨부할 때마다 '아 살 걸 그랬나' 반복 중임
저는 화전우롱티 주문했어요
당도랑 얼음 조절 가능합니다
당도 제일 낮게 해달라고 했어요
당도 제일 낮게 해도 은은하게 달아서 맛있음
의자 옆에 계속 진동하며 소용돌이치는 물통이 있는데
이거 대체 뭔 용도지
들고 다시 식당으로 향합니다
​
Qi - House of Sichuan
Shop 12, 2/F, J Senses, 60 Johnston Rd, Wan Chai, 홍콩
여기 맛집입니다 다들 완차이 들르면 꼭 가보시길
앉자마자 기본 반찬부터 줍니다
그린빈 소고기 볶음과 마파 두부 그리고 공깃밥 2그릇 시켰습니다
마파 두부 마라향 진하지도 않고 한국인이 먹기에 딱 적당했음
그린빈 소고기 볶음 이게 진짜 맛있음
완차이 길거리에 몰리 동상이 있음
너무 귀여워
ㄱㅇㅇ
숙소 가는 버스 타려고 기다렸는데 알고 보니 작은 마을버스라 못 탐
결국 지하철 타고 내려서 걸어갔는데
이상한 길로 들어서 말도 안 되는 높이의 언덕을 올라감
결국 쉬운 길 놔두고 이상한 길을 택한 우리는 개고생해서 호텔에 도착
​
하루에 2만 보씩 걷는 여행 이거 맞나요 (+ 찻잔이 내 승모근 앗아감)
는 Day3에 이어서...
​",https://blog.naver.com/comomucho/224266065617,Sooozip,20260426,2026-04-27 15:01:43
