keyword,title,description,content,link,bloggername,postdate,crawled_at
세븐일레븐 헤네시,대구 수성구 혼술하기 좋은 맛있는 칵테일 바 &quot;앙르퓌쥬&quot; 후기,오르다 세븐일레븐이 보이는 곳에서 좌회전 후 한블럭 더 가시면 2층에 위치해있습니다! ️ 주차장은... 코넥션 헤네시입니다] 화장실에 휴지도 비치되어있고 청결도는 깨끗함을 100으로 쳤을 때 70%는 되는 것... ,"#협찬
#주류제공
​
안녕하세요
오늘은
수성구 한 곳에 조용히 위치한 칵테일 바 후기
를 가져왔어요
대화상대가 필요하시다면, 여길 찾으셔도 좋습니다
왜냐고요?
사장님께서 손님 많이 없으실때는 이야기도 잘 들어주시고
사장님께선 특히나 인테리어나 음악에도 관심이 많으시니, 이쪽으로 관심이 있으신 분들도 방문해서 사장님과 상담차 진지토크를 나눠봐도 좋을듯
합니다 🎶
입구는 이렇게 생겼답니다!
하마터면 못보고 지나칠 뻔 했어요 ㅋㅋㅋㅋ
계단을 올라가면 바로 있습
니다
저같은 경우에는
제가 갔을 때 손님이 딱 한 분 계셨거든
요?
그래서 그런지
제가 처음 문 앞에 섰을 때 사장님께서 먼저 마중나와주셨고
특히 이야기를 엄청 잘 받아주셨습
니다!
​
여기는
단골손님들도 꽤 많으시고 저도 만약 저희집이 수성구였다면 칵테일바를 좋아하는 저로써 꽤 자주갔을 것 같아요
📞 전화번호 | 010-5591-1034
🐾 위치 | 대구 수성구 범안로3길 77 2층
**대구 3호선 범물역 2번출구로 나와서 바로 나오는 첫번째 골목으로 들어와 오르막으로 오르다 세븐일레븐이 보이는 곳에서 좌회전 후 한블럭 더 가시면 2층에 위치해있습니다!
🅿️ 주차장은 근처 건널목 혹은 공용주차장 찾으셔야 됩니다.
근데 술드시러 오시는거니... 차 안가지고 오시는 걸 추천드립니다
**으른들만 출입 가능. 미자분들께선 부모님 따라와서 얌전히 파스타랑 와플만 시켜드시는건 괜찮은데, 술을 드시고 싶다면 20살 되서 오시길 바랍니다.
​
⏳️ 영업시간 | 매일 오후 6시~익일 오전 1시
**익일 오전 12시 30분 라스트오더
💸 가격 | 체리블라썸+아쿠아마린 [각 1.2]
**총 24000원 칵테일 메뉴 제공받음
+ 단골손님분께서 2만원 상당의 술을 제게 사주시며 계산해주고 가셨습니다 [도수가 쎈 술이고 메뉴명은 프렌치 코넥션 헤네시입니다]
화장실에 휴지도 비치되어있고
청결도는 깨끗함을 100으로 쳤을 때 70%
는 되는 것 같아요!
인테리어를 보면 사장님의 취향
이 엄청 묻어나있어요
약간
제가 좋아하는 기발한 장난감 같은 걸 사장님께서도 좋아하시는 느낌?
추우신 분들을 위해 가게 끝쪽 테이블 한 곳에 담요도 구비
해두셨습니다
여기
우드스피커와 스크린
이 있어요
음질이 제 생각보다 꽤 좋더라
구요?
사장님 얼굴도 동안
인데,
예술적 감각도 짱
임
아마
이런 분들이 성공을 하시는걸거예요
👍
​
메뉴판은 사진, 동영상 참고
하시면 됩니다
​
본인이 술 얼만큼 먹는지, 어떤 맛과 향을 좋아하는지 말씀드리면 추천도 해주십니다!
오픈키친 일단 마음에 들고요
칵테일바 인테리어 모두
made in 사장님
로봇을 진짜 컬렉션별로 모으셔요
***제가 로봇 하나 만져보고싶다해도 귀한거라 안된다고 하심 ㅋㅋㅋ
술도 종류별로
있고
로봇도 종류별로
있고
술잔도 종류별로
있습니다
가게 입구에 세면대와 비누
도 있습니다
손 씻을때 밖에 안나가도 되어 편하고 과자 먹다가 중간중간 손씻을 수 있어서 좋더라
구요?
온습도도 꾸준히 체크
하고
가게 컨디션도 섬세하게 관리하시는 듯
해보였어요
기본 안주로 나오는 과자 3인방은 언제든지 무한리필이 가능
하다고 하셨습니다!
​
저는 닭다리과자만 3번은 리필
해서 먹은 것 같아요
닭다리 말고 나머지 두 개는 할머니댁에서 많이 본 과자로, 제 기준 살짝 달달한 맛 외에 아무 맛도 안났습니다
​
사진에 보이는 과자들 흔히들 아실테니, 맛 평가는 넘어갈게요
설렌다 ❤️
저는 가자마자
사장님께서 제 의견을 반영해 추천해주신 체리블라썸을 먹었어
요
이게
보기엔 이쁘고 영롱해도 보기보다 쎄다고 하셨
습니다 ㅋㅋ
제가 기억나는 들은 이유로는 40도짜리 꼬냑을 사용해서...
그래서 천천히 마셨지만 그래도 취했
죠 ㅋㅋㅋㅋ
🍒 입에 머금고 있으면 체리젤리맛이나는데 고체가 아니라 액체로 변한 느낌이예요!
술맛이 반정도, 과일젤리 특유의 달달하고 신맛이 반정도
1:1 비율로 적절했어요
입에 머금고 있을때는 그냥 좀 달고 신 술 맛인데 삼키면서 체리맛과 향이 확 퍼지는 신기한 맛이었습니다
​
쉽게 설명하면 체리 물풍선이 터지기 전에 딱 준비하고 있다가 목 뒤로 삼키는 순간 탁 터지며 약한 체리맛에서 강한 체리맛으로 바뀌는 느낌이고 체리향을 입안 전체에 퍼트리는 감이 들어요
그리고
사장님께서 진짜 확실히 전문가
이긴 한게,
먹은 술중에 체리블라썸이 제일 맛있었
습니다 🍷
오늘 사진, 영상들도 다 제 작품이니
많은 관심 부탁드립니다 🫶
​
**제가 먹은 술은 아닌데
사진은 제일 잘 찍힌 것 같아요 ㅋㅋㅋㄱㄱㅋㅋ
어떤 단골손님께서 찍어도 된다고 하셔서 찍어봤습니다!
**맛은 안먹어봤기에 식별불가. but 외관상으론 엄청 영롱하고 시원한 듯하면서도 온화해보임.
​
​
처음 들어왔을때는 메뉴판에,
지금은 칵테일을 향해 바라보고있는 이 무드등은
사장님의 세팅이었답니다
​
사실 무드등 밑에 칵테일은 제가 메뉴판이랑 바꿔치기한겁니다 ㅋㅋ
가게 입구에 딱 들어오면 전신거울 옆에 옷걸이랑 책도 있습니다
혼자 책 읽으면서 술드셔도되고
외투는 걸어두셔도 됩니다
​
저는 술먹다가 추워서 겉옷을 중간에 다시 입었습니다만…
아쿠아마린, 체리 블라썸 이 두가지 칵테일이 메뉴판에 있는 거
찍어봤습니다
아쿠아마린 라인에 있는 술들은 전부 순한 라인이라고 하셨습니다 😁
🍑그리고 두번째로 시킨 술 아쿠아마린은
소다맛 쮸쮸바를 녹인 맛에 복숭아 맛 술을 첨가한 느낌이 들었어요!
쉽게 설명해 음… 술맛은 체리블라썸보다 상대적으로 덜했죠
얘도 복숭아맛은 삼키면서 탁 터지는 느낌으로 났어요!
​
기분탓인진 모르겠는데 삼키기 전까진 자일리톨 맛이 났어요 ㅋㅋㅋ
입가심으로 먹기 좋은 술
이었습니다!
​
그리고 체리블라썸보다 상대적으로 도수랑 맛 모두 순해요
체리블라썸을 덜먹고 같이 번갈아 먹으며 맛비교를 해봤는데,
맛은 체리블라썸이 압도적 승리!
식물도 키워서 내부 공기도 좋을겁니다 아마도?
에게게 얘 나보다 도넛 못만든닼ㅋㅋㅋㅋㄱㅋㅋ😆
제가 술취해서 진상짓은 안했지만 크흠...
고양이처럼 여기저기 관찰하며 장난감 같은 인테리어들 신기하다며 건들고 다녔거든요?
근데 좀 재밌긴 했어요
가게 내부를 구석구석 찍어봤습니다!
🍂
그리고 세번째 술은 어떤 다른 단골손님분께서 사주신건데
메뉴 이름은 ""프렌치 코넥션 헤네시""입니다
​
도수가 쎈 술이라 티스푼으로 먹어야되는데 냄새 맡자마자 알코올향이 확 올라와서 동그란 얼음 녹을때까지 기다렸다가 마셨어요 ㅋㅋㅋㅋㅋㅋ
제가 먹은 것 중에는 제일 비싸긴 한데, 도수가 겁나 높아서 다 마시지도 못하고 나왔어요 ㅋㅋㅋㅋ
마실라는거 사장님께서 술잔 뺐으면서 저 취했다고 집가라고 말리심
강한 알코올 향과함께 말린나무맛이 자연스럽게 어우러지며 올라왔어요
약간 시가 필때의 말린잎 느낌을 액체에 담은 느낌이랄까요
아니 별실히 술먹고나니까 진짜 기분이 좋은거예요 ㅋㅋㅋ
최근에 이렇게 기분 좋은 적이 없었거든요?
​
취할때까지 마셔서 그런가⁉️
외계인이 된 sj 라고 취기상태에서 그렇게 생각했습니다 ㅋㅋ
인테리어도 인테리어와 목공예에 관심이 많은 사장님께서 직접 하신거라고 하십니다
직접 하신거면 센스 진짜 짱좋은데요?
술김에 우와 화석이다 이러면서
저걸 보자마자 제가 동물의 숲 인간 캐릭터가 된 것 같았달까요 ㅋㅋㅋ
그리고
여기 진짜 좋은게
보통 칵테일바 사장님들 손님이 취하길 바라거든요?
근데 여기는 손님이 취했다 싶으면 오히려 제지시켜주고 집으로 보내주셔요
제가 술 더 시키려고했는데 ㅋㅋㅋㅋ 오히려 사장님께서 막으셨어요ㅋㅋㅋ
절제 못하시는 분들이 들리기에도 딱일 것 같다는 생각이 들었어
요!!
​
그리고 손님 많이 없을때는 사장님과 진지토크도 가능
하답니다
​
​
이런 분들께 추천드립니다
🍸 혼자 생각정리하면서 술을 마시고 싶으신 분
🍸 프라이빗한 아담한 공간에서 나만의 분위기를 만들어서 술과 식사를 즐기고 싶으신 분
🍸 맛있는, 다양한 칵테일을 찾아다니시는 분
🍸 칵테일을 포함해 술을 좋아하시는 분
🍸 술마시며 대화상대가 필요하신 분
🍸 술은 마시고 싶은데 자기조절을 못하시는 분
​
​
오늘도 읽어주셔서 감사합니다 🫶
​
앙르퓌쥬
대구광역시 수성구 범안로3길 77 2층
​
​
#대구술집
#
대구칵테일바
#수성구뮤직바
#수성구칵테일바
#수성구술집
#대구칵테일
#대구칵테일바추천
#대구술집
#대구술집추천
#대구술집맛집
#칵테일종류
#칵테일바
#칵테일
#칵테일추천
#후르츠칵테일
#대구맛집
#대구
#대구놀거리
#대구수성구맛집
#대구수성구
#수성구맛집
#대구수성구술집
#수성구
#서로이웃
#서이추
#서이추환영
#블로그서이추
#서이추하는법
#블로그서로이웃
#블로그서로이웃확인
#서이추하는법
#블로그서이추늘리기
#서이추늘리는방법
#블로그이웃늘리기
#서로이웃
#네이버블로그
#블로그체험단
#블로그맛집작성방법
#블로그협찬
#서로이웃추가
#서로이웃신청
#맛집블로그
#맛집블로거
#맛집블로그협찬
#맛집블로그시작
#맛도리
#맛집블로그쓰는법
#술집바
#술집바추천
#뮤직바
​
​",https://blog.naver.com/sjin5954/224260479123,미식가 꿈나무 I가 올림ʕ •̀ ω •́ ʔ,20260422,2026-04-27 15:06:27
세븐일레븐 헤네시,"[도쿄여행] Episode 3. 긴자 미슐렝 1스타 맛집, 오리온즈... ",이때부터 쌓인 나의 불만게이지 근데 빅카메라 가서 헤네시 X.O랑 카발란 FINO사서 좀 풀림:) 우리가 가기... 저 세븐일레븐인가에서 파는 어묵탕 아주 좋았음  도쿄여행 넘 내서탈이야 !!!!! 일케 둘쨋날 저녁도 끝,"HILLING TRIP IN TOKYO
​
EP 3. 둘째 날, 긴자 먹부림
​
​
​
​
Sushi Kaiseki Shiorian Yamashiro in Ginza · Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 7 Chome−10−8 第五太陽ビル 103
★★★★☆ · Sushi restaurant
maps.app.goo.gl
​
​
그리고 드디어 오마카세!!
타베로그로 미리 예약하고 갔는데
예약 방문만 가능한
미슐렝 원스타 맛집이었다
​
​
​
긴자 시오리안 야마시로 - 긴자/일본 요리/예약가능 | Tabelog
일식과 스시의 융합 ≪3년 연속 미슐랭 수상≫ 진화하고 업그레이드된 새로운 무대에서 더 높은 경지로 긴자에 위치한 ""시오리안 야마시로""는 제철 재료를 사용한 일본의 미식을 즐길 수 있는 숨겨진 고급 레스토랑입니다.이전 매장에서 미슐랭 별을 획득한 경험을 바탕으로, 새로운 분위기 속에서 더욱 세련된 서비스와 일본 요리와 스시가 완벽하게 조화를 이룬 요리로 여러분을 맞이합니다. 일류 장인이 만든 계절감을 가득 담은 일품 요리는 재료의 맛을 최대한 끌어내어 지 금까지 경험하지 못한 맛을 선사합니다. 일본의 전통미와 제철의 사치를 마음껏 ...
tabelog.com
​
​
​
​
기대를 잔뜩 하고 갔는데
진쨔 맛도리였다ㅠㅠ
​
​
​
​
​
​
​
​
​
일단 매장도 너무 예쁘고
딱 일본 초밥집 같은 느낌에
​
​
​
​
​
​
​
내부 인테리어도
매우 정갈하고 좋았다
​
​
​
​
​
​
​
오마카세를 많이 가보진 않았지만
서울에서 웬만큼 값주고 먹는
오마카세보다 퀄리티가 훨
좋았던 느낌...
​
​
​
​
​
​
​
​
​
주류 주문이 필수라
준마이 한잔이랑 고구마소주
한잔 일케 시켰다
​
​
​
찾아보니 히타카미 준마이 초카라쿠치
라는 드라이한 사케였다
​
​
​
​
​
​
​
​
고구마 소주는
미끄덩 달달한 맛이
나름 개성있었는데
두번 먹진 않아도 될꺼같다:)
​
​
​
​
​
​
주류 메뉴판
참고하세요:)
​
​
​
​
​
​
​
런치코스의 시작은
요 나물 무침으로
감칠맛이 미쳤다
​
​
​
​
​
​
​
​
먹는동안 계속
다음 코스 준비해주신다
​
​
​
​
우리가 방문한 시간대엔
우리밖에 없어서
프라이빗한 대접을 받을 수 있었다
​
​
​
​
​
​
​
​
다음으론 곤약면(?) 느낌의
다시우린육수에 나온 국수
​
​
​
​
​
​
다시물을 어떻게 우리셨는지
진~~짜 깔끔했다
​
​
​
​
​
​
다음엔 무슨
찜이 나오나...?
​
​
​
​
​
​
​
계속 준비되는
메뉴들
​
​
​
​
​
​
​
​
참치였나
요 첫 메뉴는 쫌
짰는데
이다음부터가 진짜였다
​
​
​
​
​
​
​
​
일본어라
못알아들었는데
그냥 개맛도리
감칠맛오지고 식감 지림
(이정도 표현밖에 못하는 내가
한심스러움)
​
​
​
​
​
​
​
​
한치인거 같은데
진짜 달달구리
숙성을 엄청잘시킴...
​
​
​
​
​
​
​
​
​
몰라그냥
살살녹음
​
​
​
​
​
​
​
​
​
고등어는 그냥 그랬지만
맛있었음
​
​
​
​
​
​
이게 뭔지 모르겠는데
진짜 맛있었음
위에 우니랑
새우였나 뭐시기...
​
​
​
​
​
​
참치 어드매
역시존맛
​
​
​
​
​
연어알 군함은
처음먹어보는거 같은데
진짜 오도독
맛있었음....
​
​
​
​
​
​
​
된장국한번 나와주고
​
​
​
​
​
​
​
​
개ㅐㅐㅐㅐㅐ 맛도리
뭐또하나 나옴
​
​
​
​
​
​
​
​
막판에 간 쎈거 하나
나와주고 마무리
​
​
​
황홀한 식사였다...
​
​
​
​
다시 일본 간다하면
또 갈 것같은
맛집이었다
​
​
​
​
​
​
​
​
본격적인 긴자쇼핑
​
​
​
​
​
​
​
으리으리한 세이코 건물
​
​
​
​
​
​
​
​
아디다스에
스탠스미스 널려있길래
크림 뒤져봤더니
여자꺼는 프리미엄이
엄청 붙어있더라
​
​
바로 커플로 겟..
​
​
​
흠 지금은 또
많이떨어져있긴하군..
근데 엄청 여기저기
잘 신고다녔다
​
​
​
​
​
Ginza Orions · Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 7 Chome−3−13 ニューギンザビル 10階
★★★★★ · Bar
maps.app.goo.gl
​
그리고 요기 인스타에서
유명한 푸딩을 먹으러갔따
​
​
​
​
​
하하핳
먹긴했는데
​
​
여기 인당 음료 2잔 주문이
필수였다
근데 푸딩은 음료에 포함이 안됨...
​
​
​
​
​
​
​
​
분위기는 좋았다
​
​
​
​
​
​
​
​
생각했던거 보다
공간도 넓고
그냥 쉬러 가기엔 괜찮았지만
시간이 부족했던 우리에겐
굳이 싶었던 코스...
​
​
​
​
​
아메리카노 두잔이랑
푸딩이거 하나해서
거진 5만원 돈 여기서 썼는데
​
​
​
...
​
​
​
사실 맛대가리 없었다
​
​
​
​
​
​
이런 퍼포먼스를 보여주긴하는데
이게뭔가 싶음ㅋㅋㅋㅋㅋ
​
​
​
불붙여주는건
더비쌈
​
​
​
​
​
Yakiniku Futago Ginza （bbq japanese） · Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 7 Chome−3−13 ニューギンザビル ２Ｆ
★★★★★ · Yakiniku restaurant
maps.app.goo.gl
​
야끼니쿠나 먹으러가자
하고 간 호르몬 야끼니쿠 긴자점
​
​
​
가성비로 먹기 좋다고해서 갔는데
또 많이시키니까 많이 나오긴함
ㅋㅋㅋㅋ
​
​
​
​
​
​
​
​
요런 느낌의 공간
​
​
​
​
​
​
​
그 푸딩집 건물에 있음
한국사람들도 많이 왔다가는 것 같음
​
​
​
​
​
​
​
우설..ㄷㄷㄷ
먹어보고싶대서
시켰는데
난 쫌 그래서 못먹음
맛있따고했음
​
​
​
​
​
​
​
생맥 빠질쏘냐
두잔시켜먹었나
그래서 많이나왔나
​
​
​
​
​
​
양념 소갈비
맛있는데
간이쎘나 그랬던듯
점심을 너무 맛있게먹어서
감흥없음
​
​
​
​
​
​
얘도 뭔 양념 어쩌구였는데
요 양념된게 가성비였는데
양념맛이 강해서
그냥그랬고
​
​
​
​
​
​
​
요 애들이
진짜 맛있었음
​
​
​
다시 간다면 얘네들만
시켜서 먹었을꺼같음
​
​
​
일본 고기는
마블링이 엄청엄청 많아서
입에서 사르르 녹는 맛으로
먹어야하는거였음
​
​
여튼 새로운
맛도리 발견 굿
​
​
​
​
​
​
​
​
그리고 대관람차 탈라구
도쿄돔까지 넘어갔는데
딱 7시 탑승 마감시간 맞춰서갔는데
현금 없으면 티켓 못끊는다해서
결국 못탐...
너무너무너무 아쉬움...
흐그극....
​
​
​
이때부터 쌓인
나의 불만게이지
​
​
​
​
​
​
​
​
근데 빅카메라 가서
헤네시 X.O랑 카발란 FINO사서
좀 풀림:)
​
​
​
우리가 가기 일주일 전부터
빅카메라에 피노 재고가 없다해서
사람들이 많이 안갈꺼같은
빅카메라 골라서 갔는데
​
​
​
역시나 피노는 없었음...
그래서 다른거 뭐살까
거의 한 30분
이거저거 보고있었는데
갑자기 점원이 살포시 다가오시더니
나한테 피노 여기 하나
찾았다고 알려주심 ㅠㅠㅠㅠ
​
​
​
​
뭔가 유난히 일본에서
피노만 저렴해서 사람들이
사재기 많이 하는데 그래서
숨겨놓은거 같기도 하고
​
​
​
​
여튼 그렇게 피노와 헤네시를
득템하였다!!!
​
​
​
이거 살때가 저녁 9시쯤이었나
그랬는데 나는
이제 롯폰기 힐즈 일루미네이션도
보고싶었고 몬자야끼도 먹고싶었음
​
​
​
숙소에 짐 두고 나와서
빨리이동하면
다 가능하겠지 싶었는데
11시에 소등하는 롯폰기 힐즈와
10시 라스트오더인 몬자야끼집을
동시에 가기는 무리였음...
​
​
​
​
​
​
그래서 나를 붙들고
남편님께서 달리기 시작하심
​
​
​
일단 일루미네이션은
어케어케 봄
진짜 조녜
​
​
​
또 딱 저 스팟에서
보고싶다고해서
막 겁내 달려감
​
​
​
​
​
​
​
​
​
​
​
내려와서 사진도 다찍고
​
​
​
​
​
​
​
​
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
지쳐서 초점잃은 눈
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이제봄
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
고생했어 내남편...
고마워 사랑해
💕
​
​
​
​
4RO 六本木もんじゃ · Japan, 〒106-0032 Tokyo, Minato City, Roppongi, 7 Chome−18−7 内海ビル 1階
★★★★☆ · Monjayaki restaurant
maps.app.goo.gl
​
​
​
​
요기까지 또
달려갔는데
라스트오더는 이미 끝났다고함 ㅠㅠ
바닥에 앉아서 먹는
꽤 괜찮은 몬자야끼집이었는데
​
​
​
이때 못먹은 몬자야끼는
to be continued...
​
​
​
​
​
​
​
​
​
​
결국 또 편의점 털이
푸딩에 한 맺혀서
편의점 푸딩 사먹어봤는데
편의점 푸딩이 더 맛있음...
​
​
​
​
저 세븐일레븐인가에서 파는
어묵탕 아주 좋았음
👍🏻
​
​
​
도쿄여행 넘 내서탈이야
!!!!!
​
​
​
일케 둘쨋날 저녁도 끝",https://blog.naver.com/ruhastoday/224252991691,하릴의 오늘,20260415,2026-04-27 15:06:29
