TOP_LABEL,ITEM_LRDV_NM,ITEM_MDDV_NM
0,H&B,면도용품
0,H&B,샴푸/린스
0,H&B,선물세트
0,H&B,여행용상품
0,H&B,치약
0,H&B,칫솔
0,H&B,칫솔치약세트
0,H&B,화장비누/바디클렌저
1,가공식품,가공미반류
1,가공식품,기타
1,가공식품,상온간편식
1,가공식품,선물세트
1,가공식품,캔
2,가정용품,방향제
2,가정용품,살충제
2,가정용품,선물세트
2,가정용품,세제류
2,가정용품,욕실용품
2,가정용품,주방용품
2,가정용품,청소/작업용품
2,가정용품,행락용품
3,간식,냉장간식
3,간식,냉장피자
3,간식,샐러드(삭제예정)
3,간식,조리면
4,건강/기호식품,건강/이너뷰티
4,건강/기호식품,선물세트
4,건강/기호식품,숙취해소제
4,건강/기호식품,원컵
4,건강/기호식품,쨈/꿀
4,건강/기호식품,차
4,건강/기호식품,커피
5,공병공박스,공병공박스
5,공병공박스,공상자
5,공병공박스,음료공병
5,공병공박스,주류공병
6,과자,껌
6,과자,비스킷류
6,과자,스낵류
6,과자,젤리류
6,과자,초콜릿
6,과자,캔디류
6,과자,프로틴/시리얼
7,기타,기타
7,기타,봉투보증금
7,기타,판촉물
8,냉동,냉동간편식
8,냉동,냉동디저트
8,냉동,냉동만두
8,냉동,신선냉동
8,냉동,조리냉동
9,냉장,(구)과일야채
9,냉장,냉장간식
9,냉장,냉장간편식
9,냉장,냉장안주
10,담배,국산담배
10,담배,외산담배
10,담배,전자담배
10,담배,전자담배용 주변기기
11,디저트,가공과일
11,디저트,냉동디저트
11,디저트,냉장베이커리
11,디저트,떡
11,디저트,시즌케익
11,디저트,젤리
12,맥주,국산맥주
12,맥주,무알콜맥주
12,맥주,생맥주
12,맥주,선물세트
12,맥주,수입맥주
13,면,봉지면
13,면,용기면
14,문구/완구,기타문구
14,문구/완구,기타완구
14,문구/완구,노트/봉투
14,문구/완구,사무용품
14,문구/완구,선물세트
14,문구/완구,일반문구
14,문구/완구,일반완구
14,문구/완구,직배완구
14,문구/완구,학용품_삭제
15,미디어 상품,경마지
15,미디어 상품,균일가_삭제
15,미디어 상품,단행본
15,미디어 상품,선물세트
15,미디어 상품,신문
15,미디어 상품,음반
15,미디어 상품,잡지
15,미디어 상품,특수점서적
15,미디어 상품,핸디북
16,미반,김밥
16,미반,도시락
16,미반,삼각김밥
16,미반,샐러드
16,미반,초밥류
16,미반,푸드 간편식
17,미용/화장품,남성화장품
17,미용/화장품,미용소품
17,미용/화장품,선물세트
17,미용/화장품,여성화장품
17,미용/화장품,헤어스타일링
18,빵,간식빵
18,빵,구움과자
18,빵,식빵
18,빵,전자렌지용찐빵
18,빵,프리미엄
18,빵,호빵
19,서비스 상품,기타
19,서비스 상품,선물세트
19,서비스 상품,쓰레기봉투
19,서비스 상품,예수금
19,서비스 상품,유가증권
19,서비스 상품,일반서비스
19,서비스 상품,지로수납
19,서비스 상품,택배SERVICE
20,소모품,POSA기프트카드
20,소모품,가구/비품
20,소모품,고지물
20,소모품,뉴포맷점포 소모품
20,소모품,소모용포장지
20,소모품,오뎅비정기판매용소모품
20,소모품,오뎅정기판매용소모품
20,소모품,유니폼
20,소모품,유지보수품
20,소모품,일반소모품
20,소모품,일코노미
20,소모품,판매용소모품
21,신문,경마지_삭제
21,신문,일간신문_삭제
21,신문,주간신문_삭제
22,신선,과일
22,신선,수축산/계란
22,신선,쌀/잡곡
22,신선,야채
23,아이스크림,고급
23,아이스크림,노벨티
23,아이스크림,홈타입
24,안주,기타
24,안주,너트류
24,안주,농산안주
24,안주,생선류
24,안주,스낵안주
24,안주,오징어
24,안주,육포
25,약품/의료품,병원용품
25,약품/의료품,선물세트
25,약품/의료품,안전상비의약품
25,약품/의료품,의료기기
25,약품/의료품,의약외품
26,양주와인,리쿼
26,양주와인,선물세트
26,양주와인,양주
26,양주와인,와인
26,양주와인,하이볼
27,완구_삭제예정,계절완구
27,완구_삭제예정,아동완구
27,완구_삭제예정,특수점완구
27,완구_삭제예정,폭죽/파티
28,위생용품,기저귀
28,위생용품,생리대
28,위생용품,선물세트
28,위생용품,티슈
29,유음료,가공우유
29,유음료,기능성우유
29,유음료,냉장주스
29,유음료,두유
29,유음료,요구르트
29,유음료,유제품
29,유음료,컵커피
29,유음료,프로틴 음료
29,유음료,흰우유
30,음료,기능성드링크
30,음료,생수
30,음료,선물세트
30,음료,스포츠음료
30,음료,전통음료
30,음료,주스
30,음료,차음료
30,음료,커피음료
30,음료,탄산음료
31,일용잡화,건전지
31,일용잡화,담배관련용품
31,일용잡화,반려동물용품
31,일용잡화,선물세트
31,일용잡화,우산
31,일용잡화,자동차용품
31,일용잡화,전기용품
31,일용잡화,제주직배
31,일용잡화,취미용품
31,일용잡화,휴대폰/주변기기
32,전통주,기타전통주
32,전통주,막걸리
32,전통주,선물세트
32,전통주,소주
33,조리빵,샌드위치
33,조리빵,샐러드모닝랩
33,조리빵,햄버거
34,조미료/건물,건해산물
34,조미료/건물,분말가루
34,조미료/건물,선물세트
34,조미료/건물,소스류
34,조미료/건물,식용유지
34,조미료/건물,장류
34,조미료/건물,조미료
34,조미료/건물,팝콘
35,즉석 식품,즉석간식
35,즉석 식품,즉석조리
35,즉석 식품,즉석치킨
35,즉석 식품,즉석치킨(삭제예정)
36,즉석음료,기타음료_삭제예정
36,즉석음료,세븐카페
36,즉석음료,얼음
36,즉석음료,컨셉카페
36,즉석음료,파우치
37,커피/차,선물세트
38,패션잡화,선물세트
38,패션잡화,스타킹
38,패션잡화,시즌/소품
38,패션잡화,양말
38,패션잡화,팬티/내의
