순위,키워드,검색량증감(%),뉴스기사수,판정,수집일
1,촉촉한황치즈칩,+0.0,43,언론 주목,2026-04-09
2,두바이찰떡파이,+0.0,44,언론 주목,2026-04-09
3,두쫀쿠,+0.0,1129,언론 주목,2026-04-09
5,이클립스,+0.0,146,언론 주목,2026-04-09
6,찹쌀누룽지과자,+0.0,19,언론 주목,2026-04-09
7,다크초콜릿,+0.0,2983,언론 주목,2026-04-09
8,소이조이,+0.0,91,언론 주목,2026-04-09
9,임박,+0.0,6191,언론 주목,2026-04-09
10,봄날엔,+0.0,1745,언론 주목,2026-04-09
11,초콜릿,+0.0,31100,언론 주목,2026-04-09
12,자일리톨스톤,+0.0,9,언론 주목,2026-04-09
13,곤약젤리,+0.0,656,언론 주목,2026-04-09
14,단백질바,+0.0,4763,언론 주목,2026-04-09
15,고구마말랭이,+0.0,352,언론 주목,2026-04-09
16,페레로로쉐,+0.0,1905,언론 주목,2026-04-09
17,두바이쫀득쿠키,+0.0,1194,언론 주목,2026-04-09
18,사탕,+0.0,6277,언론 주목,2026-04-09
19,누룽지팝,+0.0,118,언론 주목,2026-04-09
21,두바이초콜릿,+0.0,2467,언론 주목,2026-04-09
22,뻥튀기,+0.0,692,언론 주목,2026-04-09
23,에너지바,+0.0,7582,언론 주목,2026-04-09
24,코피코커피사탕,+0.0,3,언론 주목,2026-04-09
26,답례품,+0.0,511,언론 주목,2026-04-09
27,초코바게트,+0.0,207,언론 주목,2026-04-09
28,찹쌀누룽지,+0.0,228,언론 주목,2026-04-09
29,약과,+0.0,3694,언론 주목,2026-04-09
31,오란다,+0.0,243,언론 주목,2026-04-09
32,두부과자,+0.0,1101,언론 주목,2026-04-09
33,화과자,+0.0,204,언론 주목,2026-04-09
34,통밀빵,+0.0,679,언론 주목,2026-04-09
35,쌀과자,+0.0,1398,언론 주목,2026-04-09
36,꽃보다오징어,+0.0,25,언론 주목,2026-04-09
37,마시멜로우,+0.0,587,언론 주목,2026-04-09
38,초코파이,+0.0,4946,언론 주목,2026-04-09
40,하겐다즈,+0.0,2360,언론 주목,2026-04-09
41,코피코,+0.0,15,언론 주목,2026-04-09
42,그래놀라,+0.0,2454,언론 주목,2026-04-09
43,땅콩빵,+0.0,73,언론 주목,2026-04-09
44,젤리,+0.0,15452,언론 주목,2026-04-09
45,소이조이단백질바,+0.0,24,언론 주목,2026-04-09
47,프링글스,+0.0,1083,언론 주목,2026-04-09
48,마카롱,+0.0,4432,언론 주목,2026-04-09
49,도라지정과,+0.0,18,언론 주목,2026-04-09
50,코피코사탕,+0.0,5,언론 주목,2026-04-09
4,샤오커오라사탕,+0.0,0,제외,2026-04-09
20,이클립스포도,+0.0,2,제외,2026-04-09
25,샤오커오라,+0.0,0,제외,2026-04-09
30,블랙트러플하몽크래커,+0.0,0,제외,2026-04-09
39,퐁신당,+0.0,1,제외,2026-04-09
46,트러플하몽크래커,+0.0,1,제외,2026-04-09
