date,가공식품,간식,건강/기호식품,과자,냉동,냉장,디저트,맥주,면,미반,빵,신선,아이스크림,안주,양주와인,유음료,음료,전통주,조리빵,조미료/건물,즉석 식품,즉석음료
2025-01-01,2433.0,353.0,5541.0,30135.0,456.0,5865.0,1219.0,11579.0,11541.0,9418.0,3546.0,1178.0,5362.0,1578.0,2742.0,21111.0,49114.0,8683.0,2249.0,482.0,3210.0,4090.0
2025-01-02,3197.0,449.0,4605.0,37738.0,323.0,9079.0,1384.0,9218.0,14824.0,17545.0,5516.0,1487.0,3983.0,1490.0,1571.0,28389.0,54450.0,6870.0,3925.0,431.0,3367.0,4218.0
2025-01-03,2352.0,490.0,6381.0,42047.0,360.0,9399.0,2199.0,12653.0,16214.0,17719.0,5988.0,1463.0,4188.0,1814.0,2041.0,28932.0,58464.0,8448.0,4040.0,199.0,3817.0,4331.0
2025-01-04,2573.0,418.0,6534.0,39432.0,284.0,7012.0,3496.0,12858.0,14052.0,12641.0,4363.0,1216.0,5651.0,1839.0,2311.0,24764.0,58300.0,8978.0,2794.0,462.0,3343.0,4406.0
2025-01-05,2512.0,422.0,4001.0,31663.0,293.0,6328.0,1790.0,10836.0,12866.0,10448.0,3939.0,1106.0,4430.0,1489.0,1901.0,20700.0,45139.0,7682.0,2550.0,429.0,2444.0,3438.0
2025-01-06,3069.0,428.0,3629.0,38267.0,295.0,9238.0,1535.0,9369.0,15183.0,17305.0,5883.0,1259.0,3545.0,1536.0,1688.0,28149.0,51339.0,6783.0,4097.0,427.0,3247.0,3870.0
2025-01-07,3228.0,453.0,4015.0,39955.0,353.0,9620.0,1528.0,9507.0,15450.0,17999.0,5988.0,1443.0,3662.0,1531.0,1790.0,28026.0,52843.0,7125.0,4131.0,417.0,3525.0,4022.0
2025-01-08,3199.0,514.0,4067.0,39754.0,319.0,9679.0,1562.0,9693.0,15929.0,17930.0,6063.0,1362.0,3443.0,1623.0,2086.0,28111.0,52432.0,7207.0,4002.0,439.0,3721.0,3950.0
2025-01-09,3291.0,526.0,4210.0,40707.0,358.0,9678.0,1435.0,9655.0,16959.0,18235.0,6413.0,1387.0,2955.0,1579.0,2098.0,26738.0,49469.0,7412.0,4161.0,402.0,3622.0,3583.0
2025-01-10,3117.0,475.0,6003.0,42719.0,354.0,9143.0,1617.0,12619.0,16113.0,17680.0,6193.0,1345.0,4281.0,1727.0,2690.0,28611.0,56517.0,8848.0,4080.0,387.0,3628.0,4160.0
2025-01-11,2446.0,443.0,7175.0,40799.0,331.0,7196.0,1466.0,13296.0,13888.0,12894.0,4885.0,1224.0,5070.0,1844.0,3061.0,24985.0,57725.0,9204.0,2922.0,427.0,3056.0,4200.0
2025-01-12,2606.0,405.0,4444.0,36231.0,288.0,6447.0,1385.0,12198.0,13170.0,11187.0,4363.0,1154.0,4774.0,1596.0,2567.0,22936.0,49496.0,8206.0,2733.0,480.0,2600.0,3651.0
2025-01-13,3247.0,459.0,3948.0,39066.0,366.0,9418.0,1291.0,9278.0,15265.0,17903.0,5871.0,1317.0,3875.0,1496.0,1961.0,28615.0,52630.0,7258.0,4268.0,423.0,3423.0,4163.0
2025-01-14,3188.0,475.0,4250.0,40862.0,365.0,9735.0,1471.0,10255.0,15716.0,18504.0,6411.0,1439.0,4286.0,1590.0,1903.0,30076.0,54848.0,7327.0,4152.0,419.0,3958.0,4043.0
2025-01-15,3097.0,508.0,4428.0,40510.0,299.0,9630.0,1367.0,9978.0,15872.0,18275.0,6197.0,1470.0,3384.0,1535.0,1897.0,28124.0,53203.0,7349.0,4143.0,269.0,3779.0,4003.0
2025-01-16,3211.0,546.0,5239.0,41453.0,282.0,9467.0,1507.0,10461.0,15788.0,18514.0,6486.0,1497.0,4382.0,1620.0,1698.0,29460.0,55863.0,7460.0,4284.0,406.0,3709.0,4258.0
2025-01-17,2840.0,499.0,6432.0,43230.0,402.0,9560.0,1856.0,12904.0,16153.0,18603.0,6258.0,1479.0,5035.0,1125.0,2408.0,30430.0,60807.0,8813.0,4192.0,389.0,3883.0,4643.0
2025-01-18,2419.0,420.0,7195.0,41488.0,357.0,7350.0,1629.0,13941.0,14232.0,13090.0,4988.0,1246.0,6196.0,1786.0,2739.0,26342.0,62721.0,9164.0,2992.0,432.0,3587.0,4752.0
2025-01-19,2271.0,409.0,3976.0,34599.0,297.0,6542.0,1825.0,11206.0,12660.0,11733.0,4323.0,1152.0,5231.0,1542.0,2121.0,23414.0,52254.0,7673.0,2750.0,442.0,2864.0,3919.0
2025-01-20,3118.0,468.0,3862.0,39137.0,298.0,9373.0,2968.0,9557.0,15099.0,18776.0,6100.0,1264.0,4564.0,1563.0,1758.0,30022.0,55409.0,7031.0,4285.0,375.0,3468.0,4232.0
2025-01-21,3020.0,485.0,4231.0,40657.0,278.0,9802.0,2284.0,10083.0,15651.0,18713.0,6244.0,1415.0,4203.0,1589.0,2132.0,30583.0,55878.0,7026.0,4307.0,418.0,3685.0,4413.0
2025-01-22,2909.0,489.0,4090.0,39964.0,335.0,9366.0,1871.0,10641.0,16108.0,18777.0,6265.0,1466.0,4463.0,1597.0,1990.0,29844.0,57497.0,7487.0,4284.0,418.0,3838.0,4252.0
2025-01-23,2902.0,466.0,4961.0,40732.0,320.0,9294.0,1745.0,10191.0,15652.0,18901.0,6165.0,1386.0,4614.0,1565.0,1953.0,29654.0,57592.0,7292.0,4153.0,398.0,3650.0,4351.0
2025-01-24,2778.0,478.0,6127.0,40398.0,346.0,8888.0,1637.0,13013.0,15321.0,17333.0,5941.0,1391.0,5434.0,1774.0,2194.0,29153.0,60680.0,8723.0,3926.0,349.0,3731.0,4314.0
2025-01-25,2013.0,386.0,6408.0,37722.0,309.0,6997.0,1882.0,12341.0,12927.0,12520.0,4564.0,1181.0,5920.0,1634.0,2287.0,24882.0,60395.0,8737.0,2772.0,388.0,3298.0,4631.0
2025-01-26,2544.0,356.0,4631.0,35730.0,290.0,6387.0,2060.0,13757.0,12121.0,10711.0,4165.0,1238.0,5881.0,1829.0,2485.0,23226.0,53702.0,8864.0,2430.0,486.0,3221.0,4153.0
2025-01-27,2243.0,324.0,3219.0,30414.0,294.0,5644.0,1348.0,11056.0,10806.0,9649.0,3809.0,952.0,4125.0,1553.0,1851.0,19438.0,41280.0,7998.0,2420.0,423.0,1865.0,3240.0
2025-01-28,2127.0,281.0,2583.0,26955.0,328.0,4931.0,1129.0,10833.0,9736.0,7833.0,2970.0,846.0,4746.0,1465.0,1676.0,16329.0,35203.0,8369.0,1904.0,496.0,1671.0,3083.0
2025-01-29,2323.0,295.0,2706.0,29402.0,347.0,4977.0,945.0,13473.0,9588.0,7287.0,2653.0,778.0,5802.0,1694.0,2004.0,17181.0,35946.0,10485.0,1807.0,562.0,1474.0,3567.0
2025-01-30,2340.0,271.0,3086.0,26942.0,262.0,5012.0,834.0,10312.0,10625.0,8449.0,2807.0,717.0,3912.0,1373.0,1655.0,17411.0,37005.0,7479.0,1961.0,354.0,1603.0,3222.0
2025-01-31,2988.0,373.0,4511.0,36956.0,282.0,8233.0,1225.0,11644.0,15022.0,14111.0,5388.0,767.0,3728.0,1543.0,1924.0,25486.0,48201.0,8297.0,3420.0,376.0,2446.0,3827.0
2025-02-01,2535.0,391.0,5994.0,35847.0,274.0,7054.0,1287.0,12022.0,13043.0,11135.0,4100.0,723.0,5038.0,1585.0,2338.0,23924.0,53718.0,8755.0,2621.0,419.0,2608.0,4376.0
2025-02-02,2261.0,386.0,3798.0,31736.0,265.0,6090.0,1178.0,10321.0,11930.0,10339.0,3851.0,915.0,4172.0,1322.0,1761.0,21192.0,46650.0,7437.0,2429.0,361.0,2292.0,3607.0
2025-02-03,3235.0,447.0,3164.0,37355.0,265.0,9330.0,1155.0,8643.0,15211.0,17329.0,5496.0,1040.0,2890.0,1415.0,1457.0,27206.0,47975.0,6897.0,3978.0,393.0,3185.0,3651.0
2025-02-04,3191.0,468.0,3607.0,39160.0,325.0,9760.0,1312.0,9208.0,16102.0,17594.0,5813.0,1212.0,2925.0,1404.0,1417.0,27175.0,47784.0,7048.0,4109.0,373.0,3472.0,3517.0
2025-02-05,3213.0,506.0,4153.0,39713.0,304.0,10065.0,1269.0,9551.0,16152.0,17946.0,5900.0,1291.0,2874.0,1416.0,1463.0,27128.0,48952.0,7119.0,3953.0,415.0,3535.0,3569.0
2025-02-06,3283.0,505.0,3947.0,40826.0,333.0,10066.0,1374.0,10271.0,16207.0,18231.0,6163.0,1360.0,3525.0,1578.0,1736.0,27935.0,51104.0,7733.0,4180.0,460.0,3477.0,3760.0
2025-02-07,3052.0,541.0,5687.0,43954.0,373.0,10144.0,1501.0,12783.0,17127.0,18043.0,6259.0,1274.0,3617.0,1844.0,2424.0,27131.0,51618.0,8916.0,4046.0,433.0,3798.0,3853.0
2025-02-08,2458.0,424.0,6284.0,41458.0,323.0,7362.0,1354.0,13659.0,13748.0,12542.0,4709.0,1103.0,4544.0,1797.0,2492.0,23883.0,54231.0,9210.0,2824.0,407.0,2735.0,4195.0
2025-02-09,2270.0,378.0,3757.0,36991.0,316.0,6858.0,1160.0,12494.0,12681.0,11411.0,4208.0,1170.0,4429.0,1465.0,2171.0,22172.0,48191.0,8427.0,2622.0,437.0,2280.0,3594.0
2025-02-10,3009.0,457.0,3695.0,40332.0,276.0,9602.0,1310.0,9331.0,15040.0,17891.0,5882.0,1285.0,3556.0,1376.0,1783.0,28541.0,50227.0,7188.0,4119.0,357.0,3230.0,3854.0
2025-02-11,3122.0,499.0,4024.0,41738.0,256.0,10165.0,2831.0,9810.0,15039.0,18099.0,5990.0,1211.0,4061.0,1498.0,1967.0,29291.0,54289.0,7347.0,4048.0,399.0,3580.0,3983.0
2025-02-12,3014.0,533.0,4198.0,41714.0,308.0,10078.0,1935.0,10449.0,16092.0,18373.0,5924.0,1310.0,3918.0,1748.0,2158.0,27868.0,51244.0,7794.0,4164.0,444.0,3457.0,3681.0
2025-02-13,3049.0,553.0,4631.0,46545.0,261.0,9793.0,1663.0,10279.0,15694.0,18265.0,6133.0,1410.0,4671.0,1605.0,2271.0,29512.0,56820.0,7582.0,4108.0,404.0,3612.0,4251.0
2025-02-14,2770.0,526.0,6098.0,64881.0,287.0,9455.0,1649.0,13201.0,15131.0,17625.0,5993.0,1333.0,5128.0,1692.0,2878.0,30139.0,62949.0,8475.0,3971.0,426.0,3577.0,4718.0
2025-02-15,2326.0,391.0,6412.0,43712.0,300.0,7560.0,1915.0,14086.0,13148.0,12766.0,4533.0,1156.0,6126.0,1794.0,3063.0,26082.0,64049.0,9072.0,2806.0,375.0,3086.0,4988.0
2025-02-16,2303.0,368.0,4070.0,35926.0,268.0,6585.0,2047.0,11534.0,12532.0,11370.0,4073.0,1093.0,5257.0,1472.0,2171.0,22537.0,53158.0,7902.0,2586.0,377.0,2563.0,3995.0
2025-02-17,3090.0,511.0,3614.0,39133.0,246.0,9698.0,1569.0,9023.0,15018.0,18077.0,5911.0,1283.0,3533.0,1436.0,1697.0,28653.0,51272.0,6855.0,4075.0,420.0,3287.0,3966.0
