상품코드,상품명,상품대분류명,상품중분류명,상품소분류명,첫_판매일,마지막_판매일,판매_지속기간(일),판매_활성_월수,총_매출수량,총_매출금액,객단가,총_거래건수,취급_점포수,출시후_3일_매출액_합계,출시후_7일_매출액_합계,출시후_30일_매출액_합계,출시후_3일_매출액_평균,출시후_7일_매출액_평균,출시후_30일_매출액_평균,출시후_3일_매출수량_합계,출시후_7일_매출수량_합계,출시후_30일_매출수량_합계,야간_매출_비율,주말_매출_비율,피크_시간대
202316,오리온)제주용암수530ml,음료,생수,500ml이하,2025-01-01 00:12:34,2025-12-31 23:31:12,364,12,38987.0,31390048.0,805.1414,27201,262,246284.0,527484.0,2119316.0,82094.664,75354.86,70643.87,311.0,655.0,2655.0,0.1927351,0.31157985,16
117969,오리온)고소미70g,과자,비스킷류,크래커,2025-01-01 00:14:10,2025-12-31 22:53:44,364,12,27550.0,32990420.0,1197.4744,26375,422,245662.0,541845.0,2530147.0,81887.336,77406.43,84338.234,206.0,455.0,2123.0,0.18590306,0.2670854,16
124518,오리온)코코망고알맹이67g,과자,젤리류,국산젤리,2025-03-05 16:07:29,2025-12-31 23:22:02,301,10,23174.0,27653102.0,1193.2814,20951,327,162847.0,612038.0,3982846.0,54282.332,87434.0,132761.53,137.0,514.0,3341.0,0.17183627,0.29028624,18
116368,오리온)꼬북칩콘스프맛80g,과자,스낵류,옥수수스낵,2025-01-01 00:11:09,2025-12-31 23:54:28,364,12,29936.0,51482904.0,1719.7656,30253,365,405681.0,957064.0,3929335.0,135227.0,136723.42,130977.836,239.0,563.0,2316.0,0.26800033,0.3220509,22
117048,오리온)태양의맛썬핫스파이시80g,과자,스낵류,옥수수스낵,2025-01-01 00:01:14,2025-12-31 23:57:44,364,12,85157.0,144979170.0,1702.4927,83827,440,959388.0,2369436.0,10405832.0,319796.0,338490.84,346861.06,567.0,1405.0,6170.0,0.31572017,0.31554466,22
107703,롯데)맛장우삼각더커진소고기고추장,미반,삼각김밥,기타주먹밥(더커진삼각),2025-01-01 00:31:06,2025-12-31 23:43:10,364,12,121538.0,204913950.0,1686.0073,122113,412,1391250.0,3395901.0,14314367.0,463750.0,485128.72,477145.56,825.0,2013.0,8484.0,0.13924575,0.23175296,12
180036,오비)카스500ml캔,맥주,국산맥주,캔맥주(중),2025-01-01 00:00:42,2025-12-31 23:57:48,364,12,513054.0,1450537900.0,2827.2615,251501,450,10051300.0,22808100.0,100654820.0,3350433.2,3258300.0,3355160.5,3584.0,8131.0,35907.0,0.3577846,0.3242461,21
170245,오비)카스라이트500ml캔,맥주,국산맥주,캔맥주(중),2025-01-01 00:08:54,2025-12-31 23:53:45,364,12,217449.0,613529400.0,2821.4866,96121,420,4168500.0,9760100.0,41177080.0,1389500.0,1394300.0,1372569.4,1488.0,3485.0,14702.0,0.385515,0.32332027,21
080479,행복담기)훈제란2입,냉장,냉장간식,삶은계란,2025-01-01 00:06:57,2025-12-31 23:57:32,364,12,147697.0,352499650.0,2386.6406,132233,437,2507399.0,5761490.0,23547408.0,835799.7,823070.0,784913.6,1221.0,2838.0,11520.0,0.11803564,0.18877557,8
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,캐릭터빵,2025-05-07 00:03:41,2025-09-14 17:49:55,130,5,15444.0,28982860.0,1876.6421,13949,426,2284941.0,4779390.0,20861004.0,761647.0,682770.0,695366.8,1216.0,2543.0,11114.0,0.18534945,0.2269942,8
041342,MDS)젤리블리애플망고60g,디저트,젤리,마시는젤리,2025-01-01 00:08:08,2025-12-31 23:12:31,364,12,6479.0,5827454.0,899.43726,5779,278,108854.0,219985.0,913576.0,36284.668,31426.428,30452.533,122.0,247.0,1025.0,0.20270516,0.29505697,22
106094,MDS)젤리블리블랙사파이어60g,디저트,젤리,마시는젤리,2025-01-01 00:14:29,2025-12-25 22:07:46,358,12,6279.0,5619098.0,894.9033,5740,290,90238.0,217786.0,828621.0,30079.334,31112.285,27620.7,102.0,245.0,928.0,0.22289467,0.3006977,22
125388,MDS)젤리블리제로애플샤인60g,디저트,젤리,마시는젤리,2025-05-08 22:37:19,2025-12-31 23:58:18,237,8,16739.0,14991609.0,895.6096,13984,283,66600.0,205950.0,1284403.0,22200.0,29421.428,42813.434,74.0,229.0,1432.0,0.21823068,0.288565,22
052382,세븐카페)아메리카노(R),즉석음료,세븐카페,HOT,2025-01-01 00:04:49,2025-07-01 21:45:48,181,7,117031.0,136435220.0,1165.8041,109619,360,2299398.0,5241134.0,23189704.0,766466.0,748733.44,772990.1,2231.0,5097.0,22588.0,0.13066311,0.2538016,7
053179,오리지날소떡꼬치,즉석 식품,즉석치킨,꼬치류,2025-01-01 09:42:24,2025-12-31 23:42:23,364,12,16599.0,39389480.0,2373.0032,16932,90,310278.0,848542.0,3207128.0,103426.0,121220.29,106904.266,117.0,318.0,1276.0,0.08108599,0.2512942,16
107180,ICE라지(PB얼음컵),즉석음료,세븐카페,ICE,2025-01-01 00:00:25,2025-07-01 18:57:44,181,7,35209.0,74582904.0,2118.2908,33770,341,586101.0,1389658.0,6057964.0,195367.0,198522.58,201932.14,281.0,667.0,2908.0,0.111110516,0.30329883,12
052908,농협)군고구마,즉석 식품,즉석간식,군고구마,2025-01-01 00:06:56,2025-12-31 23:52:17,364,12,112313.0,244893900.0,2180.4592,96523,148,2846436.0,6289634.0,27709252.0,948812.0,898519.1,923641.75,1306.0,2891.0,12740.0,0.07917329,0.19322675,8
061530,뉴초이스)아쌈밀크티300ml,유음료,가공우유,기타,2025-01-01 00:00:12,2025-12-31 23:33:54,364,12,29687.0,51637710.0,1739.4049,24733,389,328855.0,778329.0,3480070.0,109618.336,111189.86,116002.336,174.0,413.0,1845.0,0.19896607,0.26777446,22
180074,아사히)아사히350ml캔,맥주,수입맥주,캔맥주(소),2025-01-01 00:01:18,2025-12-31 23:57:36,364,12,75563.0,202600450.0,2681.2124,31968,410,1411250.0,3018000.0,12483000.0,470416.66,431142.84,416100.0,505.0,1126.0,4806.0,0.34446496,0.33113867,21
123248,스위트)부르봉알포트미니코이베리60g,과자,초콜릿,판초콜릿,2025-01-22 15:58:20,2025-12-28 23:51:18,340,12,5552.0,21901244.0,3944.7485,5255,276,864936.0,1555342.0,8051415.0,288312.0,222191.72,268380.5,220.0,394.0,2043.0,0.19078282,0.24719514,19
109055,G)크라시에유자셔벗140ml,아이스크림,고급,컵,2025-01-01 01:33:38,2025-12-31 04:06:03,364,12,8088.0,22531440.0,2785.7864,6478,303,160781.0,364634.0,1151243.0,53593.668,52090.57,38374.766,58.0,132.0,417.0,0.3085844,0.32199785,22
123692,G)스틱휘낭시에치즈39g,빵,구움과자,구움과자,2025-02-06 15:32:15,2025-11-23 06:13:31,289,10,4438.0,9178865.0,2068.2437,4125,235,105220.0,361344.0,1705199.0,35073.332,51620.57,56839.965,43.0,147.0,694.0,0.1892259,0.24857245,19
113847,오리온)닥터유다이제초코225g,과자,비스킷류,쿠키,2025-01-01 00:10:29,2025-12-31 23:49:01,364,12,30606.0,84860320.0,2772.6694,30855,451,576651.0,1404294.0,6320540.0,192217.0,200613.42,210684.67,207.0,506.0,2282.0,0.20249148,0.2537587,18
116364,오리온)마이구미1000,과자,젤리류,국산젤리,2025-01-01 00:10:57,2025-12-31 23:48:46,364,12,58081.0,57819340.0,995.49493,53692,438,448647.0,1080635.0,5069159.0,149549.0,154376.42,168971.97,451.0,1086.0,5100.0,0.18185438,0.29039901,18
124768,오리온)아이셔츄쥬씨자두요구르트48g,과자,캔디류,소프트캔디,2025-03-14 08:17:24,2025-12-31 13:50:05,292,10,14211.0,14118143.0,993.4658,13447,350,3000.0,7000.0,2802288.0,1000.0,1000.0,93409.6,3.0,7.0,2825.0,0.14431734,0.25267458,12
110750,오리온)닥터유에너지바40g,과자,프로틴/시리얼,영양바류,2025-01-01 00:10:18,2025-12-31 23:44:13,364,12,75113.0,97615140.0,1299.5771,63203,438,668055.0,1604290.0,6843091.0,222685.0,229184.28,228103.03,517.0,1240.0,5288.0,0.08513006,0.25986668,8
124041,일신)캇예스베러버니75g,과자,젤리류,수입젤리,2025-01-22 13:12:28,2025-12-31 23:48:30,343,12,13762.0,34264550.0,2489.7944,13197,269,285335.0,531759.0,1959136.0,95111.664,75965.57,65304.535,115.0,214.0,788.0,0.14790212,0.29814443,19
107291,제스트)도쿄브레드메이플빵,빵,간식빵,과자빵,2025-01-01 00:03:26,2025-12-31 22:13:40,364,12,18501.0,49274924.0,2663.3655,18637,385,371853.0,879641.0,3606439.0,123951.0,125663.0,120214.63,145.0,342.0,1402.0,0.1834294,0.23719895,8
120103,제스트)도쿄브레드메론빵,빵,간식빵,과자빵,2025-01-01 00:19:54,2025-12-31 23:32:51,364,12,18145.0,50320316.0,2773.2332,18395,382,181200.0,704904.0,4628967.0,60400.0,100700.57,154298.9,65.0,255.0,1671.0,0.194343,0.26152354,22
202199,코카)몬스터(파이프라인펀치)355,음료,기능성드링크,에너지음료,2025-01-01 00:39:17,2025-12-31 23:56:00,364,12,71655.0,163205460.0,2277.6562,65096,366,1080570.0,2551178.0,11669021.0,360190.0,364454.0,388967.38,473.0,1114.0,5094.0,0.16375396,0.27298278,17
125296,코카)몬스터에너지파피용355ml,음료,기능성드링크,에너지음료,2025-04-30 15:15:41,2025-12-31 23:18:01,245,9,24075.0,55208150.0,2293.1736,22789,402,750131.0,1817839.0,9710997.0,250043.67,259691.28,323699.9,325.0,784.0,4214.0,0.16844197,0.27649328,16
170276,하이트)기린이치방500ml캔,맥주,수입맥주,캔맥주(중),2025-01-01 00:05:30,2025-12-31 23:56:09,364,12,136317.0,432039360.0,3169.3726,65437,421,2681350.0,6135650.0,28795100.0,893783.3,876521.44,959836.7,843.0,1938.0,9124.0,0.3695645,0.32855862,21
812444,엠즈)삿포로500ml캔,맥주,수입맥주,캔맥주(중),2025-01-01 00:02:08,2025-12-31 23:50:03,364,12,119984.0,383087800.0,3192.8242,60570,429,2901850.0,6439200.0,29413550.0,967283.3,919885.7,980451.7,915.0,2025.0,9294.0,0.3507708,0.33106416,21
601346,엔제이)블랙썬더21g,과자,초콜릿,바초콜릿,2025-01-01 00:33:37,2025-12-31 22:42:26,364,12,12696.0,12917848.0,1017.4739,8655,282,165700.0,426766.0,2154363.0,55233.332,60966.57,71812.1,166.0,429.0,2162.0,0.14301531,0.24719946,18
107551,오츠카)소이조이아몬드초코30g,과자,프로틴/시리얼,영양바류,2025-01-01 01:23:28,2025-12-31 12:08:20,364,12,9325.0,15784526.0,1692.7106,7496,346,93500.0,205700.0,1104913.0,31166.666,29385.715,36830.434,55.0,121.0,651.0,0.09491226,0.21520938,12
