keyword,tag,grade,include,빈도,purity,woe,단독성공률,delta,delta_cond,delta_pos,판정,suggested,예시제품,raw성공률,wilson,발표등급
1등급원유,neutral,,Y,2,1.0,14.328839910448204,,,,,,,,1.0,0.342,
1인,neutral,,Y,18,0.1111140727168763,-0.9148294524846308,,,,,,,,0.111,0.031,
?,neutral,,Y,26,0.307695772498846,0.3536814507429272,,,,,,,,0.308,0.165,
ABC,neutral,,Y,3,0.3333479861422773,0.4714638288865332,,,,,,,,0.333,0.061,
ASMR,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
BBQ,neutral,,Y,5,0.1999970912934216,-0.2216823926747915,,,,,,,,0.2,0.036,
BLT,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
BOX,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
BTS,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
CAFE25,neutral,,Y,8,0.3750135069709977,0.6537857384795798,,,,,,,,0.375,0.137,
CD,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
CJ,neutral,,Y,25,0.2400036153194999,0.0119322181122337,,,,,,,,0.24,0.115,
CU,neutral,,Y,2,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
DIY,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
DR,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
HBM,neutral,,Y,0,1.0,13.635693328387722,,,,,,,,,,
HEYROO,neutral,,Y,12,0.166665791223453,-0.4448259670888502,,,,,,,,0.167,0.047,
ICE,neutral,,Y,4,0.0,-13.857375721062512,,,,,,,,0.0,0.0,
IGIN,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
JD,neutral,,Y,4,0.0,-13.857375721062512,,,,,,,,0.0,0.0,
K,neutral,,Y,2,0.3863610539331307,0.2236283672323548,,,,,,,,0.5,0.095,
K-POP,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
KBS,neutral,,Y,0,0.0,-12.471084236935726,,,,,,,,,,
KIT,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
LA,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
LoL,neutral,,Y,0,0.7999925792218361,2.550902554822559,,,,,,,,,,
MBTI,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
MC,neutral,,Y,0,1.0,13.635693328387722,,,,,,,,,,
MZ세대,neutral,,Y,2,0.2999956972899297,0.876929097993955,,,,,,,,0.0,0.0,
NCT,neutral,,Y,2,0.5,1.1646090914519966,,,,,,,,0.5,0.095,
OTT,neutral,,Y,0,0.2499985564499985,0.0659994145550348,,,,,,,,,,
PB,mine,T1,Y,4,0.090907526287148,-0.5401362369067356,0.0,-0.047,,,진짜 악재(Δ<0),,990오리지널바(실패) / 990초코바(실패) / 딸기잼스콘맛쿠키(실패),0.0,0.0,
PEACEMINUSONE,neutral,,Y,3,0.6666651964187622,1.8577556735124792,,,,,,,,0.667,0.208,
PLAVE,neutral,,Y,16,0.4375067206563037,0.9132970469423036,,,,,,,,0.438,0.231,
RPG,neutral,,Y,0,0.0,-13.569693968277042,,,,,,,,,,
RTD,neutral,,Y,3,0.3333399891853332,0.4714638288865332,,,,,,,,0.333,0.061,
SNS,neutral,,Y,1,0.3888859939243195,2.011908483166696,,,,,,,,0.0,0.0,
TOP,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
XO,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
Y2K,neutral,,Y,0,0.0,-12.471084236935726,,,,,,,,,,
e스포츠,neutral,,Y,0,0.7999925822021787,2.550902554822559,,,,,,,,,,
fresh,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
get,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
가나,killer,T2,Y,29,0.5862137577653719,1.512918175458718,0.586,0.0407,,,killer_확실,유지,가나디딸기우유(성공) / 가나디레몬비타워터(성공) / 가나디초코별(성공),0.586,0.407,강증거
가득,neutral,T2,Y,17,0.4197777289404611,0.9067825171913968,0.294,-0.0422,-0.0006,,가짜(강등),강등검토(Δ≤0),한도초과)폭풍햄가득참치김밥(성공) / 롯데)매콤어묵듬뿍김밥(성공) / 롯데)필리치즈스테이크버거(성공),0.294,0.133,강등
가라아게,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
가락,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
가락국수,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
가루,neutral,,Y,1,0.1389313060967167,0.2095349719596254,,,,,,,,0.0,0.0,
가르나차,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
가리비,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
가벼움,neutral,,Y,40,0.2714425030837972,0.1659371165151225,,,,,,,,0.275,0.161,
가성비,neutral,,Y,77,0.2103843989901991,-0.2407308157954476,,,,,,,,0.13,0.072,
가쓰오부시,매개,T1,Y,15,0.2000000685453409,-0.2216825513412301,0.2,0.0432,,1.0,매개,,야끼소바도그(실패) / 가격파괴5000타코야끼(실패) / 한일)가쓰오냉소바184.7g(성공),0.2,0.07,
가을,killer,T2,Y,6,0.6666696767011381,1.8577572922570955,0.667,0.0154,,,killer_확실,유지,PB)테디베어플랫화이트라떼250ml(성공) / PB)테디베어피스타치오라떼250ml(성공) / 삼립)25년듬뿍피자호빵(4입)(성공),0.667,0.3,강증거
가정식,neutral,,Y,1,0.5000000037252903,2.550902554822559,,,,,,,,0.0,0.0,
가족,neutral,,Y,3,0.1578838903650165,0.1837824371836383,,,,,,,,0.0,0.0,
간,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
간바레,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
간식,neutral,,Y,2476,0.2293218155960865,0.2853622698431798,,,,,,,,0.338,0.319,
간장,neutral,,Y,52,0.1932256713895201,0.2932163085313567,,,,,,,,0.25,0.152,
간편,neutral,,Y,444,0.2823325350379011,0.0536726289896035,,,,,,,,0.227,0.191,
갈릭,neutral,,Y,37,0.2432437578870801,0.0296317936063717,,,,,,,,0.243,0.134,
갈매기살,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
갈비,mine,T1,Y,47,0.0957456781290724,-0.2757498198921828,0.191,-0.0798,,,진짜 악재(Δ<0),,맛제일)남도떡갈비삼각(성공) / 맛제일)콘치즈떡갈비김밥(성공) / 그린)맛장우맛자랑 직화닭갈비(실패),0.191,0.104,
갈증,neutral,,Y,13,0.2307705082572138,-0.0393610584805862,,,,,,,,0.231,0.082,
감,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
감귤,매개,T2,Y,8,0.1985317196505554,-0.4448261205887531,0.25,0.0341,,1.0,매개,,나무)아삭귤젤리35g(성공) / 엔제이)카바야샤리인구미감귤맛52g(실패) / 삼립)달콤제주감귤타르트45g(성공),0.25,0.071,
감동란,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
감성,neutral,,Y,3,0.2857097319459196,1.3345106625729384,,,,,,,,0.0,0.0,
감자,killer,T2,Y,94,0.3985370467121096,0.3351281009787959,0.319,0.0045,,,killer_불명확(노이즈),유지,PB)최강록의리얼웨지감자45g(성공) / 농심)감자탕큰사발면(성공) / 치즈폭탄감자그라탕(실패),0.319,0.234,보류
감정,neutral,,Y,0,0.0,-12.471084236935726,,,,,,,,,,
감주,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
감칠맛,neutral,,Y,99,0.1959137684777625,0.0046439471809085,,,,,,,,0.354,0.266,
갓돼지,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
갓생,neutral,,Y,0,0.1538543317179804,-0.5401361120204607,,,,,,,,,,
강된장,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
강렬,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
강아지,neutral,,Y,1,0.5000000018626451,3.803665309567968,,,,,,,,0.0,0.0,
강원도,neutral,,Y,3,0.3333377639453936,0.4714638288865332,,,,,,,,0.333,0.061,
