상품코드,상품명,상품대분류명,상품중분류명,상품소분류명,첫_판매일,마지막_판매일,판매_지속기간(일),판매_활성_월수,총_매출수량,총_매출금액,객단가,총_거래건수,취급_점포수,출시후_3일_매출액_합계,출시후_7일_매출액_합계,출시후_30일_매출액_합계,출시후_3일_매출액_평균,출시후_7일_매출액_평균,출시후_30일_매출액_평균,출시후_3일_매출수량_합계,출시후_7일_매출수량_합계,출시후_30일_매출수량_합계,야간_매출_비율,주말_매출_비율,피크_시간대
202316,오리온)제주용암수530ml,음료,생수,500ml이하,2025-01-01 00:12:34,2025-12-31 23:31:12,364,12,25712.0,22389756.0,870.79016,22876,258,129284.0,276484.0,1164925.0,43094.668,39497.715,38830.832,136.0,279.0,1227.0,0.17712118,0.3091314,17
117969,오리온)고소미70g,과자,비스킷류,크래커,2025-01-01 00:14:10,2025-12-31 22:53:25,364,12,23604.0,28291384.0,1198.5844,24568,422,213462.0,488786.0,2195253.0,71154.0,69826.57,73175.1,179.0,410.0,1841.0,0.18587129,0.26861143,16
124518,오리온)코코망고알맹이67g,과자,젤리류,국산젤리,2025-03-05 16:07:29,2025-12-31 23:22:02,301,10,17471.0,20855980.0,1193.7485,18333,327,130447.0,482282.0,3145129.0,43482.332,68897.43,104837.63,110.0,405.0,2635.0,0.16993141,0.29519844,18
116368,오리온)꼬북칩콘스프맛80g,과자,스낵류,옥수수스낵,2025-01-01 00:11:09,2025-12-31 23:54:28,364,12,28067.0,48311050.0,1721.2758,29394,364,371681.0,893428.0,3725268.0,123893.664,127632.57,124175.6,219.0,526.0,2196.0,0.2661592,0.32278365,22
117048,오리온)태양의맛썬핫스파이시80g,과자,스낵류,옥수수스낵,2025-01-01 00:01:14,2025-12-31 23:57:44,364,12,77031.0,131284600.0,1704.3087,80046,440,907588.0,2231236.0,9845993.0,302529.34,318748.0,328199.78,536.0,1323.0,5838.0,0.31452972,0.31634414,22
107703,롯데)맛장우삼각더커진소고기고추장,미반,삼각김밥,기타주먹밥(더커진삼각),2025-01-01 00:31:06,2025-12-31 23:43:10,364,12,117736.0,198522910.0,1686.17,120212,412,1354190.0,3298997.0,13970208.0,451396.66,471285.28,465673.6,803.0,1955.0,8280.0,0.13965808,0.23084252,12
170245,오비)카스라이트500ml캔,맥주,국산맥주,캔맥주(중),2025-01-01 00:08:54,2025-12-31 23:51:50,364,12,87230.0,248453280.0,2848.255,64277,418,1536500.0,3566500.0,15103480.0,512166.66,509500.0,503449.34,548.0,1273.0,5391.0,0.40283227,0.32937944,22
080479,행복담기)훈제란2입,냉장,냉장간식,삶은계란,2025-01-01 00:06:57,2025-12-31 23:57:32,364,12,114359.0,284751500.0,2489.9788,118800,437,1682669.0,3711281.0,15417539.0,560889.7,530183.0,513917.97,707.0,1561.0,6481.0,0.113460116,0.18636104,8
125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,캐릭터빵,2025-05-07 00:08:46,2025-09-14 17:49:55,130,5,11306.0,21245064.0,1879.0964,11880,426,1189960.0,2631200.0,13947780.0,396653.34,375885.72,464926.0,633.0,1398.0,7423.0,0.17805594,0.22895959,8
041342,MDS)젤리블리애플망고60g,디저트,젤리,마시는젤리,2025-01-01 00:08:08,2025-12-31 20:13:38,364,12,4566.0,4119671.0,902.24945,4922,275,73421.0,157552.0,673525.0,24473.666,22507.428,22450.834,82.0,177.0,754.0,0.20056772,0.29659456,22
106094,MDS)젤리블리블랙사파이어60g,디저트,젤리,마시는젤리,2025-01-01 00:14:29,2025-12-25 22:07:46,358,12,4504.0,4037568.0,896.4405,4933,289,62170.0,157282.0,609976.0,20723.334,22468.857,20332.533,70.0,176.0,682.0,0.21586213,0.3055936,21
125388,MDS)젤리블리제로애플샤인60g,디저트,젤리,마시는젤리,2025-05-08 22:37:19,2025-12-31 23:58:18,237,8,10434.0,9355452.0,896.6314,11188,282,35100.0,110550.0,768793.0,11700.0,15792.857,25626.434,39.0,123.0,858.0,0.2174361,0.29455775,22
052382,세븐카페)아메리카노(R),즉석음료,세븐카페,HOT,2025-01-01 00:04:49,2025-07-01 21:45:48,181,7,82374.0,96240824.0,1168.3398,94503,359,1667938.0,3749328.0,16654972.0,555979.3,535618.3,555165.75,1608.0,3630.0,16155.0,0.13387309,0.2573984,7
053179,오리지날소떡꼬치,즉석 식품,즉석치킨,꼬치류,2025-01-01 09:42:24,2025-12-31 23:42:23,364,12,14578.0,34298924.0,2352.7866,15968,88,259478.0,677258.0,2695907.0,86492.664,96751.14,89863.57,101.0,263.0,1099.0,0.08515209,0.24178146,16
107180,ICE라지(PB얼음컵),즉석음료,세븐카페,ICE,2025-01-01 00:00:25,2025-07-01 18:57:44,181,7,26812.0,56579384.0,2110.226,30096,338,495801.0,1187158.0,5146239.0,165267.0,169594.0,171541.3,238.0,570.0,2472.0,0.09164665,0.3017382,12
052908,농협)군고구마,즉석 식품,즉석간식,군고구마,2025-01-01 00:06:56,2025-12-31 23:52:17,364,12,69470.0,151698160.0,2183.65,76688,146,1704571.0,3842740.0,16751195.0,568190.3,548962.9,558373.2,781.0,1764.0,7687.0,0.07657506,0.18618919,8
061530,뉴초이스)아쌈밀크티300ml,유음료,가공우유,기타,2025-01-01 00:00:12,2025-12-31 23:18:18,364,12,20177.0,37756090.0,1871.2439,20924,389,287355.0,644926.0,2808431.0,95785.0,92132.29,93614.37,152.0,342.0,1488.0,0.18578781,0.2715267,12
180074,아사히)아사히350ml캔,맥주,수입맥주,캔맥주(소),2025-01-01 00:01:18,2025-12-31 23:57:36,364,12,23209.0,72270240.0,3113.8887,19351,410,496000.0,1051750.0,4866500.0,165333.33,150250.0,162216.67,156.0,341.0,1597.0,0.39630905,0.33875686,21
123248,스위트)부르봉알포트미니코이베리60g,과자,초콜릿,판초콜릿,2025-01-22 15:58:20,2025-12-28 23:51:18,340,12,4381.0,17280394.0,3944.3948,4719,276,741943.0,1345161.0,6483064.0,247314.33,192165.86,216102.14,188.0,340.0,1641.0,0.19329275,0.2576255,19
109055,G)크라시에유자셔벗140ml,아이스크림,고급,컵,2025-01-01 01:33:38,2025-12-31 04:06:03,364,12,6511.0,18243484.0,2801.948,6043,303,141181.0,333834.0,1020750.0,47060.332,47690.57,34025.0,51.0,121.0,370.0,0.3299514,0.32919687,22
123692,G)스틱휘낭시에치즈39g,빵,구움과자,구움과자,2025-02-06 15:32:15,2025-11-23 06:13:31,289,10,3056.0,6837069.0,2237.2607,3434,234,95220.0,321344.0,1469565.0,31740.0,45906.285,48985.5,39.0,131.0,592.0,0.1911942,0.254991,21
113847,오리온)닥터유다이제초코225g,과자,비스킷류,쿠키,2025-01-01 00:10:29,2025-12-31 23:49:01,364,12,29164.0,80932900.0,2775.096,30171,451,559851.0,1348822.0,6019998.0,186617.0,192688.86,200666.6,201.0,486.0,2174.0,0.20336844,0.2539383,18
116364,오리온)마이구미1000,과자,젤리류,국산젤리,2025-01-01 00:10:57,2025-12-31 23:48:46,364,12,46416.0,46223700.0,995.85706,48466,438,357647.0,864075.0,4107305.0,119215.664,123439.29,136910.17,360.0,868.0,4130.0,0.17678252,0.29405746,17
124768,오리온)아이셔츄쥬씨자두요구르트48g,과자,캔디류,소프트캔디,2025-03-14 08:17:24,2025-12-31 13:50:05,292,10,12125.0,12051443.0,993.9335,12490,350,3000.0,5000.0,2302945.0,1000.0,714.2857,76764.836,3.0,5.0,2318.0,0.14331977,0.2575802,12
110750,오리온)닥터유에너지바40g,과자,프로틴/시리얼,영양바류,2025-01-01 00:10:18,2025-12-31 23:39:40,364,12,51181.0,66638370.0,1302.0138,52674,438,464279.0,1115969.0,4728017.0,154759.67,159424.14,157600.56,358.0,860.0,3645.0,0.077128075,0.25577223,8
124041,일신)캇예스베러버니75g,과자,젤리류,수입젤리,2025-01-22 13:12:28,2025-12-31 23:48:30,343,12,11346.0,28269032.0,2491.5417,12057,269,192835.0,369259.0,1437877.0,64278.332,52751.285,47929.234,78.0,149.0,578.0,0.14487931,0.2943577,19
107291,제스트)도쿄브레드메이플빵,빵,간식빵,과자빵,2025-01-01 00:03:26,2025-12-31 22:13:40,364,12,17477.0,46552290.0,2663.6316,18125,385,351053.0,843241.0,3429639.0,117017.664,120463.0,114321.3,137.0,328.0,1334.0,0.18219051,0.23677066,8
120103,제스트)도쿄브레드메론빵,빵,간식빵,과자빵,2025-01-01 04:41:35,2025-12-31 23:32:51,364,12,17301.0,47987492.0,2773.683,17973,382,164400.0,668504.0,4461917.0,54800.0,95500.57,148730.56,59.0,242.0,1610.0,0.19255888,0.2607025,21
202199,코카)몬스터(파이프라인펀치)355,음료,기능성드링크,에너지음료,2025-01-01 00:39:17,2025-12-31 23:56:00,364,12,65759.0,150167170.0,2283.5986,63377,366,1024770.0,2424078.0,11107312.0,341590.0,346296.84,370243.72,449.0,1059.0,4849.0,0.16136305,0.27276298,17
125296,코카)몬스터에너지파피용355ml,음료,기능성드링크,에너지음료,2025-04-30 15:15:41,2025-12-31 23:18:01,245,9,23018.0,52864504.0,2296.6594,22478,402,719531.0,1773439.0,9504397.0,239843.67,253348.42,316813.22,313.0,766.0,4127.0,0.16568717,0.2768868,16
170276,하이트)기린이치방500ml캔,맥주,수입맥주,캔맥주(중),2025-01-01 00:05:30,2025-12-31 23:56:09,364,12,63898.0,211464370.0,3309.405,47675,420,1565050.0,3616350.0,16797350.0,521683.34,516621.44,559911.7,477.0,1112.0,5201.0,0.36588725,0.34458572,21
812444,엠즈)삿포로500ml캔,맥주,수입맥주,캔맥주(중),2025-01-01 00:02:08,2025-12-31 23:50:03,364,12,59546.0,197517540.0,3317.058,45735,429,1743150.0,4039450.0,18243400.0,581050.0,577064.3,608113.3,537.0,1242.0,5649.0,0.3624286,0.33795914,21
