keyword  총등장수
  FC모바일     3
   꿔바로우     1
   단백질바     1
    돼지바     1
    두바이     7
    디저트   740
  디저트39     2
  디저트와인     2
   레세르바     1
    멜로바     2
    모바일     1
  모바일게임     1
      바    16
    바게트     3
    바나나    70
    바닐라    84
   바른목장     3
 바리스타룰스     1
   바바리안     1
    바밤바     5
    바베큐    12
    바비큐     1
     바삭   437
    바삭함     3
   바움쿠헨     2
    바이럴     1
    바이오     1
    바이킹     1
    바이트     3
    바지락     1
     바질    11
     밥바     1
  산타바바라     1
     소바     3
    쌍쌍바     1
   아이스바     1
   야끼소바     1
   에너지바     6
   요거트바     1
    유바리     1
  일본디저트     1
    쭈쭈바     8
     차바     1
    초코바     3
    츄러스     6
   카피바라     1
    킬바사     2
    투움바     7
   하바네로     1
     핫바    12
     홈바     1
