   keyword  총등장수
      e스포츠     2
       건포도     1
      겟네츄럴     4
       기네스     1
     까르메네르     1
     까르미네르     2
      까베르네     1
   까베르네소비뇽     1
   까베르네쇼비뇽    12
    네그로아마로     1
       네슬레    10
        노포     1
       라무네     1
      마요네즈     2
       미네랄     5
       발포주     2
베이크하우스 405    25
 베이크하우스405     7
      볼로네제     1
      샤르도네    10
        세포     1
       스포츠    26
     스포츠게임     1
        신포     1
     아르네이스     1
      아포가토     1
      아포카토     1
        어포     3
        육포    10
      재미교포     1
        쥐포     2
       청포도    11
   카베르네소비뇽     7
     캘리포니아     3
    캘리포니아롤     4
       콩포트     2
      퍼포먼스     8
       포근함     2
        포도    37
       포도알     1
      포르투갈     1
       포만감     2
        포비     1
 포스트 아포칼립스     1
      포슬포슬     6
       포이약     1
        포장     1
      포장마차     2
       포차코     2
        포천     1
      포카치아     1
     포켓몬스터    10
        포코     1
        포크     4
      포테이토     2
      포트와인     1
      폴드포크     1
      하바네로     1
      해리포터     6
   히타치노네스트     2
