--- 1. 빈도 기준 상위 100개 키워드 (제품예시 제외) ---
keyword  총등장수
     간식  2490
     달콤  1243
     야식   783
    디저트   740
   부드러움   690
     고소   561
     식사   557
     크림   523
     초코   504
      술   488
     매콤   477
      빵   453
     간편   451
     바삭   437
     고기   407
     과자   359
     음료   336
     상큼   325
      밥   321
     치즈   318
   짭조름함   295
     우유   290
    쫀득함   280
     와인   272
     촉촉   261
     안주   239
  아이스크림   237
     식감   222
     딸기   217
      닭   199
     새콤   192
    쫄깃함   191
     과일   190
     김밥   189
     젤리   188
      면   184
    아이스   176
    도시락   166
   시즌한정   152
     담백   151
    위스키   146
     콜라   145
     치킨   144
     커피   142
     소스   135
     진함   133
     풍미   130
     건강   124
     라면   122
     버터   116
     계란   115
    콜라보   115
     말차   112
   다이어트   111
     마요   110
     국물   109
    케이크   104
    감칠맛    99
     레몬    99
     볶음    98
     시원    97
     여름    97
    하이볼    93
      짠    92
     숙성    90
     감자    90
     맥주    90
     선물    89
    가성비    87
     마늘    86
    샐러드    86
     참치    85
     샌드    85
    달달한    84
    바닐라    84
    소시지    83
    복숭아    83
     김치    83
    단백질    82
     쿠키    81
      떡    80
     점심    80
    요거트    80
     버거    79
     탄산    79
     아침    77
    빙그레    76
      쌀    74
    KBO    73
    탱글함    73
   삼각김밥    70
    바나나    70
    카라멜    69
     고추    66
    에너지    64
    오뚜기    62
      햄    62
      국    61
     전통    59
      집    59
