keyword  총등장수
     국수    26
   기사식당     2
   납작당면     2
     냉면     7
    냉장면     1
   다이어트   111
      닭   199
   닭가슴살    52
    닭갈비     6
    닭강정     6
    닭고기     3
    닭구이     1
    닭껍질     1
    닭꼬치     1
    닭다리     3
   닭다리살     6
     닭발     5
      당    58
    당과점     1
     당근     7
     당면     9
    당충전    10
     라면   122
   라면볶이     1
    막국수     4
      면   184
    면역력     1
    물냉면     2
    미정당     2
    배상면     1
    볶음면     1
     불닭    44
   불닭소스     1
   비빔냉면     1
    비빔면     1
   삼양라면     1
     생면     1
     설탕    35
     소면     1
     숙면     2
     슈거     1
     식당     1
    신라면     1
    쌀국수     1
     악당     1
     온면     1
    완탕면     1
    우동당     1
    유탕면     1
   장칼국수     1
     저당    41
     적당     5
     제로    45
   제로슈거    11
  제로칼로리     6
    종근당     1
   즉석라면     1
    진라면     1
   짜장라면     2
     쫄면     3
     찜닭     3
    청수당     5
     초당     2
    칼국수     5
    칼빔면     1
    컵라면     1
     통닭     3
     파닭     1
    홍만당     1
     흑당     5
