keyword  총등장수
   경기떡집     1
     경찰     1
    깨찰빵     1
     꿀떡     1
    단팥빵     1
    도깨비     1
     들깨     4
      떡    80
    떡갈비     4
     떡국     1
     떡볶     1
    떡볶이    48
    떡볶퀸     2
   맘모스빵     1
     물떡     1
  미각제빵소     1
    붕어빵     8
      빵   453
    빵또아     2
    빵빠레     1
    빵빵이     1
     성찰     1
    시루떡     2
     식빵     6
     쌀떡     1
  악어떡볶이     1
     엽떡     1
   오메기떡     1
    이티떡     1
     찰떡     5
     참깨    11
     찹쌀    24
    초코빵     1
    크림떡     1
 푸하하소금빵     1
     호떡    13
     호빵    27
    흑임자    14
