상품명,연결중심성,매개중심성,연결&매개 상위 10% 여부,ip포함여부
CJ)후레쉬젤리루비자몽105g,0.0,0.0,0,X
샤니)소프트밀키케익,0.0,0.0,0,X
제로칼로리젤리(아사히베리),0.0,0.0,0,X
브)스위트브라우니,0.0,0.0,0,X
아띠)스위트젤리(밀감)250g,0.0,0.0,0,X
Cafe Seven)케익속에리얼딸기,0.0,0.0,0,X
한입경단,0.0,0.0,0,X
모닝후르츠)모듬과일도시락300g,0.0,0.0,0,X
Cafe Seven)케익속에블루베리,0.0,0.0,0,X
보네스뻬)사계20구,0.0,0.0,0,X
보네스뻬)궁중떡세트(복),0.0,0.0,0,X
삼립)쫄깃한찹쌀떡(2입)75g,0.0,0.0,0,X
쥬빌리)고구마타르트,0.0,0.0,0,X
해광)아이러브브라우니35g,0.0,0.0,0,X
만점기원찹쌀떡(4구),0.0,0.0,0,X
삼립)수라방찹쌀떡4입,0.0,0.0,0,X
기린)도라야끼(통단팥)70g,0.0,0.0,0,X
쥬빌리)미니초코케익,0.0,0.0,0,X
뉴욕제과)바움쿠헨플레인40g,0.0,0.0,0,X
보네스뻬)만쥬선물세트,0.0,0.0,0,X
뉴욕제과)완두월병,0.0,0.0,0,X
삼립)사과맛쿠키70g,0.0,0.0,0,X
삼립)수라방삼색경단90g,0.0,0.0,0,X
아워홈)망고무스케익67g,0.0,0.0,0,X
삼립)대한민국치즈케익85g,0.0,0.0,0,X
아워홈)크림가득슈(플레인)55g,0.0,0.0,0,X
화과방)국진이붕어빵,0.0,0.0,0,X
요기)궁중두텁떡3입,0.0,0.0,0,X
화과방)다정다감,0.0,0.0,0,X
고려당)궁중떡세트(복),0.0,0.0,0,X
뉴욕제과)미니황두월병,0.0,0.0,0,X
뚜또)저칼로리뷰티젤리180g,0.0,0.0,0,X
CJ)쁘띠첼푸딩레어치즈95g,0.0,0.0,0,X
누워서떡먹기(6구),0.0,0.0,0,X
본화과)만복세트,0.0,0.0,0,X
본화과)실속세트,0.0,0.0,0,X
제다)제주올레꿀빵10입,0.0,0.0,0,X
브랑제리)소프트롤케익50g,0.0,0.0,0,X
본화과)종합5호,0.0,0.0,0,X
쥬빌리)초코우피파이70g,0.0,0.0,0,X
고려당)궁중떡세트(수),0.0,0.0,0,X
본화과)종합세트,0.0,0.0,0,X
쥬빌리)블루베리컵무스95g,0.0,0.0,0,X
마카롱(백년초)45g,0.0,0.0,0,X
마카롱(단호박)45g,0.0,0.0,0,X
드라제생초콜릿(아몬드)55g,0.0,0.0,0,X
드라제생초콜릿(헤이즐넛)55g,0.0,0.0,0,X
쥬빌리)뉴욕치즈케익70g,0.0,0.0,0,X
쥬빌리)더블다크초콜릿40g,0.0,0.0,0,X
쥬빌리)밀크푸딩95g(직배),0.0,0.0,0,X
드라제생초코아몬드(직배),0.0,0.0,0,X
고려당)수능대박찹쌀떡(10구),0.0,0.0,0,X
찹쌀떡1입(낱개판매),0.0,0.0,0,X
쥬빌리)마카롱(단호박)40g,0.0,0.0,0,X
경회루)소보로찹쌀떡70g,0.0,0.0,0,X
본화과)특선만주세트,0.0,0.0,0,X
본화과)명품세트,0.0,0.0,0,X
쥬빌리)프럴린종합세트,0.0,0.0,0,X
직원용)본화과종합세트,0.0,0.0,0,X
본화과)일반만주2호,0.0,0.0,0,X
본화과)화과자종합2호,0.0,0.0,0,X
본화과)명품세트(특판),0.0,0.0,0,X
CJ)쁘띠첼스윗롤핑크스트로베리,0.0,0.0,0,X
삼립)수라방인절미6입,0.0,0.0,0,X
CJ)쁘띠첼복숭아3입,0.0,0.0,0,X
CJ)푸딩밀크커스터드2입,0.0,0.0,0,X
CJ)푸딩허니블러썸2입,0.0,0.0,0,X
CJ)워터젤리수퍼블루베리130ml,0.0,0.0,0,X
CJ)워터젤리플러스복숭아160ml,0.0,0.0,0,X
삼립)스위트마카롱(모카)40g,0.0,0.0,0,X
맛있는행복)망고푸딩220g,0.0,0.0,0,X
삼립)카페스타일티라미스55g,0.0,0.0,0,X
본화과)실속만주세트,0.0,0.0,0,X
삼립)리얼크림빵(플레인),0.0,0.0,0,X
수신방)고급형펑리수10입,0.0,0.0,0,X
모찌크림선물세트,0.0,0.0,0,X
